batter,pa_to,prior_fp_per_pa,xfp_rh3_per_pa,replacement_xfp_per_pa,replacement_delta,signal,ros_full_fp_per_pa,ros_pa
514888,121,0.6021504078582063,0.5502114365467355,0.44109136752311573,0.10912006902361981,add,0.3792,23.0
518692,110,0.6844488116247129,0.6324385507087271,0.44109136752311573,0.1913471831856114,add,0.3613,31.0
521692,109,0.5141877197015436,0.4599577623222598,0.44109136752311573,0.018866394799144093,hold,0.5478,32.0
542303,93,0.5830958504705053,0.45511765162308315,0.44109136752311573,0.014026284099967423,hold,0.3626,28.0
543760,102,0.5751257124737407,0.4943720403083879,0.44109136752311573,0.053280672785272154,hold,0.1085,32.0
543807,62,0.6107638285791995,0.5232223564122834,0.44109136752311573,0.0821309888891677,add,0.4418,13.0
545121,77,0.49902485508726235,0.5780051876865585,0.44109136752311573,0.13691382016344278,add,0.9757,31.0
545361,125,0.5045127277334035,0.574095522573625,0.44109136752311573,0.13300415505050922,add,0.6909,33.0
547180,115,0.6342855730104914,0.5959357782597214,0.44109136752311573,0.1548444107366057,add,0.4922,30.0
571448,92,0.5459113094727631,0.48132351184397737,0.44109136752311573,0.04023214432086164,hold,0.6167,24.0
571970,104,0.6456853004033417,0.5981907437524169,0.44109136752311573,0.15709937622930115,add,0.6634,23.0
572233,114,0.5341372198241341,0.5478242999592905,0.44109136752311573,0.10673293243617477,add,0.9978,30.0
573262,94,0.4954718765460282,0.4214260216976435,0.44109136752311573,-0.019665345825472247,drop,0.3638,15.0
575929,111,0.5393091421446711,0.46592434876047123,0.44109136752311573,0.0248329812373555,hold,0.7859,31.0
592206,51,0.49573772946171013,0.4328297300103553,0.44109136752311573,-0.008261637512760434,drop,0.5745,14.0
592450,114,0.8615519372128695,0.6726311692780851,0.44109136752311573,0.23153980175496935,add,1.087,31.0
592518,105,0.6042814452818683,0.4802670239461514,0.44109136752311573,0.039175656423035665,hold,0.8662,25.0
592626,72,0.5307606397005182,0.43018508617940565,0.44109136752311573,-0.010906281343710078,drop,0.378,21.0
592663,61,0.4532897255384176,0.44309202865978237,0.44109136752311573,0.002000661136666637,hold,0.1944,7.0
593428,105,0.518643389433729,0.5514155287599095,0.44109136752311573,0.11032416123679378,add,0.3915,29.0
595879,79,0.39370548653071946,0.4290947589543855,0.44109136752311573,-0.01199660856873025,drop,0.1951,3.0
596115,119,0.48130407249652246,0.43594552789617624,0.44109136752311573,-0.005145839626939486,drop,0.3581,20.0
596142,69,0.5059649414995011,0.49153437941935496,0.44109136752311573,0.05044301189623923,hold,0.4388,19.0
602104,55,0.443361562214892,0.47411555856005627,0.44109136752311573,0.03302419103694054,hold,0.4367,13.0
605137,105,0.49527018618212426,0.48089813440357115,0.44109136752311573,0.039806766880455424,hold,0.2452,30.0
605170,88,0.48587019954078875,0.4560429349763288,0.44109136752311573,0.014951567453213077,hold,0.1881,13.0
606192,97,0.5095665062327757,0.4494036718438136,0.44109136752311573,0.00831230432069785,hold,0.5395,25.0
606466,109,0.709040857701609,0.5912817768160123,0.44109136752311573,0.15019040929289662,add,0.1899,27.0
607043,123,0.5427531718077344,0.5648580753070667,0.44109136752311573,0.12376670778395094,add,0.4821,24.0
607208,121,0.6160112109720727,0.521560916034475,0.44109136752311573,0.08046954851135923,add,0.4081,27.0
608070,122,0.7799643594551983,0.6879952020993483,0.44109136752311573,0.24690383457623255,add,0.4109,31.0
608324,126,0.6339434907029985,0.5815375930757634,0.44109136752311573,0.14044622555264763,add,0.3909,30.0
608348,79,0.48541681200354797,0.47966172252061856,0.44109136752311573,0.03857035499750283,hold,0.5541,17.0
608369,112,0.6819435249314175,0.54274226930426,0.44109136752311573,0.10165090178114422,add,0.25,31.0
