batter,pa_to,prior_fp_per_pa,xfp_rh3_per_pa,replacement_xfp_per_pa,replacement_delta,signal,ros_full_fp_per_pa,ros_pa
500743,56,0.5265021377324601,0.4818910032272628,0.43405626186856894,0.047834741358693866,hold,,
514888,144,0.6021504078582063,0.5489491283527187,0.43405626186856894,0.11489286648414976,add,,
518692,141,0.6844488116247129,0.6148413954683396,0.43405626186856894,0.18078513359977066,add,,
519317,92,0.5153774672352339,0.44011351769764123,0.43405626186856894,0.006057255829072294,hold,,
521692,141,0.5141877197015436,0.470490294912878,0.43405626186856894,0.03643403304430909,hold,,
542303,121,0.5830958504705053,0.4437063055039783,0.43405626186856894,0.009650043635409389,hold,,
543309,54,0.4642671649529764,0.40439435331665774,0.43405626186856894,-0.029661908551911198,drop,,
543510,52,0.4430499524618601,0.3573437801801149,0.43405626186856894,-0.07671248168845402,drop,,
543760,134,0.5751257124737407,0.4732192361577006,0.43405626186856894,0.03916297428913168,hold,,
543807,75,0.6107638285791995,0.526055070810751,0.43405626186856894,0.09199880894218204,add,,
543877,60,0.33125709603389414,0.4398276999437036,0.43405626186856894,0.005771438075134638,hold,,
545121,108,0.49902485508726235,0.5852518535498873,0.43405626186856894,0.15119559168131835,add,,
545361,158,0.5045127277334035,0.5896389209859514,0.43405626186856894,0.15558265911738245,add,,
547180,145,0.6342855730104914,0.5822775795065028,0.43405626186856894,0.1482213176379339,add,,
553993,100,0.5186135515035205,0.40355291208930394,0.43405626186856894,-0.030503349779265,drop,,
571448,116,0.5459113094727631,0.48797966990359537,0.43405626186856894,0.05392340803502643,hold,,
571970,127,0.6456853004033417,0.6097706724029457,0.43405626186856894,0.17571441053437675,add,,
572233,144,0.5341372198241341,0.5756036200516611,0.43405626186856894,0.14154735818309216,add,,
573262,109,0.4954718765460282,0.4119444110548593,0.43405626186856894,-0.022111850813709644,drop,,
575929,142,0.5393091421446711,0.5111809169174607,0.43405626186856894,0.07712465504889177,add,,
592206,65,0.49573772946171013,0.4501960487612536,0.43405626186856894,0.016139786892684638,hold,,
592450,145,0.8615519372128695,0.7253662115639946,0.43405626186856894,0.2913099496954257,add,,
592518,130,0.6042814452818683,0.5254667515091853,0.43405626186856894,0.09141048964061638,add,,
592626,93,0.5307606397005182,0.4493174511396421,0.43405626186856894,0.015261189271073172,hold,,
592663,68,0.4532897255384176,0.4421891918149381,0.43405626186856894,0.00813292994636916,hold,,
592885,56,0.6137432606891501,0.48771706398770104,0.43405626186856894,0.0536608021191321,hold,,
593428,134,0.518643389433729,0.5353494186091389,0.43405626186856894,0.10129315674056993,add,,
593871,61,0.5174898448327843,0.4616793469096764,0.43405626186856894,0.027623085041107442,hold,,
595879,82,0.39370548653071946,0.42579559236866993,0.43405626186856894,-0.00826066949989901,drop,,
596019,105,0.668765942870591,0.5404678579337115,0.43405626186856894,0.10641159606514261,add,,
596115,139,0.48130407249652246,0.43007233920579746,0.43405626186856894,-0.0039839226627714774,drop,,
596142,88,0.5059649414995011,0.481056349951785,0.43405626186856894,0.04700008808321604,hold,,
602104,68,0.443361562214892,0.46155536084733634,0.43405626186856894,0.0274990989787674,hold,,
605137,135,0.49527018618212426,0.4770440268983341,0.43405626186856894,0.042987765029765146,hold,,
605170,101,0.48587019954078875,0.44090721033104796,0.43405626186856894,0.006850948462479023,hold,,
606192,122,0.5095665062327757,0.46221851442743184,0.43405626186856894,0.0281622525588629,hold,,
606466,136,0.709040857701609,0.578862092975711,0.43405626186856894,0.14480583110714207,add,,
607043,147,0.5427531718077344,0.5559784817779875,0.43405626186856894,0.12192221990941854,add,,
607208,148,0.6160112109720727,0.5255012024112279,0.43405626186856894,0.09144494054265895,add,,
608070,153,0.7799643594551983,0.673124418023245,0.43405626186856894,0.23906815615467603,add,,
608324,156,0.6339434907029985,0.5761195248011612,0.43405626186856894,0.1420632629325923,add,,
608348,96,0.48541681200354797,0.47767182784328144,0.43405626186856894,0.0436155659747125,hold,,
608369,143,0.6819435249314175,0.5356471424384316,0.43405626186856894,0.10159088056986265,add,,
609280,83,0.5506177430316396,0.5380567788341032,0.43405626186856894,0.10400051696553425,add,,
621020,134,0.4872098128271352,0.49217023721473085,0.43405626186856894,0.05811397534616192,hold,,
621043,137,0.50940908579571,0.511885580324169,0.43405626186856894,0.07782931845560004,add,,
621438,64,0.4473612220778194,0.42586400652590733,0.43405626186856894,-0.008192255342661603,drop,,
621439,147,0.6227842687992347,0.5721505859280256,0.43405626186856894,0.13809432405945665,add,,
621493,156,0.5234293580469699,0.5267901099076439,0.43405626186856894,0.09273384803907492,add,,
621566,158,0.6155560220025533,0.6500808235716088,0.43405626186856894,0.21602456170303985,add,,
623168,57,0.5431605899085872,0.3999440470973208,0.43405626186856894,-0.03411221477124815,drop,,
624413,147,0.610220969330916,0.5512435629027618,0.43405626186856894,0.11718730103419284,add,,
624428,64,0.4593937016657788,0.40407437250506206,0.43405626186856894,-0.029981889363506875,drop,,
624585,134,0.49502276877412577,0.48830248457686276,0.43405626186856894,0.05424622270829382,hold,,
630105,112,0.49642904046074654,0.4257631329818963,0.43405626186856894,-0.008293128886672663,drop,,
641343,123,0.42320554069067245,0.46296940779597734,0.43405626186856894,0.0289131459274084,hold,,
641355,138,0.6727859412748304,0.621334663215746,0.43405626186856894,0.1872784013471771,add,,
641487,115,0.47568065351674127,0.4951704647183959,0.43405626186856894,0.06111420284982694,hold,,
641584,74,0.5359226455791279,0.46298520831418105,0.43405626186856894,0.028928946445612114,hold,,
641857,86,0.37812877266423817,0.3798629006320309,0.43405626186856894,-0.05419336123653806,drop,,
641933,54,0.4864640343239879,0.45464514516928795,0.43405626186856894,0.020588883300719008,hold,,
642086,72,0.4655954143359286,0.5173322730396344,0.43405626186856894,0.08327601117106542,add,,
642201,53,0.4975524558988386,0.4427294359596473,0.43405626186856894,0.008673174091078373,hold,,
642708,67,0.47239210706300894,0.5106602373815959,0.43405626186856894,0.076603975513027,add,,
642715,136,0.5248445523743466,0.4513332224165205,0.43405626186856894,0.01727696054795158,hold,,
643217,109,0.5080812749198018,0.43272090831705334,0.43405626186856894,-0.0013353535515155945,drop,,
643289,131,0.5015213520271826,0.489362296350302,0.43405626186856894,0.055306034481733046,hold,,
643376,81,0.4794295757995092,0.4088215803556521,0.43405626186856894,-0.025234681512916857,drop,,
643446,117,0.5463862868499192,0.5319503735032756,0.43405626186856894,0.09789411163470663,add,,
645277,151,0.5785501357689482,0.5552619315371778,0.43405626186856894,0.1212056696686089,add,,
646240,136,0.6065794573408851,0.41469351626424156,0.43405626186856894,-0.01936274560432738,drop,,
647304,139,0.6779911576687596,0.5392043698879649,0.43405626186856894,0.105148108019396,add,,
650333,136,0.602681170753593,0.5180359121048225,0.43405626186856894,0.08397965023625353,add,,
650402,144,0.5357235926731699,0.46067542235025777,0.43405626186856894,0.02661916048168883,hold,,
650489,99,0.4653391814135857,0.38473545794712505,0.43405626186856894,-0.04932080392144389,drop,,
650490,135,0.6083374427061953,0.6178008055690768,0.43405626186856894,0.18374454370050786,add,,
650859,108,0.48406893472034085,0.4769522129451027,0.43405626186856894,0.04289595107653377,hold,,
655316,51,0.4351682710226919,0.46896345164136793,0.43405626186856894,0.034907189772799,hold,,
656305,141,0.5221735646736141,0.4140842180590708,0.43405626186856894,-0.01997204380949813,drop,,
656484,62,0.4542568749241084,0.38033956554948867,0.43405626186856894,-0.05371669631908027,drop,,
656555,95,0.4571016950925839,0.41035515737593664,0.43405626186856894,-0.023701104492632297,drop,,
656775,113,0.530753523488964,0.4485457566031439,0.43405626186856894,0.014489494734574948,hold,,
656811,140,0.5635064525095028,0.5385942014686557,0.43405626186856894,0.10453793960008673,add,,
656941,153,0.6316357015513445,0.57836737738656,0.43405626186856894,0.14431111551799103,add,,
657041,75,0.4769680266565829,0.4673104683936179,0.43405626186856894,0.03325420652504896,hold,,
657656,132,0.5097197294865985,0.4636298788670739,0.43405626186856894,0.02957361699850497,hold,,
657757,96,0.4445865713906513,0.49555598723837524,0.43405626186856894,0.0614997253698063,hold,,
660162,105,0.46185960000080395,0.40569896771277614,0.43405626186856894,-0.0283572941557928,drop,,
660271,153,0.8306761795322842,0.6434280990248806,0.43405626186856894,0.2093718371563117,add,,
660670,152,0.7609157166452808,0.5554687216912922,0.43405626186856894,0.1214124598227233,add,,
660688,66,0.4943192852552195,0.4789285257064847,0.43405626186856894,0.04487226383791576,hold,,
660821,114,0.4705988477516846,0.48950407545235564,0.43405626186856894,0.0554478135837867,hold,,
660844,99,0.4715030311211904,0.33861273086171817,0.43405626186856894,-0.09544353100685077,drop,,
661388,138,0.5807158443536078,0.5965829850939699,0.43405626186856894,0.16252672322540096,add,,
662139,124,0.5117964584022009,0.5438030764630981,0.43405626186856894,0.10974681459452917,add,,
663368,53,0.43920541159398735,0.41076990904144706,0.43405626186856894,-0.02328635282712188,drop,,
663538,152,0.609573404825212,0.5891155516669473,0.43405626186856894,0.15505928979837835,add,,
663586,148,0.5155080234059115,0.42738761299665534,0.43405626186856894,-0.006668648871913596,drop,,
663604,94,0.3789168417044556,0.3531885471044127,0.43405626186856894,-0.08086771476415622,drop,,
663616,94,0.4942524798487561,0.4764795498337889,0.43405626186856894,0.042423287965219936,hold,,
663647,90,0.40102733921477596,0.452426088562656,0.43405626186856894,0.018369826694087044,hold,,
663656,146,0.7534798759131925,0.558396888471766,0.43405626186856894,0.12434062660319711,add,,
663697,58,0.49236090178402847,0.44689000765722137,0.43405626186856894,0.012833745788652429,hold,,
663728,147,0.6050278962779413,0.477682151578933,0.43405626186856894,0.043625889710364074,hold,,
663743,89,0.3798293209955037,0.45284890251182625,0.43405626186856894,0.018792640643257308,hold,,
663757,123,0.5068939282128299,0.5439924171690835,0.43405626186856894,0.10993615530051459,add,,
663837,78,0.4610233510824455,0.44492737488648915,0.43405626186856894,0.010871113017920209,hold,,
663886,94,0.4575220389294841,0.4724868200606849,0.43405626186856894,0.03843055819211594,hold,,
663968,79,0.49090909646148756,0.4439577046019231,0.43405626186856894,0.009901442733354138,hold,,
663993,69,0.468180638315855,0.5659586572228802,0.43405626186856894,0.13190239535431125,add,,
664023,147,0.5406254525830002,0.5255089482538479,0.43405626186856894,0.09145268638527893,add,,
664034,56,0.4403384050576578,0.5359328895436389,0.43405626186856894,0.10187662767507,add,,
664040,135,0.5358340562847919,0.5184036667355577,0.43405626186856894,0.08434740486698877,add,,
664056,52,0.4888977420960548,0.4286640974345575,0.43405626186856894,-0.005392164434011415,drop,,
