pitcher,player_name,xfp_v7,gs_2026,fp_per_start_actual_2026,k_pct_2026,xfp_v6,xfp_v5,delta_v7_v6
434378,"Verlander, Justin",10.715085356960806,,,,10.654224933046669,10.473814359094165,0.060860423914137485
450203,"Morton, Charlie",9.510006714948455,,,,9.551767527132723,9.278258565751887,-0.0417608121842683
453286,"Scherzer, Max",10.048128979376157,5.0,0.0599999999999994,0.1071428571428571,10.229058935018442,9.821805869106985,-0.1809299556422843
477132,"Kershaw, Clayton",10.837591283204793,,,,10.859849608315203,11.130366947095318,-0.022258325110410482
500779,"Quintana, Jose",6.890639267958903,5.0,7.039999999999999,0.1142857142857142,7.405254797110646,7.375465663070111,-0.5146155291517429
506433,"Darvish, Yu",11.656453583554526,,,,11.661750109049859,11.74615786892404,-0.005296525495332105
518876,"Kelly, Merrill",11.160985091809694,4.0,-2.4000000000000017,0.1414141414141414,11.491655051016986,11.044982450298644,-0.3306699592072917
519242,"Sale, Chris",15.521976129607273,7.0,17.94285714285714,0.298780487804878,15.771008574885888,15.736094318361523,-0.24903244527861546
527048,"Pérez, Martín",7.070509702102305,4.0,12.075,0.1696428571428571,7.148322003118755,7.670386739205764,-0.07781230101645065
542881,"Anderson, Tyler",7.828267387481499,,,,7.868077354194965,8.123246485377772,-0.039809966713466594
543135,"Eovaldi, Nathan",14.422792687164257,7.0,10.128571428571428,0.2254335260115607,14.798921577373157,14.467116576886731,-0.37612889020889995
543243,"Gray, Sonny",12.516480448496377,5.0,6.339999999999999,0.13,13.067271309923278,12.51427926107533,-0.5507908614269006
543294,"Hendricks, Kyle",10.596628953704714,,,,9.801111545352676,10.542340652410516,0.7955174083520387
547179,"Lorenzen, Michael",9.02884634607295,7.0,2.4142857142857124,0.1463414634146341,9.023939905382925,9.03245772587855,0.0049064406900249935
554430,"Wheeler, Zack",16.369960601248838,,,,17.014950541355134,16.728639852798242,-0.6449899401062957
571510,"Boyd, Matthew",11.404927988415078,5.0,10.2,0.31,10.971736065806931,11.367012490774744,0.4331919226081471
571578,"Corbin, Patrick",8.809313133520218,5.0,8.6,0.1923076923076923,9.241062893065749,9.261344675802144,-0.4317497595455304
571760,"Heaney, Andrew",6.15881799262875,,,,6.014098353695379,6.637997465841727,0.14471963893337048
571945,"Mikolas, Miles",7.273209521560889,5.0,1.019999999999999,0.1484375,7.337246826156626,7.326283931305269,-0.06403730459573698
579328,"Kikuchi, Yusei",9.088668382765867,7.0,6.6,0.2323943661971831,9.48117365531127,9.439084972881004,-0.392505272545403
592332,"Gausman, Kevin",12.736041701845245,7.0,15.028571428571428,0.2484472049689441,13.53433166747251,12.646464129495799,-0.798289965627264
592662,"Ray, Robbie",11.775653059515864,7.0,14.385714285714284,0.2531645569620253,11.973628500132724,11.755498118056579,-0.1979754406168599
592791,"Taillon, Jameson",11.880205137277791,6.0,11.199999999999998,0.2183098591549295,12.646900134623065,11.90616099204344,-0.7666949973452741
592836,"Walker, Taijuan",8.375474993105874,4.0,-0.9000000000000012,0.1478260869565217,8.39663652081318,8.634378052308538,-0.021161527707306504
