pitcher,player_name,cohort,xfp_v5,xfp_v6,xfp_v7,xfp_v8,xfp_v8_1,delta_v8_1_v8,n_pitches_2025,n_pitches_2026,weight_2026,gs_2026,fp_per_start_actual_2026,k_pct_2026
434378,"Verlander, Justin",2025_only,10.796315618268514,10.55467324852792,10.859012678106833,10.382883175695987,10.382883175695987,0.0,2612.0,0.0,0.0,,,
450203,"Morton, Charlie",2025_only,9.553062787489065,9.753892145186894,9.662104213007908,9.628098622366563,9.628098622366565,1.7763568394002505e-15,2559.0,0.0,0.0,,,
453286,"Scherzer, Max",blended,9.9816273086364,10.174212417939872,10.135215128626822,9.485835088416776,8.431761316649256,-1.05407377176752,1392.0,344.0,0.19815668202764977,5.0,0.0599999999999994,0.1071428571428571
477132,"Kershaw, Clayton",2025_only,11.343549938779772,11.268360656075446,11.201618873300632,11.465394459004363,11.465394459004365,1.7763568394002505e-15,1772.0,0.0,0.0,,,
500779,"Quintana, Jose",blended,7.662908751177802,7.811857013037311,7.467136629592167,7.9463886375032,7.818078643647126,-0.12830999385607456,2177.0,415.0,0.16010802469135801,5.0,7.039999999999999,0.1142857142857142
506433,"Darvish, Yu",2025_only,11.864984750968768,11.581159780956895,11.91473735223941,12.124739079177552,12.124739079177552,0.0,1160.0,0.0,0.0,,,
518876,"Kelly, Merrill",blended,11.50561329106431,11.563169625663988,11.528053731857057,10.65006806952256,9.127969514487056,-1.5220985550355035,2835.0,385.0,0.11956521739130435,4.0,-2.4000000000000017,0.1414141414141414
519242,"Sale, Chris",blended,15.96837379680547,16.121414806949733,15.8676533698974,17.00625954492109,16.402159370823533,-0.6041001740975567,2031.0,644.0,0.24074766355140187,7.0,17.94285714285714,0.298780487804878
527048,"Pérez, Martín",blended,8.070455375914177,7.706941125438474,7.603052962209956,8.153261795039564,8.737286826665564,0.5840250316260001,904.0,445.0,0.32987398072646407,4.0,12.075,0.1696428571428571
542881,"Anderson, Tyler",2025_only,8.544174675473343,8.74078330906594,8.264716629167259,7.752220021828428,7.752220021828428,0.0,2353.0,0.0,0.0,,,
543135,"Eovaldi, Nathan",blended,14.501981247370544,15.056686547350116,14.615621947479404,15.0898369180397,13.625398626695464,-1.4644382913442353,1924.0,628.0,0.24608150470219436,7.0,10.128571428571428,0.2254335260115607
543243,"Gray, Sonny",blended,12.75426399504516,13.117069647500536,12.8219796659152,12.428694293373876,11.386617244922656,-1.0420770484512207,2724.0,390.0,0.1252408477842004,5.0,6.339999999999999,0.13
543294,"Hendricks, Kyle",2025_only,11.44268110031132,10.13667589454828,11.306845912631577,10.410789242349312,10.410789242349313,1.7763568394002505e-15,2583.0,0.0,0.0,,,
547179,"Lorenzen, Michael",blended,9.44975695958894,9.426104669971336,9.348776560613354,9.051263966082066,8.663620081263225,-0.38764388481884104,2318.0,615.0,0.20968291851346743,7.0,2.4142857142857124,0.1463414634146341
554430,"Wheeler, Zack",2025_only,16.562791704123505,17.37459963497387,16.508507638683053,18.474507383743173,18.474507383743173,0.0,2394.0,0.0,0.0,,,
