pitcher,year,fp_strike_pct
112526,2015,0.6646266829865362
115629,2015,0.6049382716049383
136600,2015,0.7714285714285715
150116,2015,0.5370370370370371
150274,2015,1.0
150302,2015,0.5391705069124424
150359,2015,0.6057142857142858
217096,2015,0.5675675675675675
218596,2015,0.6306818181818182
234194,2015,0.71875
276351,2015,0.6142857142857143
276514,2015,0.6862745098039216
276542,2015,0.53515625
279571,2015,0.6711409395973155
279824,2015,0.6147342995169082
282332,2015,0.6236263736263736
285064,2015,0.6003344481605352
285079,2015,0.5887005649717514
329092,2015,0.6495726495726496
346793,2015,0.5740740740740741
346797,2015,0.5238095238095238
346798,2015,0.6401799100449775
346847,2015,0.6868686868686869
400085,2015,0.4
400089,2015,0.48
407793,2015,0.7064732142857143
407819,2015,0.5847953216374269
407822,2015,0.584251968503937
407845,2015,0.5935251798561151
407890,2015,0.627177700348432
407908,2015,0.5950413223140496
408061,2015,0.6342592592592593
408241,2015,0.6333333333333333
421685,2015,0.6205059920106525
424144,2015,0.6557377049180327
424325,2015,0.8333333333333334
425386,2015,0.6306306306306306
425492,2015,0.6626506024096386
425532,2015,0.6162162162162163
425543,2015,0.25
425560,2015,0.3333333333333333
425626,2015,0.6446700507614214
425657,2015,0.5986394557823129
425786,2015,0.6666666666666666
425794,2015,0.5405405405405406
425796,2015,0.36363636363636365
425835,2015,0.6756756756756757
425840,2015,0.5485074626865671
425844,2015,0.6375442739079102
425856,2015,0.5818181818181818
429400,2015,0.4838709677419355
429717,2015,0.6350649350649351
429719,2015,0.543859649122807
429722,2015,0.6143790849673203
429780,2015,0.5416666666666666
429781,2015,0.6491228070175439
429783,2015,0.64
430404,2015,0.5
430580,2015,0.5551515151515152
430589,2015,0.6534653465346535
430599,2015,0.6213592233009708
430605,2015,0.2
430613,2015,0.6388888888888888
430630,2015,0.6532258064516129
430641,2015,0.6333333333333333
430661,2015,0.559322033898305
430911,2015,0.6356589147286822
430912,2015,0.5904059040590406
430935,2015,0.6065759637188208
431148,2015,0.6094364351245085
431162,2015,0.5858585858585859
432934,2015,0.5765407554671969
433579,2015,0.6246753246753247
433584,2015,0.6358543417366946
433585,2015,0.57
433586,2015,0.5673469387755102
433587,2015,0.6336154776299879
433589,2015,0.6234177215189873
434137,2015,0.6666666666666666
434378,2015,0.6380597014925373
434442,2015,0.5863874345549738
434538,2015,0.5749354005167958
434540,2015,0.5
434622,2015,0.6040353089533418
434628,2015,0.6090014064697609
434643,2015,0.6505102040816326
434665,2015,0.5526315789473685
434671,2015,0.6515837104072398
434678,2015,0.6
434718,2015,0.5568627450980392
435043,2015,0.5490196078431373
435044,2015,0.5555555555555556
435045,2015,0.6986301369863014
435221,2015,0.6595744680851063
435400,2015,0.6747572815533981
444436,2015,0.6600985221674877
444446,2015,0.5584415584415584
444468,2015,0.6325088339222615
444520,2015,0.5480427046263345
444836,2015,0.36363636363636365
444857,2015,0.6070640176600441
444935,2015,0.5714285714285714
445060,2015,0.5172413793103449
445163,2015,0.688622754491018
445170,2015,0.625
445197,2015,0.5872340425531914
445213,2015,0.5555555555555556
445276,2015,0.695
445590,2015,0.6632653061224489
445612,2015,0.5660377358490566
445926,2015,0.6062407132243685
445968,2015,0.6111111111111112
446099,2015,0.5139442231075697
446321,2015,0.5292096219931272
446372,2015,0.6347237880496054
446399,2015,0.5981308411214953
446899,2015,0.5893536121673004
447714,2015,0.6477987421383647
447755,2015,0.6511627906976745
448159,2015,0.4846153846153846
448178,2015,0.5749128919860628
448179,2015,0.6132075471698113
448281,2015,0.6491228070175439
448306,2015,0.6037079953650057
448609,2015,0.6451612903225806
448614,2015,0.6147540983606558
448802,2015,0.5870841487279843
448855,2015,0.631578947368421
449079,2015,0.7096774193548387
449097,2015,0.6615384615384615
449170,2015,0.5178571428571429
450172,2015,0.57981220657277
450203,2015,0.6163410301953819
450212,2015,0.6905829596412556
450275,2015,0.6682027649769585
450282,2015,0.6386554621848739
450306,2015,0.6467391304347826
450308,2015,0.6065573770491803
450351,2015,0.5927927927927928
450665,2015,0.5819672131147541
450729,2015,0.6208425720620843
451085,2015,0.6086956521739131
451532,2015,0.6424242424242425
451584,2015,0.6071428571428571
451596,2015,0.5882352941176471
451661,2015,0.6047619047619047
451775,2015,0.5950413223140496
451788,2015,0.5845070422535211
452027,2015,0.6363636363636364
452657,2015,0.6079136690647482
452666,2015,0.5298507462686567
452718,2015,0.6365079365079365
452733,2015,0.5898876404494382
453156,2015,0.547945205479452
453172,2015,0.6056338028169014
453178,2015,0.6148459383753502
453192,2015,0.6585365853658537
453203,2015,0.0
453214,2015,0.5498392282958199
453222,2015,0.6358024691358025
453249,2015,0.6180555555555556
453264,2015,0.5
453265,2015,0.6518771331058021
453286,2015,0.7111111111111111
453307,2015,0.7666666666666667
453311,2015,0.4984984984984985
453329,2015,0.648936170212766
453343,2015,0.6245733788395904
453344,2015,0.5317460317460317
453385,2015,0.6132596685082873
453562,2015,0.6002290950744559
453646,2015,0.623015873015873
453895,2015,0.75
455009,2015,0.5992217898832685
455119,2015,0.6464646464646465
455374,2015,0.6234309623430963
456027,2015,0.5411764705882353
456034,2015,0.6681664791901012
456051,2015,0.577922077922078
456068,2015,0.6205787781350482
456071,2015,0.5912162162162162
456121,2015,1.0
456379,2015,0.5682656826568265
456496,2015,0.5575221238938053
456501,2015,0.6304849884526559
456696,2015,0.5486111111111112
456701,2015,0.6274509803921569
456776,2015,0.5
457117,2015,0.64
457429,2015,0.6130952380952381
457435,2015,0.5892857142857143
457448,2015,0.5797101449275363
457456,2015,1.0
457711,2015,0.6212121212121212
457732,2015,0.5121951219512195
457744,2015,0.583941605839416
457754,2015,0.5394736842105263
457768,2015,0.6353790613718412
457915,2015,0.5714285714285714
457918,2015,0.6
458006,2015,0.5866666666666667
458584,2015,0.5372340425531915
458677,2015,0.5975609756097561
458678,2015,0.6410256410256411
458681,2015,0.5638297872340425
458690,2015,0.5714285714285714
458708,2015,0.6613545816733067
458730,2015,0.5752212389380531
458919,2015,0.610236220472441
459429,2015,0.6190476190476191
459967,2015,0.6071428571428571
459987,2015,0.6334841628959276
460008,2015,0.6153846153846154
460024,2015,0.6325581395348837
460059,2015,0.5762237762237762
460156,2015,0.6285714285714286
460283,2015,0.6
460701,2015,0.6148648648648649
461325,2015,0.5581395348837209
461815,2015,0.4
461829,2015,0.5973684210526315
461833,2015,0.7162576687116564
461872,2015,0.7377049180327869
462089,2015,0.75
462136,2015,0.5747599451303155
462382,2015,0.6116838487972509
462515,2015,0.672
462945,2015,0.6373626373626373
462985,2015,0.5291828793774319
464416,2015,0.6829268292682927
465629,2015,0.6994818652849741
465657,2015,0.6117216117216118
465679,2015,0.6145833333333334
466948,2015,0.5521235521235521
467008,2015,0.5756457564575646
467094,2015,0.5030120481927711
467100,2015,0.5469879518072289
467785,2015,0.5377358490566038
468396,2015,0.60431654676259
468504,2015,0.5495495495495496
469134,2015,0.5228758169934641
471822,2015,0.5953307392996109
471911,2015,0.6684856753069577
472551,2015,0.5217391304347826
472610,2015,0.5197368421052632
473879,2015,0.598705501618123
474029,2015,0.5754716981132075
474284,2015,0.550561797752809
474463,2015,0.5822281167108754
474521,2015,0.6610738255033557
474668,2015,0.4375
474699,2015,0.5819935691318328
475054,2015,0.6123595505617978
475115,2015,0.5750605326876513
475138,2015,0.5384615384615384
475243,2015,0.6190476190476191
475416,2015,0.5604395604395604
475479,2015,0.6459627329192547
475857,2015,0.5
476451,2015,0.6289308176100629
476454,2015,0.5933734939759037
476570,2015,0.4727272727272727
476589,2015,0.595903165735568
476595,2015,0.6666666666666666
477003,2015,0.6209573091849935
477132,2015,0.6778149386845039
477195,2015,0.375
