pitcher,year,prior_career_fp_per_start,prior_career_gs
112526,2015,,0
112526,2016,11.096774193548386,31
112526,2017,11.095238095238093,63
112526,2018,8.983516483516482,91
150359,2015,,0
218596,2015,,0
276520,2017,,0
279824,2015,,0
282332,2015,,0
282332,2016,9.434482758620687,29
282332,2017,10.477966101694912,59
282332,2018,10.532558139534881,86
282332,2019,10.365217391304347,115
285064,2015,,0
285064,2016,9.4,22
285079,2015,,0
285079,2016,11.309090909090909,33
285079,2017,10.445161290322579,62
346798,2015,,0
407793,2015,,0
407793,2016,14.72424242424242,33
407793,2017,14.999999999999996,62
407822,2015,,0
407822,2016,10.58076923076923,26
407890,2015,,0
407890,2016,10.133333333333333,33
408241,2015,,0
408241,2016,11.942105263157892,19
421685,2015,,0
425386,2015,,0
425532,2015,,0
425794,2016,,0
425794,2017,9.56060606060606,33
425794,2019,8.92142857142857,56
425794,2020,9.194252873563219,87
425794,2021,9.778350515463918,97
425794,2022,11.12170542635659,129
425794,2023,11.141614906832299,161
425844,2015,,0
425844,2016,20.2125,32
425844,2017,16.30862068965517,58
425844,2018,15.978888888888887,90
425844,2019,15.774796747967477,123
425844,2020,15.757692307692306,156
425844,2021,15.54345238095238,168
425844,2022,14.860913705583753,197
425844,2023,14.05874439461883,223
429717,2015,,0
429719,2016,,0
429719,2017,6.369230769230768,13
429719,2018,7.153846153846152,26
429719,2019,8.432558139534882,43
429722,2015,,0
429722,2016,11.64705882352941,17
429722,2017,12.417021276595742,47
430580,2015,,0
430580,2016,8.187096774193547,31
430912,2015,,0
430912,2016,6.463636363636363,11
430912,2017,6.099999999999999,28
430935,2015,,0
430935,2016,14.968749999999998,32
430935,2017,13.95,64
430935,2018,13.117045454545455,88
430935,2019,12.96890756302521,119
431148,2015,,0
431148,2016,12.338709677419352,31
432934,2015,,0
432934,2016,11.505555555555553,18
433579,2015,,0
433584,2015,,0
433587,2015,,0
433587,2016,15.439999999999998,30
433587,2017,13.209090909090907,55
433587,2018,12.467605633802814,71
433587,2019,11.086999999999998,100
434378,2015,,0
434378,2016,14.505,20
434378,2017,16.668518518518518,54
434378,2018,16.19885057471264,87
434378,2019,17.16363636363636,121
434378,2022,17.99290322580645,155
434378,2023,18.086338797814207,183
434378,2024,17.495714285714282,210
434378,2025,16.76123348017621,227
434538,2015,,0
434538,2016,14.432258064516128,31
434538,2017,12.004999999999999,60
434538,2018,10.914285714285715,77
434622,2015,,0
434622,2016,10.499999999999998,32
434622,2017,9.603571428571428,56
434628,2015,,0
434628,2016,12.496774193548386,31
434628,2017,11.762295081967213,61
434628,2018,10.708602150537635,93
434643,2015,,0
434671,2015,,0
434671,2016,11.128,25
434671,2017,8.94705882352941,51
434671,2018,8.629850746268655,67
434671,2019,9.998901098901097,91
434671,2020,10.242975206611568,121
434671,2022,9.864393939393938,132
435221,2017,,0
435221,2018,10.406249999999998,16
444857,2015,,0
444857,2017,9.949999999999998,18
445060,2016,,0
445060,2017,10.912499999999998,32
445926,2015,,0
445926,2017,9.853846153846153,26
446321,2019,,0
446372,2015,,0
446372,2016,17.478125,32
446372,2017,17.34375,64
446372,2018,18.8505376344086,93
446372,2021,18.33015873015873,126
446372,2022,17.395774647887322,142
448179,2016,,0
448179,2017,16.452631578947365,19
448179,2018,15.072727272727269,44
448179,2019,14.535820895522386,67
448179,2020,14.31772151898734,79
448179,2021,13.981609195402298,87
448179,2022,13.01694915254237,118
448179,2023,12.219444444444441,144
448306,2015,,0
448306,2016,12.921212121212118,33
448306,2017,9.496969696969694,66
448306,2018,9.282758620689652,87
448802,2015,,0
448802,2016,15.774999999999997,20
448802,2017,11.97,50
448802,2018,11.414285714285715,77
448855,2016,,0
448855,2017,14.044999999999998,20
448855,2018,10.802941176470586,34
450172,2015,,0
450172,2016,11.327272727272726,33
450172,2017,8.992537313432834,67
450203,2015,,0
450203,2017,9.777272727272726,22
450203,2018,11.651063829787232,47
450203,2019,12.555844155844156,77
450203,2020,13.462727272727271,110
450203,2021,12.999999999999998,119
450203,2022,13.464900662251654,151
450203,2023,13.236813186813187,182
450203,2024,12.954716981132075,212
450203,2025,12.58388429752066,242
450306,2017,,0
450306,2018,9.753125,32
450306,2019,8.927450980392157,51
450308,2015,,0
450308,2016,9.003846153846153,26
450351,2015,,0
450729,2015,,0
450729,2016,6.926666666666665,15
450729,2017,7.7170212765957436,47
450729,2018,8.088709677419352,62
451596,2015,,0
451596,2016,9.675757575757574,33
451596,2017,8.207142857142856,56
451596,2018,7.585897435897434,78
452657,2015,,0
452657,2016,14.51875,32
452657,2017,15.625,64
452657,2018,14.276842105263157,95
452657,2019,13.46535433070866,127
452657,2020,12.528481012658228,158
452657,2021,12.215294117647058,170
452718,2015,,0
453178,2015,,0
453178,2016,10.403333333333332,30
453178,2017,11.465079365079365,63
453178,2018,10.296774193548385,93
453214,2016,,0
453281,2018,,0
453281,2019,11.044444444444444,27
453286,2015,,0
453286,2016,20.493939393939392,33
453286,2017,19.8865671641791,67
453286,2018,19.98877551020408,98
453286,2019,20.17328244274809,131
453286,2020,19.986708860759492,158
453286,2021,19.52411764705882,170
453286,2022,19.420603015075375,199
453286,2023,19.35495495495495,222
453286,2025,18.760642570281124,249
453286,2026,18.25396226415094,265
453311,2015,,0
453329,2015,,0
453329,2016,13.516666666666666,18
453329,2018,10.35128205128205,39
453329,2019,11.89272727272727,55
453385,2017,,0
453385,2018,8.368749999999999,32
453385,2019,8.167796610169491,59
453562,2015,,0
453562,2016,20.43636363636364,33
453562,2017,18.1203125,64
453562,2018,15.97872340425532,94
453562,2019,14.316,125
453562,2020,13.361744966442952,149
453562,2021,12.99367088607595,158
456034,2015,,0
456034,2016,18.053125,32
456034,2017,15.953731343283584,67
456034,2018,15.378205128205128,78
456034,2019,14.86759259259259,108
456034,2021,14.132558139534883,129
456068,2015,,0
456068,2016,8.488461538461538,26
456068,2017,9.595918367346938,49
456071,2015,,0
456167,2016,,0
456167,2017,8.378260869565215,23
456501,2015,,0
456501,2016,14.08125,32
456501,2017,15.1703125,64
456501,2020,13.81685393258427,89
456501,2021,13.195049504950495,101
456501,2022,12.533606557377048,122
456501,2023,12.42876712328767,146
456701,2017,,0
456701,2018,4.4722222222222205,18
456701,2019,4.710526315789473,38
457711,2015,,0
457918,2015,,0
457918,2016,11.464516129032257,31
457918,2017,12.693650793650795,63
457918,2018,12.507954545454544,88
457918,2019,12.745378151260503,119
457918,2020,12.028187919463086,149
457918,2021,12.036075949367087,158
458676,2020,,0
458681,2015,,0
458681,2017,13.063333333333333,30
458681,2018,12.603225806451611,62
458681,2019,11.273626373626373,91
458681,2020,12.257258064516128,124
458681,2021,12.56934306569343,137
458681,2022,12.972121212121209,165
458681,2023,12.878494623655913,186
458681,2024,12.339449541284402,218
458708,2015,,0
458708,2016,17.25,10
458708,2017,11.866666666666665,39
460059,2015,,0
460059,2016,6.886666666666666,30
460059,2017,5.536538461538461,52
461829,2015,,0
461829,2016,10.89032258064516,31
461829,2017,10.573015873015871,63
461829,2018,11.996842105263156,95
461829,2019,11.354330708661415,127
461833,2015,,0
461833,2016,9.839999999999998,25
462136,2015,,0
462136,2016,12.860714285714284,28
462136,2017,13.414035087719297,57
462136,2018,12.049999999999997,90
467094,2015,,0
467100,2015,,0
467100,2016,7.699999999999998,17
467100,2017,9.551162790697672,43
467100,2018,9.698648648648646,74
467100,2019,9.653398058252424,103
468504,2016,,0
468504,2017,7.236363636363635,22
468504,2018,9.988679245283016,53
468504,2019,10.521590909090907,88
471911,2015,,0
471911,2016,16.02758620689655,29
471911,2017,14.99622641509434,53
471911,2018,15.323529411764707,85
471911,2019,15.44086956521739,115
471911,2020,15.274603174603172,126
471911,2021,15.236231884057966,138
471911,2022,14.530666666666663,150
471911,2023,13.958659217877091,179
471911,2024,12.894472361809044,199
474463,2015,,0
474463,2017,9.761290322580644,31
474463,2018,8.413953488372092,43
474463,2019,8.089999999999998,60
474463,2020,8.382417582417581,91
474463,2021,8.312871287128711,101
474699,2017,,0
475115,2015,,0
475115,2017,13.366666666666664,33
475115,2018,10.781395348837208,43
475243,2017,,0
475479,2015,,0
476451,2015,,0
476451,2016,9.662962962962965,27
476451,2017,10.952542372881357,59
476451,2018,9.68314606741573,89
476589,2015,,0
477003,2015,,0
477003,2016,8.513793103448274,29
477132,2015,,0
477132,2016,22.25151515151515,33
477132,2017,22.74814814814815,54
477132,2018,21.48641975308642,81
477132,2019,20.058878504672897,107
477132,2020,19.323703703703707,135
477132,2021,19.173103448275864,145
477132,2022,18.510179640718565,167
477132,2023,18.246031746031747,189
477132,2025,17.809859154929576,213
488768,2015,,0
488768,2016,8.916129032258064,31
488768,2017,8.03859649122807,57
488768,2018,8.638823529411765,85
488768,2019,7.932743362831857,113
489119,2015,,0
489119,2016,9.925,32
