bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
abbotco01,2022,Cory Abbott,WSN,48.0,16,2,0,100.0
abreual01,2022,Albert Abreu,TOT,38.2,33,13,7,46.0
abreubr01,2022,Bryan Abreu,HOU,60.1,55,27,10,63.0
acevedo01,2022,Domingo Acevedo,OAK,67.2,70,30,10,67.0
adamja01,2022,Jason Adam,TBR,63.1,67,31,3,90.0
adamsau02,2022,Austin Adams,SDP,2.1,2,0,0,
adriaeh01,2022,Ehire Adrianza,TOT,1.0,1,0,0,
akinke01,2022,Keegan Akin*,BAL,81.2,45,27,10,63.0
alberha01,2022,Hanser Alberto,LAD,11.0,10,0,0,
alcaljo01,2022,Jorge Alcala,MIN,2.1,2,1,0,100.0
alexaja01,2022,Jason Alexander,MIL,71.2,18,3,1,67.0
alexasc02,2022,Scott Alexander*,SFG,17.1,17,8,0,100.0
alexaty01,2022,Tyler Alexander*,DET,101.0,27,13,6,54.0
alexyaj01,2022,A.J. Alexy,TEX,7.0,4,2,1,50.0
allarko01,2022,Kolby Allard*,TEX,21.0,10,6,3,50.0
alldrca01,2022,Cam Alldred*,PIT,1.0,1,0,0,
allenlo01,2022,Logan Allen*,TOT,7.2,7,4,2,50.0
almonye01,2022,Yency Almonte,LAD,35.1,33,7,2,71.0
alvarjo02,2022,José Álvarez*,SFG,15.1,21,13,6,54.0
alvarjo03,2022,José Alvarado*,PHI,51.0,59,25,7,72.0
alvarrj01,2022,R.J. Alvarez,NYM,2.1,1,0,0,
alzolad01,2022,Adbert Alzolay,CHC,13.1,6,4,2,50.0
anderch01,2022,Chase Anderson,CIN,24.0,9,2,1,50.0
andersh01,2022,Shaun Anderson,TOR,1.0,1,0,0,
anderty01,2022,Tyler Anderson*,LAD,178.2,30,0,0,
appelma01,2022,Mark Appel,PHI,10.1,6,0,0,
aranovi01,2022,Víctor Arano,WSN,42.0,43,25,12,52.0
arciaor01,2022,Orlando Arcia,ATL,1.0,1,0,0,
arihako01,2022,Kohei Arihara,TEX,20.0,5,0,0,
armstsh01,2022,Shawn Armstrong,TOT,61.2,50,22,9,59.0
ashbyaa01,2022,Aaron Ashby*,MIL,107.1,27,2,1,50.0
assadja01,2022,Javier Assad,CHC,37.2,9,0,0,
astudwi01,2022,Willians Astudillo,MIA,2.0,2,0,0,
avilape01,2022,Pedro Avila,SDP,4.0,2,0,0,
baezmi01,2022,Michel Báez,SDP,2.0,2,0,0,
baezpe01,2022,Pedro Báez,HOU,2.1,3,0,0,
bakerbr01,2022,Bryan Baker,BAL,69.2,66,29,9,69.0
bandaan01,2022,Anthony Banda*,TOT,26.2,32,21,9,57.0
banksta01,2022,Tanner Banks*,CHW,53.0,35,9,5,44.0
banuema01,2022,Manny Banuelos*,TOT,41.0,35,24,9,62.0
bardda01,2022,Daniel Bard,COL,60.1,57,2,0,100.0
bardlu01,2022,Luke Bard,TOT,15.0,9,0,0,
barkelu01,2022,Luke Barker,MIL,4.0,3,0,0,
barlojo01,2022,Joe Barlow,TEX,35.0,35,2,0,100.0
barlosc01,2022,Scott Barlow,KCR,74.1,69,37,13,65.0
barneja01,2022,Jacob Barnes,TOT,22.1,23,6,2,67.0
barnema01,2022,Matt Barnes,BOS,39.2,44,3,0,100.0
barnhtu01,2022,Tucker Barnhart,DET,1.0,1,0,0,
barraky01,2022,Kyle Barraclough,LAA,9.0,8,3,0,100.0
barrija01,2022,Jaime Barria,LAA,79.1,35,19,8,58.0
bassan01,2022,Anthony Bass,TOT,70.1,73,31,7,77.0
battema01,2022,Matthew Batten,SDP,2.0,2,0,0,
baumami01,2022,Mike Baumann,BAL,34.1,13,4,1,75.0
bautife01,2022,Félix Bautista,BAL,65.2,65,36,7,81.0
bazared01,2022,Eduard Bazardo,BOS,16.1,12,3,3,0.0
beaslje01,2022,Jeremy Beasley,TOR,15.0,9,2,1,50.0
bednada01,2022,David Bednar,PIT,51.2,45,8,1,87.0
beedety01,2022,Tyler Beede,TOT,61.1,31,10,3,70.0
beeksja02,2022,Jalen Beeks*,TBR,61.0,42,9,3,67.0
bellaan01,2022,Andrew Bellatti,PHI,54.1,59,32,9,72.0
bellobr01,2022,Brayan Bello,BOS,57.1,13,0,0,
bendean01,2022,Anthony Bender,MIA,19.1,22,12,3,75.0
bernabr01,2022,Brennan Bernardino*,SEA,2.1,2,0,0,
bethach01,2022,Christian Bethancourt,TOT,4.0,4,0,0,
bickfph01,2022,Phil Bickford,LAD,61.0,60,12,5,58.0
bielabr01,2022,Brandon Bielak,HOU,12.1,5,1,0,100.0
birdja01,2022,Jake Bird,COL,47.2,38,16,6,62.0
blachty01,2022,Ty Blach*,COL,44.1,24,14,4,71.0
blancro01,2022,Ronel Blanco,HOU,6.1,7,6,2,67.0
bleieri01,2022,Richard Bleier*,MIA,50.2,55,27,14,48.0
bolanro01,2022,Ronald Bolaños,KCR,18.1,8,6,3,50.0
borucry01,2022,Ryan Borucki*,TOT,25.1,32,14,8,43.0
boxbebr01,2022,Brad Boxberger,MIL,64.0,70,26,11,58.0
boydma01,2022,Matthew Boyd*,SEA,13.1,10,0,0,
brachsi01,2022,Silvino Bracho,ATL,4.1,3,1,1,0.0
bradlar01,2022,Archie Bradley,LAA,18.2,21,16,5,69.0
bradlja02,2022,Jackie Bradley Jr.,TOT,1.0,1,0,0,
brashma01,2022,Matt Brash,SEA,50.2,39,20,3,85.0
brasiry01,2022,Ryan Brasier,BOS,62.1,68,23,12,48.0
braulst01,2022,Steven Brault*,CHC,9.0,9,8,5,37.0
brazohu01,2022,Huascar Brazobán,MIA,32.0,27,15,6,60.0
brebbjo01,2022,John Brebbia,SFG,68.0,76,24,7,71.0
brentja01,2022,Jake Brentz*,KCR,5.1,8,2,0,100.0
briceau01,2022,Austin Brice,PIT,6.2,4,2,0,100.0
brighje01,2022,Jeff Brigham,MIA,24.0,16,13,1,92.0
brittza01,2022,Zack Britton*,NYY,0.2,3,2,1,50.0
brogdco01,2022,Connor Brogdon,PHI,44.0,47,28,9,68.0
brookaa01,2022,Aaron Brooks,STL,9.1,5,0,0,
brossmi01,2022,Mike Brosseau,MIL,3.0,3,1,0,100.0
brownhu01,2022,Hunter Brown,HOU,20.1,7,0,0,
bruihju01,2022,Justin Bruihl*,LAD,23.2,24,5,0,100.0
bubickr01,2022,Kris Bubic*,KCR,129.0,28,0,0,
bummeaa01,2022,Aaron Bummer*,CHW,26.2,32,19,8,58.0
burkebr01,2022,Brock Burke*,TEX,82.1,52,11,2,82.0
burrry01,2022,Ryan Burr,CHW,9.0,8,1,0,100.0
bushma01,2022,Matt Bush,TOT,59.2,65,16,0,100.0
cabrege01,2022,Génesis Cabrera*,STL,44.2,39,16,8,50.0
canoye01,2022,Yennier Cano,TOT,18.0,13,3,0,100.0
caratvi01,2022,Victor Caratini,MIL,1.0,1,0,0,
carltdr01,2022,Drew Carlton,DET,8.2,5,1,1,0.0
castada01,2022,Daniel Castano*,MIA,35.2,10,0,0,
castehu01,2022,Humberto Castellanos,ARI,44.1,11,0,0,
castery01,2022,Ryan Castellani,OAK,2.2,3,5,1,80.0
castidi01,2022,Diego Castillo,SEA,54.1,59,12,3,75.0
castidi02,2022,Diego Castillo,PIT,2.0,2,0,0,
castijo03,2022,José Castillo*,SDP,1.0,1,0,0,
castilu03,2022,Luis Castillo,DET,3.2,3,2,0,100.0
castima03,2022,Max Castillo,TOT,39.1,14,1,1,0.0
castran02,2022,Anthony Castro,CLE,13.1,12,7,2,71.0
