ptype,era,year,pid,tier,horizon,n_windows,var_per_unit,var_total,mean_total,mean_rate
H,2010-14,2010,110029,T3,game,154,0.5000600483098483,10.638655462184875,2.5714285714285716,0.5937031484257871
H,2010-14,2010,110029,T3,week,26,0.06842851497670963,41.14461538461539,15.23076923076923,0.5937031484257871
H,2010-14,2010,110029,T3,month,6,0.0027928140000377934,23.06666666666667,64.66666666666667,0.5937031484257871
H,2010-14,2010,111851,T2,game,123,0.348203977668192,7.059976009596163,2.1951219512195124,0.5027932960893855
H,2010-14,2010,111851,T2,week,18,0.06168116431294955,52.1045751633987,13.11111111111111,0.5027932960893855
H,2010-14,2010,111851,T2,month,5,0.006653825191542567,78.80000000000001,52.4,0.5027932960893855
H,2010-14,2010,113028,T2,game,144,0.5153935438459248,8.274281274281273,2.361111111111111,0.5546492659053833
H,2010-14,2010,113028,T2,week,24,0.07166230832704205,51.65036231884058,13.541666666666666,0.5546492659053833
H,2010-14,2010,113028,T2,month,6,0.03546544423687488,263.7666666666667,55.833333333333336,0.5546492659053833
H,2010-14,2010,115223,T3,game,152,0.6440575609237537,12.319275008713838,3.1578947368421053,0.7465007776049767
H,2010-14,2010,115223,T3,week,26,0.10719699072341866,91.69846153846153,18.46153846153846,0.7465007776049767
H,2010-14,2010,115223,T3,month,6,0.03921609235331963,496.66666666666663,79.33333333333333,0.7465007776049767
H,2010-14,2010,115229,T2,game,148,0.6574590406733265,10.9593675307961,1.9189189189189189,0.49220103986135183
H,2010-14,2010,115229,T2,week,22,0.18400467780966082,105.38528138528139,12.363636363636363,0.49220103986135183
H,2010-14,2010,115229,T2,month,6,0.024227758719086313,420.66666666666663,47.333333333333336,0.49220103986135183
H,2010-14,2010,115732,T1,game,116,0.4690638639013826,7.302848575712145,1.8103448275862069,0.4439746300211416
H,2010-14,2010,115732,T1,week,21,0.06606705253346148,42.028571428571425,10.142857142857142,0.4439746300211416
H,2010-14,2010,115732,T1,month,5,0.021545534519402918,164.3,42.4,0.4439746300211416
H,2010-14,2010,116338,T3,game,152,0.6005974046990702,11.897481700941094,2.651315789473684,0.6238390092879257
