pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
430935,530580,2018-06-25,2018,455139,90
430935,530655,2018-07-01,2018,643396,81
430935,530745,2018-07-07,2018,455139,41
430935,530823,2018-07-13,2018,455139,81
430935,530911,2018-07-23,2018,455139,92
430935,531026,2018-08-01,2018,575929,95
430935,531094,2018-08-06,2018,575929,97
430935,531186,2018-08-12,2018,575929,98
430935,531236,2018-08-17,2018,605170,98
430935,531320,2018-08-23,2018,605170,114
430935,531387,2018-08-28,2018,605170,93
430935,531464,2018-09-03,2018,605170,95
430935,531512,2018-09-08,2018,605170,95
430935,531606,2018-09-14,2018,605170,109
430935,531677,2018-09-19,2018,575929,78
430935,531752,2018-09-24,2018,605170,106
430935,531819,2018-09-29,2018,605170,104
433587,529409,2018-03-29,2018,605357,83
433587,529492,2018-04-04,2018,605357,87
433587,529571,2018-04-10,2018,605357,91
433587,529635,2018-04-15,2018,605357,97
433587,529703,2018-04-20,2018,572287,91
433587,529772,2018-04-25,2018,572287,95
433587,529849,2018-05-01,2018,572287,101
433587,529918,2018-05-06,2018,572287,101
433587,529982,2018-05-12,2018,571679,95
433587,530067,2018-05-18,2018,572287,105
433587,530153,2018-05-24,2018,571679,89
433587,530226,2018-05-29,2018,572287,91
433587,530296,2018-06-03,2018,572287,106
433587,530371,2018-06-09,2018,572287,53
433587,530426,2018-06-14,2018,572287,104
433587,530514,2018-06-20,2018,572287,95
433587,530581,2018-06-25,2018,543302,81
433587,530645,2018-06-30,2018,572287,81
433587,530721,2018-07-06,2018,543302,94
433587,530876,2018-07-21,2018,571679,80
433587,530981,2018-07-28,2018,572287,56
433587,531048,2018-08-02,2018,572287,92
433587,531117,2018-08-07,2018,543302,90
433587,531206,2018-08-14,2018,572287,87
433587,531283,2018-08-20,2018,572287,100
433587,531390,2018-08-28,2018,572287,101
433587,531459,2018-09-02,2018,572287,70
433587,531534,2018-09-08,2018,572287,75
433587,531780,2018-09-26,2018,543302,74
434378,529411,2018-03-29,2018,435263,90
434378,529471,2018-04-03,2018,435263,103
434378,529551,2018-04-09,2018,435263,109
434378,529640,2018-04-15,2018,435263,100
434378,529695,2018-04-20,2018,435263,96
434378,529765,2018-04-25,2018,545358,97
434378,529848,2018-05-01,2018,435263,105
434378,529917,2018-05-06,2018,435263,92
434378,529985,2018-05-11,2018,435263,101
434378,530043,2018-05-16,2018,435263,118
434378,530144,2018-05-23,2018,435263,97
434378,530202,2018-05-28,2018,435263,113
434378,530270,2018-06-02,2018,545358,101
434378,530348,2018-06-08,2018,435263,110
434378,530429,2018-06-14,2018,435263,100
434378,530502,2018-06-19,2018,545358,122
434378,530582,2018-06-25,2018,545358,112
434378,530644,2018-06-30,2018,435263,97
434378,530710,2018-07-05,2018,545358,107
434378,530780,2018-07-10,2018,545358,110
434378,530844,2018-07-15,2018,545358,91
434378,530879,2018-07-21,2018,545358,92
434378,530983,2018-07-28,2018,545358,99
434378,531055,2018-08-03,2018,455117,105
434378,531140,2018-08-09,2018,455117,52
434378,531199,2018-08-14,2018,455117,107
434378,531269,2018-08-19,2018,455117,101
434378,531347,2018-08-25,2018,455117,92
434378,531412,2018-08-30,2018,455117,99
434378,531484,2018-09-04,2018,455117,102
434378,531559,2018-09-10,2018,455117,104
434378,531634,2018-09-16,2018,455117,101
434378,531719,2018-09-22,2018,435263,103
434378,531813,2018-09-29,2018,455117,99
434538,529463,2018-04-02,2018,543510,94
434538,529550,2018-04-09,2018,543510,97
434538,529654,2018-04-17,2018,543510,88
434538,529726,2018-04-22,2018,543510,92
434538,529805,2018-04-28,2018,543510,87
434538,529885,2018-05-04,2018,543510,93
434538,529952,2018-05-09,2018,606988,81
434538,530027,2018-05-15,2018,543510,91
434538,530097,2018-05-20,2018,543510,102
434538,530172,2018-05-26,2018,543510,91
434538,530546,2018-06-23,2018,543510,75
434538,530628,2018-06-29,2018,543510,89
434538,530698,2018-07-04,2018,543510,107
434538,530763,2018-07-09,2018,543510,59
434538,530844,2018-07-15,2018,543308,61
434538,530907,2018-07-23,2018,543510,95
434538,531084,2018-08-05,2018,543510,89
434538,531162,2018-08-11,2018,543510,86
434538,531228,2018-08-16,2018,543510,56
434538,531305,2018-08-22,2018,543510,88
434538,531411,2018-08-30,2018,543510,85
434538,531481,2018-09-04,2018,606988,89
434538,531559,2018-09-10,2018,543510,85
434538,531638,2018-09-16,2018,606988,94
434538,531703,2018-09-21,2018,543510,99
434538,531787,2018-09-27,2018,606988,62
434628,529463,2018-04-02,2018,460077,94
434628,529488,2018-04-20,2018,595956,101
434628,529538,2018-04-08,2018,595956,88
434628,529602,2018-04-13,2018,595956,95
434628,529767,2018-04-25,2018,521692,109
434628,529831,2018-04-30,2018,521692,107
434628,529900,2018-05-05,2018,521692,100
434628,529976,2018-05-11,2018,521692,89
434628,530050,2018-05-16,2018,521692,73
434628,530123,2018-05-22,2018,521692,89
434628,530190,2018-05-27,2018,460077,102
434628,530278,2018-06-02,2018,521692,105
434628,530338,2018-06-07,2018,521692,93
434628,530413,2018-06-13,2018,521692,94
434628,530503,2018-06-19,2018,521692,94
434628,530562,2018-06-24,2018,460077,88
434628,530645,2018-06-30,2018,521692,94
434628,530718,2018-07-06,2018,521692,58
434671,529518,2018-04-07,2018,542208,90
434671,529598,2018-04-13,2018,435559,94
434671,530221,2018-05-29,2018,452095,64
434671,530299,2018-06-03,2018,435559,94
434671,530359,2018-06-09,2018,452095,81
434671,530432,2018-06-14,2018,452095,85
434671,530504,2018-06-20,2018,435559,97
434671,530586,2018-06-26,2018,452095,73
434671,530668,2018-07-02,2018,435559,98
434671,530731,2018-07-07,2018,452095,82
434671,530811,2018-07-13,2018,435559,86
434671,530858,2018-07-20,2018,435559,112
434671,530948,2018-07-26,2018,435559,97
434671,531049,2018-08-03,2018,435559,100
434671,531133,2018-08-09,2018,435559,26
434671,531201,2018-08-14,2018,435559,82
434671,531267,2018-08-19,2018,452095,100
434671,531342,2018-08-25,2018,435559,98
434671,531428,2018-08-31,2018,435559,92
434671,531506,2018-09-06,2018,435559,81
434671,531583,2018-09-12,2018,435559,99
434671,531672,2018-09-18,2018,435559,89
434671,531738,2018-09-23,2018,452095,57
434671,531809,2018-09-29,2018,435559,95
435221,529440,2018-03-31,2018,455755,97
435221,529508,2018-04-06,2018,435559,88
435221,529575,2018-04-11,2018,435559,61
435221,529678,2018-04-18,2018,435559,88
435221,529729,2018-05-28,2018,435559,85
435221,529746,2018-04-24,2018,435559,67
435221,529816,2018-04-29,2018,435559,96
435221,529909,2018-05-05,2018,435559,78
435221,529972,2018-05-11,2018,435559,85
435221,530039,2018-05-16,2018,452095,85
435221,530117,2018-05-22,2018,452095,83
