pitcher,year,n_bip,gb_pct,barrel_pct,hard_hit_pct,xwobacon
112526,2017,523,0.4416826003824092,0.07265774378585087,0.372848948374761,0.38727734375
276351,2017,117,0.27350427350427353,0.08547008547008547,0.3247863247863248,0.46971551724137933
276520,2017,256,0.3203125,0.1015625,0.30859375,0.4104326530612245
276542,2017,144,0.3541666666666667,0.06944444444444445,0.2916666666666667,0.3427887323943662
279571,2017,169,0.4260355029585799,0.05325443786982249,0.27218934911242604,0.32792215568862276
282332,2017,448,0.5111607142857143,0.04017857142857143,0.29017857142857145,0.3545308924485126
285079,2017,602,0.4850498338870432,0.04318936877076412,0.29900332225913623,0.34454624781849913
407793,2017,517,0.4274661508704062,0.06769825918762089,0.36363636363636365,0.4014870775347913
407822,2017,150,0.49333333333333335,0.04,0.3,0.3299793103448276
407845,2017,138,0.5362318840579711,0.028985507246376812,0.2898550724637681,0.3347175572519084
408061,2017,83,0.30120481927710846,0.12048192771084337,0.3373493975903614,0.40742682926829266
424144,2017,88,0.3181818181818182,0.06818181818181818,0.29545454545454547,0.38727586206896547
425492,2017,139,0.5611510791366906,0.03597122302158273,0.28776978417266186,0.3297445255474452
425794,2017,400,0.4975,0.0425,0.335,0.3627544757033248
425844,2017,541,0.4787430683918669,0.07393715341959335,0.3179297597042514,0.3693660377358491
429719,2017,250,0.388,0.092,0.324,0.3927510204081633
429722,2017,627,0.4258373205741627,0.05901116427432217,0.3014354066985646,0.3385081168831169
430589,2017,56,0.5892857142857143,0.08928571428571429,0.375,0.3775925925925926
430599,2017,142,0.3380281690140845,0.035211267605633804,0.323943661971831,0.3721063829787234
430641,2017,130,0.36923076923076925,0.06153846153846154,0.3230769230769231,0.37933858267716536
430661,2017,237,0.5232067510548524,0.07172995780590717,0.38396624472573837,0.40450649350649354
430912,2017,441,0.4421768707482993,0.061224489795918366,0.36507936507936506,0.3888819444444444
430935,2017,445,0.48089887640449436,0.05393258426966292,0.3595505617977528,0.3513560090702948
432934,2017,111,0.40540540540540543,0.06306306306306306,0.3063063063063063,0.3918648648648649
433586,2017,174,0.39655172413793105,0.05747126436781609,0.3563218390804598,0.35190751445086704
433587,2017,257,0.48638132295719844,0.09727626459143969,0.33852140077821014,0.4275472440944882
433589,2017,234,0.33760683760683763,0.05555555555555555,0.3418803418803419,0.34710434782608696
434378,2017,554,0.34115523465703973,0.07220216606498195,0.3592057761732852,0.3897826086956522
434442,2017,39,0.5897435897435898,0.07692307692307693,0.28205128205128205,0.3729487179487179
434538,2017,297,0.45454545454545453,0.06060606060606061,0.3434343434343434,0.3701296928327645
434622,2017,446,0.437219730941704,0.07847533632286996,0.39461883408071746,0.4227918552036199
434628,2017,602,0.38205980066445183,0.07142857142857142,0.3388704318936877,0.3961247892074199
434671,2017,345,0.3652173913043478,0.07536231884057971,0.3710144927536232,0.4070733137829912
434672,2017,196,0.37244897959183676,0.11734693877551021,0.3673469387755102,0.43394845360824746
