batter,year,split_day,ros_opp_sp_xwoba_weighted,n_ros_games
134181,2018,30,0.31961187352151316,134
400085,2018,30,0.32077375275710596,136
400121,2018,30,0.3226485982517413,137
400284,2018,30,0.3209104283445452,137
405395,2018,30,0.3223368733669844,135
407822,2018,30,0.3182056961413318,136
408045,2018,30,0.3244228482115884,140
408234,2018,30,0.3226485982517413,137
408236,2018,30,0.31525191996480567,137
408314,2018,30,0.31525191996480567,137
425772,2018,30,0.3182056961413318,136
425783,2018,30,0.31961187352151316,134
425784,2018,30,0.3223368733669844,135
425794,2018,30,0.322666891553653,136
425844,2018,30,0.3182056961413318,136
425877,2018,30,0.322666891553653,136
429664,2018,30,0.32077375275710596,136
429665,2018,30,0.3263861251519391,137
430945,2018,30,0.3162734515580732,135
431145,2018,30,0.3139267197261675,136
433587,2018,30,0.32077375275710596,136
434158,2018,30,0.3139267197261675,136
434658,2018,30,0.3263861251519391,137
434670,2018,30,0.31965491447613964,136
434671,2018,30,0.31420700245009964,136
434778,2018,30,0.3139267197261675,136
435062,2018,30,0.31415334688287183,135
435079,2018,30,0.3223368733669844,135
435221,2018,30,0.31420700245009964,136
435263,2018,30,0.32449104519581545,134
435522,2018,30,0.317866176665411,136
435559,2018,30,0.31420700245009964,136
435622,2018,30,0.31732381789646485,135
443558,2018,30,0.32077375275710596,136
444482,2018,30,0.3182056961413318,136
444489,2018,30,0.3195568643206116,135
444876,2018,30,0.32030827259997013,136
445055,2018,30,0.3182056961413318,136
445988,2018,30,0.3109774699162747,135
446263,2018,30,0.32030827259997013,136
446308,2018,30,0.31415334688287183,135
446334,2018,30,0.31740545337324805,135
446359,2018,30,0.3223368733669844,135
446386,2018,30,0.3263861251519391,137
446481,2018,30,0.3214369554843669,134
446653,2018,30,0.31525191996480567,137
448179,2018,30,0.3209104283445452,137
448801,2018,30,0.3162734515580732,135
448855,2018,30,0.3195568643206116,135
449181,2018,30,0.32030827259997013,136
450306,2018,30,0.31525191996480567,137
450314,2018,30,0.3203058165651462,139
451594,2018,30,0.322666891553653,136
452095,2018,30,0.31420700245009964,136
452104,2018,30,0.3182571137701846,134
452254,2018,30,0.31740545337324805,135
452655,2018,30,0.32077375275710596,136
452657,2018,30,0.3203058165651462,139
452678,2018,30,0.31525191996480567,137
453203,2018,30,0.317866176665411,136
453286,2018,30,0.31415334688287183,135
453385,2018,30,0.3182571137701846,134
453562,2018,30,0.314984226733686,136
453568,2018,30,0.31732381789646485,135
453923,2018,30,0.31740545337324805,135
453943,2018,30,0.31525191996480567,137
454560,2018,30,0.3182571137701846,134
455104,2018,30,0.31732381789646485,135
455117,2018,30,0.3223368733669844,135
455139,2018,30,0.31961187352151316,134
455755,2018,30,0.31420700245009964,136
455759,2018,30,0.3223368733669844,135
455976,2018,30,0.31420700245009964,136
456078,2018,30,0.3205714904051972,137
456488,2018,30,0.31965491447613964,136
456501,2018,30,0.31740545337324805,135
456665,2018,30,0.31965491447613964,136
456701,2018,30,0.3195093444971251,135
456715,2018,30,0.3195568643206116,135
457705,2018,30,0.31740545337324805,135
457706,2018,30,0.31525191996480567,137
457708,2018,30,0.3223368733669844,135
457727,2018,30,0.3109774699162747,135
457763,2018,30,0.31740545337324805,135
457803,2018,30,0.31525191996480567,137
458015,2018,30,0.3195093444971251,135
458675,2018,30,0.3162734515580732,135
458681,2018,30,0.317866176665411,136
458731,2018,30,0.317866176665411,136
459964,2018,30,0.31972946560795085,135
460026,2018,30,0.31740545337324805,135
460075,2018,30,0.3195568643206116,135
460077,2018,30,0.32030827259997013,136
460086,2018,30,0.32030827259997013,136
460576,2018,30,0.3202316221176719,137
461314,2018,30,0.3209104283445452,137
461829,2018,30,0.31415334688287183,135
461865,2018,30,0.32077375275710596,136
462101,2018,30,0.31961187352151316,134
465041,2018,30,0.3214369554843669,134
465753,2018,30,0.314984226733686,136
467055,2018,30,0.31740545337324805,135
467092,2018,30,0.3202316221176719,137
467100,2018,30,0.3214369554843669,134
467793,2018,30,0.314984226733686,136
467827,2018,30,0.31732381789646485,135
468504,2018,30,0.3195568643206116,135
471865,2018,30,0.31732381789646485,135
472528,2018,30,0.3223368733669844,135
474568,2018,30,0.3214369554843669,134
474832,2018,30,0.31740545337324805,135
475115,2018,30,0.3182571137701846,134
475174,2018,30,0.3263861251519391,137
475247,2018,30,0.31420700245009964,136
475253,2018,30,0.3139267197261675,136
475582,2018,30,0.31415334688287183,135
476451,2018,30,0.31415334688287183,135
476704,2018,30,0.31972946560795085,135
476883,2018,30,0.3162734515580732,135
477132,2018,30,0.3209104283445452,137
488671,2018,30,0.3182056961413318,136
488721,2018,30,0.31420700245009964,136
488726,2018,30,0.3263861251519391,137
488771,2018,30,0.3244228482115884,140
489149,2018,30,0.3244228482115884,140
491676,2018,30,0.31740545337324805,135
491696,2018,30,0.3202316221176719,137
493316,2018,30,0.31525191996480567,137
493329,2018,30,0.32449104519581545,134
500208,2018,30,0.3139267197261675,136
500743,2018,30,0.3109774699162747,135
500779,2018,30,0.3203058165651462,139
500871,2018,30,0.3244228482115884,140
500874,2018,30,0.322666891553653,136
501213,2018,30,0.31415334688287183,135
501303,2018,30,0.3244228482115884,140
501571,2018,30,0.31525191996480567,137
501659,2018,30,0.32030827259997013,136
501896,2018,30,0.3214369554843669,134
501981,2018,30,0.31972946560795085,135
502054,2018,30,0.322666891553653,136
502082,2018,30,0.3263861251519391,137
502110,2018,30,0.31965491447613964,136
502143,2018,30,0.3162734515580732,135
502188,2018,30,0.31740545337324805,135
502210,2018,30,0.32449104519581545,134
502226,2018,30,0.3162734515580732,135
502481,2018,30,0.3182056961413318,136
502624,2018,30,0.3195568643206116,135
502671,2018,30,0.3182056961413318,136
502706,2018,30,0.31740545337324805,135
503556,2018,30,0.32449104519581545,134
506433,2018,30,0.3203058165651462,139
506702,2018,30,0.31965491447613964,136
506703,2018,30,0.31415334688287183,135
506747,2018,30,0.322666891553653,136
514888,2018,30,0.32449104519581545,134
514917,2018,30,0.314984226733686,136
516416,2018,30,0.32077375275710596,136
516770,2018,30,0.3109774699162747,135
516782,2018,30,0.3214369554843669,134
517369,2018,30,0.3182571137701846,134
518397,2018,30,0.3209104283445452,137
518452,2018,30,0.31732381789646485,135
518542,2018,30,0.31961187352151316,134
518553,2018,30,0.3203058165651462,139
518586,2018,30,0.31420700245009964,136
518614,2018,30,0.3182056961413318,136
518618,2018,30,0.3109774699162747,135
518626,2018,30,0.3139267197261675,136
518692,2018,30,0.31420700245009964,136
518735,2018,30,0.3209104283445452,137
518774,2018,30,0.3195093444971251,135
518792,2018,30,0.3203058165651462,139
518934,2018,30,0.31732381789646485,135
518960,2018,30,0.31972946560795085,135
519008,2018,30,0.3182056961413318,136
519023,2018,30,0.31525191996480567,137
519048,2018,30,0.31965491447613964,136
519058,2018,30,0.32030827259997013,136
519203,2018,30,0.3203058165651462,139
519222,2018,30,0.317866176665411,136
519295,2018,30,0.31972946560795085,135
519299,2018,30,0.3195568643206116,135
519317,2018,30,0.317866176665411,136
519333,2018,30,0.3182571137701846,134
