bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
abadfe01,2023,Fernando Abad*,COL,6.1,6,2,2,0.0
abbotco01,2023,Cory Abbott,WSN,39.1,22,13,7,46.0
abreual01,2023,Albert Abreu,NYY,59.0,45,17,11,35.0
abreubr01,2023,Bryan Abreu,HOU,72.0,72,17,6,65.0
acevedo01,2023,Domingo Acevedo,OAK,9.1,9,7,5,29.0
actonga01,2023,Garrett Acton,OAK,5.2,6,4,2,50.0
adamja01,2023,Jason Adam,TBR,54.1,56,9,2,78.0
adamsau02,2023,Austin Adams,ARI,17.1,24,13,2,85.0
adcocty01,2023,Ty Adcock,SEA,15.2,12,7,0,100.0
adonjo01,2023,Joan Adon,WSN,51.2,12,0,0,
akinke01,2023,Keegan Akin*,BAL,23.2,24,11,5,55.0
alberha01,2023,Hanser Alberto,CHW,1.2,2,0,0,
alcaljo01,2023,Jorge Alcala,MIN,17.1,11,1,0,100.0
alexasc02,2023,Scott Alexander*,SFG,48.1,55,30,6,80.0
alexaty01,2023,Tyler Alexander*,DET,44.0,25,14,3,79.0
allarko01,2023,Kolby Allard*,ATL,12.1,4,0,0,
almonye01,2023,Yency Almonte,LAD,48.0,49,22,4,82.0
alvarjo03,2023,José Alvarado*,PHI,41.1,42,0,0,
alzolad01,2023,Adbert Alzolay,CHC,64.0,58,15,2,87.0
anderch01,2023,Chase Anderson,TOT,86.1,19,0,0,
andergr01,2023,Grant Anderson,TEX,35.2,26,27,12,56.0
anderni01,2023,Nick Anderson,ATL,35.1,35,7,1,86.0
anderty01,2023,Tyler Anderson*,LAA,141.0,27,3,0,100.0
andrecl02,2023,Clayton Andrews*,MIL,3.1,4,0,0,
antonte01,2023,Tejay Antone,CIN,5.2,5,0,0,
armstsh01,2023,Shawn Armstrong,TBR,52.0,39,5,2,60.0
assadja01,2023,Javier Assad,CHC,109.1,32,10,1,90.0
avilape01,2023,Pedro Avila,SDP,50.1,14,1,0,100.0
bachmsa01,2023,Sam Bachman,LAA,17.0,11,2,2,0.0
bakerbr01,2023,Bryan Baker,BAL,45.0,46,35,19,46.0
balazjo02,2023,Jordan Balazovic,MIN,24.1,18,12,4,67.0
bandaan01,2023,Anthony Banda*,WSN,7.0,10,2,1,50.0
banksta01,2023,Tanner Banks*,CHW,61.0,32,18,3,83.0
bardda01,2023,Daniel Bard,COL,49.1,50,14,4,71.0
barlojo01,2023,Joe Barlow,TEX,9.2,13,4,3,25.0
barlosc01,2023,Scott Barlow,TOT,68.0,63,9,1,89.0
barneja01,2023,Jacob Barnes,STL,13.2,13,12,5,58.0
barnema01,2023,Matt Barnes,MIA,21.1,24,12,7,42.0
barnhtu01,2023,Tucker Barnhart,CHC,4.0,4,0,0,
barraky01,2023,Kyle Barraclough,BOS,7.2,3,3,1,67.0
barrija01,2023,Jaime Barria,LAA,82.1,34,18,5,72.0
bassan01,2023,Anthony Bass,TOR,20.0,22,8,0,100.0
battepe01,2023,Peyton Battenfield,CLE,34.2,7,0,0,
baumami01,2023,Mike Baumann,BAL,64.2,60,49,19,61.0
bautife01,2023,Félix Bautista,BAL,61.0,56,9,0,100.0
bazared01,2023,Eduard Bazardo,TOT,16.0,12,1,0,100.0
beatyma01,2023,Matt Beaty,SFG,1.0,1,0,0,
becktr01,2023,Tristan Beck,SFG,85.0,33,17,4,76.0
bednada01,2023,David Bednar,PIT,67.1,66,12,8,33.0
beeksja02,2023,Jalen Beeks*,TBR,42.1,30,11,1,91.0
bellaan01,2023,Andrew Bellatti,PHI,24.2,27,14,9,36.0
bernabr01,2023,Brennan Bernardino*,BOS,50.2,55,30,4,87.0
berropr01,2023,Prelander Berroa,SEA,1.2,2,1,1,0.0
bethach01,2023,Christian Bethancourt,TBR,0.1,1,0,0,
bickfph01,2023,Phil Bickford,TOT,67.1,61,29,9,69.0
bidoos01,2023,Osvaldo Bido,PIT,50.2,16,1,0,100.0
bielabr01,2023,Brandon Bielak,HOU,80.0,15,4,3,25.0
birdja01,2023,Jake Bird,COL,89.1,70,42,24,43.0
blachty01,2023,Ty Blach*,COL,78.0,20,7,2,71.0
blackpa01,2023,Paul Blackburn,OAK,103.2,21,0,0,
blancro01,2023,Ronel Blanco,HOU,52.0,17,0,0,
bleieri01,2023,Richard Bleier*,BOS,30.2,27,14,8,43.0
boltoco01,2023,Cody Bolton,PIT,21.1,16,3,1,67.0
borucry01,2023,Ryan Borucki*,PIT,40.1,38,34,13,62.0
boushca01,2023,Caleb Boushley,MIL,2.1,1,0,0,
bowlajo01,2023,Jonathan Bowlan,KCR,3.0,2,0,0,
bowmama01,2023,Matt Bowman,NYY,4.0,3,3,3,0.0
boxbebr01,2023,Brad Boxberger,CHC,20.0,22,3,0,100.0
brachsi01,2023,Silvino Bracho,CIN,7.1,5,2,2,0.0
bradfco01,2023,Cody Bradford*,TEX,56.0,20,9,2,78.0
bradlar01,2023,Archie Bradley,MIA,7.1,4,1,0,100.0
bradlta01,2023,Taj Bradley,TBR,104.2,23,0,0,
brashma01,2023,Matt Brash,SEA,70.2,78,49,15,69.0
brasiry01,2023,Ryan Brasier,TOT,59.2,59,18,2,89.0
brazohu01,2023,Huascar Brazobán,MIA,58.2,50,32,12,62.0
brebbjo01,2023,John Brebbia,SFG,38.1,40,13,8,38.0
breweco01,2023,Colten Brewer,NYY,8.1,3,2,0,100.0
briesbe01,2023,Beau Brieske,DET,35.0,25,15,2,87.0
brighje01,2023,Jeff Brigham,NYM,37.2,37,17,7,59.0
bristbr01,2023,Braden Bristo,TOT,7.0,3,0,0,
britojh01,2023,Jhony Brito,NYY,90.1,25,4,0,100.0
brogdco01,2023,Connor Brogdon,PHI,29.0,27,15,7,53.0
brossmi01,2023,Mike Brosseau,MIL,2.1,3,3,3,0.0
brownhu01,2023,Hunter Brown,HOU,155.2,31,0,0,
bruihju01,2023,Justin Bruihl*,TOT,28.0,27,16,4,75.0
bukaujb01,2023,JB Bukauskas,TOT,7.0,6,0,0,
bummeaa01,2023,Aaron Bummer*,CHW,58.1,61,42,15,64.0
burdini01,2023,Nick Burdi,CHC,3.0,3,0,0,
burdiza01,2023,Zack Burdi,TBR,4.0,3,0,0,
burkebr01,2023,Brock Burke*,TEX,59.2,53,37,9,76.0
burleal01,2023,Alec Burleson*,STL,1.2,2,1,1,0.0
busenal01,2023,Alan Busenitz,CIN,7.0,6,3,2,33.0
bushma01,2023,Matt Bush,MIL,10.1,12,3,0,100.0
buttojo01,2023,José Buttó,NYM,42.0,9,1,0,100.0
cabreed02,2023,Edward Cabrera,MIA,99.2,22,0,0,
cabrege01,2023,Génesis Cabrera*,TOT,55.2,61,38,10,74.0
cacerke01,2023,Kelvin Cáceres,LAA,1.1,2,1,0,100.0
calvobl01,2023,Blair Calvo,COL,1.0,1,0,0,
campbis01,2023,Isaiah Campbell,SEA,28.2,27,14,4,71.0
cannigr01,2023,Griffin Canning,LAA,127.0,24,5,1,80.0
canoye01,2023,Yennier Cano,BAL,72.2,72,35,8,77.0
carasma01,2023,Matt Carasiti,COL,24.1,16,15,10,33.0
carltdr01,2023,Drew Carlton,SDP,20.2,11,5,2,60.0
castada01,2023,Daniel Castano*,MIA,3.0,2,0,0,
castidi01,2023,Diego Castillo,SEA,8.2,8,0,0,
castijo03,2023,José Castillo*,SDP,0.1,1,0,0,
castima03,2023,Max Castillo,KCR,20.1,7,2,0,100.0
