pitcher,year,event_date,prev_game,gap_days,optioned,recalled,v4_gap_label
656849,2023,2023-06-27,2023-05-15,43,2023-05-16,2023-06-27,IL_MED
657093,2022,2022-06-25,2022-05-22,34,2022-06-08,2022-06-25,IL_MED
657093,2022,2022-09-26,2022-09-04,22,2022-09-07,2022-09-23,IL_SHORT
660761,2022,2022-05-18,2022-04-30,18,2022-05-01,2022-05-18,IL_SHORT
660761,2022,2022-06-07,2022-05-18,20,2022-05-23,2022-06-07,IL_SHORT
663362,2024,2024-09-29,2024-08-21,39,2024-08-22,2024-09-29,IL_MED
663372,2022,2022-05-25,2022-04-27,28,2022-05-02,2022-05-25,IL_SHORT
663372,2022,2022-07-29,2022-06-26,33,2022-06-27,2022-07-29,IL_MED
663460,2022,2022-06-04,2022-05-11,24,2022-05-12,2022-06-04,IL_SHORT
663474,2021,2021-07-09,2021-06-12,27,2021-06-13,2021-07-09,IL_SHORT
663559,2022,2022-05-11,2022-04-25,16,2022-04-26,2022-05-11,IL_SHORT
663559,2022,2022-05-27,2022-05-11,16,2022-05-12,2022-05-27,IL_SHORT
663559,2022,2022-06-17,2022-05-27,21,2022-05-30,2022-06-17,IL_SHORT
663559,2022,2022-07-24,2022-07-07,17,2022-07-08,2022-07-24,IL_SHORT
663559,2022,2022-08-20,2022-07-29,22,2022-08-03,2022-08-20,IL_SHORT
663559,2023,2023-08-05,2023-05-15,82,2023-05-16,2023-08-05,IL_LONG
663568,2025,2025-07-22,2025-07-05,17,2025-07-06,2025-07-22,IL_SHORT
663568,2025,2025-08-30,2025-07-27,34,2025-07-29,2025-08-29,IL_MED
663903,2022,2022-05-17,2022-04-26,21,2022-04-28,2022-05-17,IL_SHORT
664199,2019,2019-05-07,2019-04-20,17,2019-04-21,2019-05-07,IL_SHORT
664199,2019,2019-05-25,2019-05-07,18,2019-05-09,2019-05-25,IL_SHORT
665622,2023,2023-05-11,2023-04-26,15,2023-04-27,2023-05-11,IL_SHORT
665795,2023,2023-09-06,2023-07-31,37,2023-08-01,2023-09-06,IL_MED
666200,2021,2021-08-02,2021-06-19,44,2021-06-21,2021-08-02,IL_MED
666201,2023,2023-07-07,2023-06-05,32,2023-06-06,2023-07-07,IL_MED
666214,2023,2023-07-29,2023-06-28,31,2023-06-29,2023-07-29,IL_MED
668933,2024,2024-06-26,2024-06-05,21,2024-06-06,2024-06-26,IL_SHORT
669060,2021,2021-06-20,2021-05-22,29,2021-05-23,2021-06-20,IL_SHORT
669060,2021,2021-07-21,2021-06-20,31,2021-06-20,2021-07-21,IL_MED
669060,2022,2022-06-14,2022-05-22,23,2022-05-23,2022-06-14,IL_SHORT
669060,2022,2022-07-02,2022-06-14,18,2022-06-15,2022-07-02,IL_SHORT
669169,2022,2022-08-23,2022-08-09,14,2022-08-10,2022-08-23,(sub-15d: none)
669194,2023,2023-09-07,2023-08-11,27,2023-08-13,2023-09-07,IL_SHORT
669212,2021,2021-06-17,2021-05-28,20,2021-06-05,2021-06-15,IL_SHORT
669330,2023,2023-09-22,2023-07-29,55,2023-07-30,2023-09-22,IL_MED
669432,2025,2025-06-18,2025-05-24,25,2025-05-25,2025-06-18,IL_SHORT
669456,2018,2018-06-17,2018-05-31,17,2018-06-01,2018-06-17,IL_SHORT
669467,2024,2024-05-29,2024-04-20,39,2024-04-21,2024-05-26,IL_MED
669923,2022,2022-07-26,2022-07-08,18,2022-07-09,2022-07-26,IL_SHORT
669952,2022,2022-06-25,2022-06-07,18,2022-06-10,2022-06-25,IL_SHORT
670950,2018,2018-06-07,2018-04-25,43,2018-04-27,2018-06-07,IL_MED
670950,2019,2019-08-18,2019-07-30,19,2019-07-31,2019-08-18,IL_SHORT
671106,2023,2023-07-18,2023-06-28,20,2023-06-29,2023-07-18,IL_SHORT
671106,2024,2024-08-05,2024-07-06,30,2024-07-07,2024-08-05,IL_MED
671106,2024,2024-08-26,2024-08-05,21,2024-08-06,2024-08-26,IL_SHORT
671737,2023,2023-05-18,2023-04-24,24,2023-04-25,2023-05-18,IL_SHORT
671737,2023,2023-09-03,2023-07-29,36,2023-07-31,2023-09-03,IL_MED
671737,2025,2025-08-24,2025-07-23,32,2025-07-24,2025-08-24,IL_MED
672282,2022,2022-07-08,2022-06-21,17,2022-06-22,2022-07-08,IL_SHORT
672282,2024,2024-09-03,2024-06-01,94,2024-06-02,2024-09-01,IL_LONG
672456,2024,2024-06-26,2024-05-29,28,2024-05-30,2024-06-26,IL_SHORT
672710,2022,2022-05-24,2022-04-19,35,2022-04-21,2022-05-24,IL_MED
672710,2022,2022-08-17,2022-07-07,41,2022-07-07,2022-08-17,IL_MED
672715,2021,2021-07-02,2021-05-18,45,2021-05-30,2021-07-02,IL_MED
672715,2021,2021-07-22,2021-07-02,20,2021-07-03,2021-07-22,IL_SHORT
675660,2026,2026-04-24,2026-04-08,16,2026-04-09,2026-04-24,IL_SHORT
675921,2021,2021-05-22,2021-04-25,27,2021-04-26,2021-05-22,IL_SHORT
675921,2021,2021-07-21,2021-06-28,23,2021-06-29,2021-07-21,IL_SHORT
676106,2025,2025-04-17,2025-03-31,17,2025-04-01,2025-04-17,IL_SHORT
676106,2025,2025-09-01,2025-07-01,62,2025-07-02,2025-08-27,IL_LONG
676664,2025,2025-08-20,2025-08-04,16,2025-08-05,2025-08-20,IL_SHORT
676664,2025,2025-09-12,2025-08-25,18,2025-08-26,2025-09-12,IL_SHORT
676664,2025,2025-09-28,2025-09-12,16,2025-09-13,2025-09-28,IL_SHORT
676962,2025,2025-07-21,2025-06-23,28,2025-06-24,2025-07-21,IL_SHORT
677960,2021,2021-07-01,2021-06-14,17,2021-06-16,2021-07-01,IL_SHORT
679525,2024,2024-08-26,2024-07-29,28,2024-07-31,2024-08-26,IL_SHORT
680570,2023,2023-07-17,2023-05-26,52,2023-05-27,2023-07-17,IL_MED
680573,2025,2025-06-10,2025-05-14,27,2025-05-15,2025-06-10,IL_SHORT
