pitcher,year,p_throws,tbf_vs_L,tbf_vs_R,xwoba_vs_L,xwoba_vs_R
405395,2022,R,2.0,5.0,0.387421052631579,0.49178857142857135
424144,2022,L,11.0,13.0,0.4066434343434343,0.39972916666666664
425794,2022,R,379.0,426.0,0.33711723942816857,0.3287691230908429
425794,2023,R,231.0,253.0,0.42406689980747825,0.37885509381591315
425844,2022,R,241.0,344.0,0.3277712666126006,0.35078140950739045
425844,2023,R,269.0,325.0,0.36648674293025757,0.3262058315451962
425877,2022,R,7.0,5.0,0.5282946428571429,0.31260000000000004
434378,2022,R,338.0,331.0,0.24237460479522577,0.2762681144580671
434378,2023,R,303.0,367.0,0.2817258448496585,0.3059728476839055
434378,2024,R,203.0,195.0,0.29433953707537547,0.3140076620299883
434378,2025,R,320.0,343.0,0.32893225661967324,0.31550730918752184
434378,2026,R,13.0,6.0,0.5355384615384615,0.341
434671,2022,R,123.0,169.0,0.296888901671069,0.36502956653124435
444876,2022,R,5.0,5.0,0.22000000000000003,0.5624333333333333
445276,2022,R,122.0,139.0,0.26403033213285315,0.24007851456561813
445276,2023,R,89.0,99.0,0.27445230562376066,0.28926291982642094
445276,2024,R,105.0,115.0,0.30355358862953963,0.2789059540075773
445276,2025,R,124.0,110.0,0.35716079588693644,0.2489086937308599
445276,2026,R,20.0,14.0,0.37455,0.32907142857142857
445926,2022,R,128.0,164.0,0.3316714913303234,0.3302209231872969
445926,2023,R,67.0,78.0,0.28885349548112704,0.29384391996891995
445926,2024,R,116.0,148.0,0.34333595605718364,0.3096123797453126
445926,2025,R,17.0,26.0,0.5764085497835498,0.25814409143767764
446321,2022,L,56.0,66.0,0.3024262218045113,0.4073820041352856
446372,2022,R,309.0,381.0,0.3215863019709617,0.31173376517275514
446372,2023,R,136.0,121.0,0.3857626420370878,0.36309278061618944
448179,2022,L,72.0,454.0,0.28000599128540304,0.32283201032127806
448179,2023,L,128.0,533.0,0.3060549838137009,0.3718807422310708
448179,2024,L,9.0,6.0,0.3951322751322751,0.41660648148148144
448179,2025,L,11.0,32.0,0.28254545454545454,0.4310009300595238
448281,2022,L,9.0,8.0,0.2306131944444444,0.08925000000000001
450203,2022,R,365.0,364.0,0.3241208345456928,0.3129179558929945
450203,2023,R,351.0,367.0,0.3098431378231434,0.35413730714127556
450203,2024,R,382.0,320.0,0.3414713707455807,0.3221041791214946
450203,2025,R,345.0,310.0,0.3373698103483208,0.33515485044361115
453178,2022,R,88.0,145.0,0.3546960340535993,0.39760482123265023
453178,2023,R,29.0,46.0,0.40122049597911663,0.2731178371340645
453268,2022,R,137.0,108.0,0.28002438682640884,0.21876749547584223
453268,2023,R,91.0,145.0,0.42574015400495147,0.3480772865084885
453286,2022,R,260.0,306.0,0.30319566968650197,0.2420807470297945
453286,2023,R,324.0,297.0,0.286993155096734,0.2818624063364718
453286,2024,R,85.0,93.0,0.31991893555281864,0.29614565133316234
453286,2025,R,200.0,159.0,0.35857650737282837,0.29876335296731765
453286,2026,R,59.0,25.0,0.40935593220338984,0.36296
453343,2022,R,112.0,136.0,0.3583611051192869,0.34048708595974325
455117,2023,R,5.0,5.0,0.8537934065934067,0.34684347826086953
455119,2022,R,106.0,120.0,0.2733805609223062,0.24474240142654616
455119,2023,R,86.0,113.0,0.3086562692327753,0.26763028515240905
455119,2024,R,94.0,86.0,0.28029879937734076,0.30612272813956387
455119,2025,R,69.0,104.0,0.35095982309272405,0.2823697060061398
455119,2026,R,10.0,19.0,0.2841,0.45663157894736844
456034,2022,L,62.0,105.0,0.2703741513106537,0.33681973076863014
456501,2022,R,299.0,354.0,0.3291358578779902,0.3101100906529957
456501,2023,R,116.0,102.0,0.36070977239458396,0.32942849867653945
456501,2024,R,29.0,21.0,0.4257295222616824,0.5544447714211077
456713,2022,R,94.0,151.0,0.2594969179629894,0.2757555986707225
456713,2023,R,25.0,23.0,0.48515783458646616,0.44152792008564623
458677,2022,L,7.0,6.0,0.31930977443609027,0.037
458677,2024,L,94.0,115.0,0.3181694081966473,0.3212002035606512
458677,2025,L,97.0,113.0,0.29094862747361344,0.3143620621361413
458681,2022,R,289.0,223.0,0.29924854842415793,0.3023342514189899
458681,2023,R,401.0,407.0,0.35729328505755664,0.323488182071331
458681,2024,R,268.0,243.0,0.3486930584736365,0.33941858733470226
459429,2022,L,53.0,110.0,0.4062258842811189,0.3263987159921596
461325,2022,R,13.0,15.0,0.34692011834319525,0.3363222222222222
468504,2022,R,101.0,118.0,0.3664970678269873,0.3181974081531357
471911,2022,R,284.0,362.0,0.34583766772997593,0.30557199718019995
471911,2023,R,188.0,230.0,0.3970906364622374,0.37418651620919935
471911,2024,R,229.0,219.0,0.35451490140568714,0.3159861611896268
471911,2025,R,126.0,86.0,0.3670872401637224,0.33625774444555473
471911,2026,R,2.0,1.0,0.1375,0.459
472551,2023,L,6.0,26.0,0.6985863728470111,0.3816700186605847
472610,2022,R,107.0,152.0,0.32786889526945695,0.231490811760946
472610,2023,R,108.0,159.0,0.3417905687486445,0.3032529133923401
472610,2024,R,112.0,143.0,0.3240350649180473,0.28017757849141345
472610,2025,R,100.0,128.0,0.31342750693347476,0.35447037828142636
472610,2026,R,24.0,21.0,0.35995454545454547,0.45485714285714285
475479,2022,R,115.0,158.0,0.32154589827433167,0.3040466788951951
476594,2025,R,9.0,6.0,0.5263333333333333,0.556675925925926
476595,2022,L,92.0,159.0,0.3342964105156724,0.27487913617612286
476595,2023,L,25.0,40.0,0.4074446825396825,0.3075294117647059
477132,2022,L,81.0,412.0,0.29455177116113934,0.24396150401329736
477132,2023,L,83.0,441.0,0.3528128285805239,0.2883515623734134
477132,2024,L,35.0,101.0,0.29937745098039215,0.3478406738312461
477132,2025,L,94.0,369.0,0.2652261171545886,0.31469047186558347
488984,2022,R,28.0,66.0,0.37545311385459534,0.3266514621952122
488984,2023,R,45.0,61.0,0.4261203805940648,0.28470618641496553
489119,2022,L,36.0,124.0,0.2635222222222222,0.32124590111096624
489119,2023,L,106.0,385.0,0.2795654516866781,0.33321693761494825
489119,2024,L,3.0,27.0,0.25033333333333335,0.44887225525539587
489119,2025,L,16.0,39.0,0.1825625,0.5134818576286317
489265,2022,R,32.0,47.0,0.3908345430107527,0.35680119837931534
489334,2022,R,69.0,109.0,0.33445635901347576,0.3125041405696789
489446,2022,R,12.0,21.0,0.26729444444444445,0.39695382522239664
489446,2023,R,119.0,136.0,0.3477659715699514,0.3133083036855492
489446,2024,R,105.0,132.0,0.21834325003928964,0.23219655973423373
489446,2025,R,67.0,108.0,0.3526037474511121,0.30409392077057723
491624,2022,R,2.0,3.0,0.1935,0.4483333333333333
493603,2022,R,81.0,178.0,0.29730022370386294,0.2228408984761369
493603,2023,R,100.0,161.0,0.3310915412373526,0.2838132564073693
493603,2024,R,92.0,147.0,0.3841864549118178,0.22931175359032502
493603,2025,R,3.0,6.0,0.4666666666666666,0.31016666666666665
500743,2023,R,2.0,12.0,0.4461578947368422,0.2554166666666667
500743,2024,R,1.0,3.0,0.129,0.51756
500743,2025,R,12.0,16.0,0.5419632066276803,0.45622930194805195
500743,2026,R,4.0,2.0,0.32975,0.4695
500779,2022,L,105.0,574.0,0.2698018674136321,0.3161213719331313
500779,2023,L,57.0,263.0,0.34365414046762244,0.32784799544832477
500779,2024,L,159.0,558.0,0.3213611655660114,0.3361437820458104
500779,2025,L,134.0,423.0,0.3085540425577739,0.3630499274669791
500779,2026,L,25.0,80.0,0.46756,0.3259240506329114
500871,2023,R,7.0,9.0,0.3311428571428571,0.23111111111111113
501303,2022,R,1.0,3.0,0.015,0.2363333333333333
501381,2022,R,107.0,94.0,0.3876978902937506,0.3853909587649536
501625,2022,L,34.0,42.0,0.44460983992561187,0.3984085914085914
501925,2022,R,39.0,83.0,0.448173819615217,0.31757205650186954
501985,2022,L,99.0,356.0,0.24706692396313362,0.35941757998831986
502042,2022,R,181.0,256.0,0.33303854503226427,0.35362112261971734
502043,2022,R,322.0,396.0,0.33420313102652555,0.3201594560869185
502043,2023,R,402.0,407.0,0.3451802436842742,0.3260880502859027
502043,2024,R,388.0,334.0,0.3544676459353589,0.32857849818420537
502043,2025,R,35.0,38.0,0.47325778388278383,0.41211833483205423
502083,2023,R,9.0,20.0,0.43608230452674895,0.390312
502085,2022,R,133.0,131.0,0.25682087524004815,0.3030347381014313
502085,2023,R,130.0,139.0,0.326418084292563,0.2438314080243428
502085,2024,R,132.0,165.0,0.2933304239020216,0.287870146404373
502085,2025,R,36.0,42.0,0.33016960784313726,0.33894853896103894
502154,2022,L,5.0,4.0,0.44279999999999997,0.75425
502171,2022,R,303.0,329.0,0.28037997140374776,0.28158681374044797
502171,2023,R,336.0,310.0,0.36077695497939405,0.30533322418796466
502171,2024,R,30.0,32.0,0.39789641136957604,0.29805348557692307
502179,2022,R,224.0,263.0,0.36093067607441576,0.32919247868587936
502179,2023,R,10.0,18.0,0.5195000000000001,0.5270526570048308
502179,2024,R,24.0,20.0,0.4823365974362617,0.41946922627080524
502202,2022,R,118.0,150.0,0.32629253747998677,0.2875234881069751
502202,2023,R,40.0,44.0,0.3516017009560488,0.3319077328921079
502624,2022,R,49.0,55.0,0.2951525252525252,0.3219874655647383
502624,2023,R,156.0,216.0,0.33030672194921945,0.3432817528051237
502624,2024,R,125.0,131.0,0.3424714098594514,0.32689620502620187
503285,2022,R,30.0,64.0,0.31574000518537726,0.25767407407407406
503449,2022,R,59.0,109.0,0.3273886973180076,0.3319744003763121
503556,2022,R,,1.0,,0.243
506433,2022,R,418.0,353.0,0.28227988725540915,0.3135007766234189
506433,2023,R,315.0,258.0,0.30079556483270004,0.3026964960323905
506433,2024,R,146.0,168.0,0.2991783707178241,0.3006309103648592
506433,2025,R,155.0,143.0,0.3498439527184252,0.24125098945644996
506702,2022,R,4.0,2.0,0.07025,0.075
506702,2023,R,1.0,4.0,0.014,0.6755
517008,2022,R,92.0,123.0,0.34282160823530705,0.39637749495205915
517008,2023,R,4.0,11.0,0.6506489361702127,0.30172727272727273
518397,2022,L,28.0,36.0,0.12953571428571428,0.326209056122449
518397,2023,L,83.0,125.0,0.2783007473615109,0.3247429408208097
518397,2024,L,67.0,93.0,0.27484233411171916,0.384010903319884
518397,2025,L,39.0,42.0,0.4551412575339745,0.42133389321765286
