pitcher,year,p_throws,tbf_vs_L,tbf_vs_R,xwoba_vs_L,xwoba_vs_R
518489,2022,R,80.0,183.0,0.3176249967074674,0.3115662753034484
518489,2023,R,103.0,137.0,0.3225840290341842,0.2776094387113013
518489,2024,R,56.0,51.0,0.35144925982514214,0.2471783606557377
518489,2025,R,36.0,63.0,0.34987967412114895,0.31738571428571427
518516,2022,L,155.0,545.0,0.34874316398924243,0.36999439081220825
518516,2023,L,14.0,77.0,0.5006,0.4179525492928004
518553,2022,R,104.0,185.0,0.3824625667825768,0.30479115027275117
518585,2022,R,29.0,35.0,0.20310344827586205,0.34473926752364786
518585,2023,R,128.0,151.0,0.30743776736570977,0.2764024605535161
518585,2024,R,124.0,164.0,0.3858793854490063,0.27645646027046217
518585,2025,R,81.0,120.0,0.28260896490532483,0.29244960987160834
518585,2026,R,21.0,35.0,0.31523809523809526,0.32685714285714285
518586,2022,R,3.0,5.0,0.307,0.28300000000000003
518617,2022,L,105.0,166.0,0.29015400485436893,0.35257284230926306
518617,2023,L,102.0,142.0,0.29203833333333334,0.2932915488814769
518617,2024,L,67.0,78.0,0.321172711772456,0.3760327693640999
518626,2023,R,1.0,2.0,0.9032666666666666,0.224
518748,2022,R,32.0,39.0,0.37625306372549017,0.3331174828674829
518813,2022,R,7.0,13.0,0.4601274131274131,0.46387538461538463
518876,2022,R,373.0,433.0,0.32317225915692643,0.2868210599428871
518876,2023,R,361.0,360.0,0.3283432693968674,0.29914386495688233
518876,2024,R,161.0,140.0,0.38944629817139675,0.2977249909659226
518876,2025,R,399.0,349.0,0.32862692702768864,0.30279805823098477
518876,2026,R,59.0,40.0,0.5693508771929825,0.38053846153846155
518886,2022,R,127.0,133.0,0.2970184444003296,0.30748497165510036
518886,2023,R,116.0,162.0,0.29927727478775995,0.27237258964873773
518886,2024,R,119.0,114.0,0.322259046430732,0.33784515615787586
518886,2025,R,20.0,29.0,0.3559516335227273,0.2875365726227795
518886,2026,R,13.0,13.0,0.43546153846153846,0.16666666666666666
519008,2022,L,51.0,94.0,0.3744537605251891,0.3886776682371703
519008,2023,L,5.0,6.0,0.31639999999999996,0.3421666666666667
519008,2024,L,117.0,118.0,0.2520995826491516,0.35058641042372657
519008,2025,L,30.0,44.0,0.3412359290797647,0.3702733831824741
519043,2022,L,84.0,220.0,0.31899517058149246,0.25077610569772807
519043,2023,L,62.0,156.0,0.34551357923497267,0.2755280700823429
519043,2024,L,76.0,134.0,0.3491747263520841,0.32208836992829426
519141,2025,L,80.0,123.0,0.28646892397406115,0.29922180859389547
519141,2026,L,21.0,39.0,0.2602,0.4977142857142858
519151,2022,R,100.0,81.0,0.2629588247273962,0.24650136770757686
519151,2023,R,138.0,130.0,0.29674162205769644,0.28797474133054585
519151,2024,R,121.0,124.0,0.29245569342428973,0.3323721126502749
519151,2025,R,91.0,86.0,0.35353692566001155,0.3563728045157457
519242,2022,L,6.0,19.0,0.09033333333333333,0.38648006379585326
519242,2023,L,56.0,370.0,0.3302599746118543,0.2911306836026565
519242,2024,L,111.0,592.0,0.2522239393939394,0.268025281096176
519242,2025,L,99.0,415.0,0.2746051185424015,0.26320676023686534
519242,2026,L,41.0,123.0,0.21321951219512192,0.28669918699186997
519293,2022,L,105.0,156.0,0.2767062000506091,0.32804660780491535
519293,2023,L,66.0,161.0,0.25541402714932127,0.3046575095046146
519293,2024,L,72.0,114.0,0.315269671873379,0.39732530230401075
519326,2022,R,124.0,160.0,0.3444516703723106,0.37281026629933367
519326,2024,R,106.0,188.0,0.342223835293414,0.2714469157685111
519326,2025,R,43.0,48.0,0.33283672086720867,0.32654678190077285
520980,2022,R,7.0,9.0,0.5387987012987013,0.3776993464052288
521230,2022,R,106.0,129.0,0.2355653003003003,0.2888134532382932
521230,2023,R,8.0,12.0,0.313125,0.2967047101449275
521230,2025,R,24.0,36.0,0.3202672619047619,0.41284182555033616
523260,2022,R,79.0,91.0,0.26475605186155166,0.2969656469456469
523260,2023,R,74.0,94.0,0.3424473010998011,0.22082349115504685
523260,2024,R,71.0,68.0,0.3446720526641441,0.35429514401196127
527048,2022,L,136.0,685.0,0.2384570479973405,0.31522498116737296
527048,2023,L,135.0,474.0,0.3039313611431366,0.34967907951908944
527048,2024,L,128.0,463.0,0.32629139763544546,0.3700775370883724
527048,2025,L,58.0,171.0,0.28214290779810225,0.3784610311397419
527048,2026,L,32.0,80.0,0.39025,0.31070886075949367
527054,2023,R,139.0,150.0,0.3340023744080636,0.3363642894325943
527054,2024,R,7.0,9.0,0.24514285714285713,0.5459999999999999
527055,2022,R,12.0,17.0,0.42168055555555556,0.4546488413547237
528748,2022,R,87.0,107.0,0.34633791235569505,0.3567043216713193
528748,2024,R,22.0,26.0,0.3565738636363636,0.3591153846153846
534910,2025,R,7.0,18.0,0.426,0.4539030303030303
541640,2022,R,133.0,215.0,0.31096410071031283,0.294852875764235
541640,2023,R,129.0,146.0,0.34610638669124016,0.3542826757579533
541640,2024,R,40.0,45.0,0.3607254692450654,0.2995929488536155
541640,2025,R,25.0,17.0,0.4151295584045584,0.22976827094474153
542194,2022,R,7.0,12.0,0.19842857142857143,0.5077776455026455
542194,2023,R,2.0,2.0,0.7304999999999999,0.4368
542208,2023,R,4.0,6.0,0.56875,0.5152578616352201
542585,2022,R,43.0,62.0,0.3606434108527132,0.2705483870967742
542585,2023,R,99.0,169.0,0.2964560414237067,0.36497985733869837
542585,2024,R,33.0,41.0,0.4601822783569909,0.30791999999999997
542881,2022,L,134.0,573.0,0.2506760671620047,0.2953753713066985
542881,2023,L,140.0,491.0,0.3669271314816906,0.3373184091813067
542881,2024,L,178.0,588.0,0.362210489455798,0.317064978964805
542881,2025,L,180.0,419.0,0.3768849199455475,0.33628253519740636
542882,2024,R,11.0,15.0,0.4441606060606061,0.29505555555555557
542888,2022,R,92.0,178.0,0.30913319511068393,0.2799711967341371
542888,2023,R,98.0,109.0,0.2833679683733255,0.2308441201000834
542888,2024,R,113.0,183.0,0.41360726619952665,0.31660543120501455
542888,2025,R,106.0,178.0,0.347346178227936,0.2272840873211792
542888,2026,R,20.0,27.0,0.40095000000000003,0.29748148148148146
542914,2022,R,104.0,171.0,0.3040464700726527,0.26096405167624004
542914,2023,R,34.0,54.0,0.2828082175485344,0.40082734204793025
542932,2025,R,9.0,10.0,0.5972592592592592,0.4841957142857143
542947,2022,L,94.0,128.0,0.2489246660149886,0.35799938267208536
542947,2023,L,47.0,85.0,0.37330605182386795,0.3162473988000304
543037,2022,R,357.0,439.0,0.29695393865244574,0.2877948813000021
543037,2023,R,385.0,437.0,0.2837487501573407,0.2940462381180739
543037,2024,R,228.0,162.0,0.2924370667733333,0.31339096788735066
543056,2022,L,22.0,31.0,0.22768181818181815,0.3272623655913979
543056,2023,L,92.0,119.0,0.29184764521193096,0.2553920668461271
543056,2024,L,40.0,67.0,0.26428022238514176,0.27541391604424564
543056,2025,L,78.0,98.0,0.28963275483590584,0.3275486144467777
543056,2026,L,17.0,19.0,0.35523529411764704,0.32226315789473686
543063,2023,R,2.0,3.0,0.39399999999999996,0.20733333333333334
543063,2024,R,4.0,6.0,0.5944125,0.34
543101,2022,R,37.0,57.0,0.3659383794530853,0.3697197347689075
543101,2023,R,218.0,202.0,0.355610861961637,0.3480804974955405
543101,2025,R,72.0,97.0,0.3381685874118166,0.3101164478252244
543135,2022,R,177.0,284.0,0.3218799897902814,0.3311723466107
543135,2023,R,264.0,315.0,0.2828465169000847,0.33013446957051634
543135,2024,R,339.0,357.0,0.3350905636463629,0.28474430109158466
543135,2025,R,260.0,236.0,0.28644863828249956,0.25993712984645667
543135,2026,R,112.0,61.0,0.3761875,0.2436229508196721
543238,2022,L,33.0,59.0,0.3206473500533283,0.3703879495572011
543238,2024,L,8.0,14.0,0.653834375,0.3567811837285521
543243,2022,R,218.0,270.0,0.28025487846151986,0.31620130337141056
543243,2023,R,359.0,396.0,0.2911748294965739,0.30409013605438046
543243,2024,R,316.0,358.0,0.3172060055247293,0.28729340131005066
543243,2025,R,392.0,364.0,0.30145156591513644,0.31490727746547176
543243,2026,R,53.0,47.0,0.3263673469387755,0.4338444444444444
543272,2022,L,73.0,125.0,0.3523579361996029,0.3240866103732327
543272,2023,L,93.0,143.0,0.27263922518159805,0.37767581323578187
543281,2022,R,5.0,13.0,0.5391999999999999,0.32383053788316946
543281,2023,R,5.0,10.0,0.6083999999999999,0.47780000000000006
543294,2022,R,193.0,164.0,0.3854619072758246,0.3093459889417412
543294,2023,R,300.0,279.0,0.30819774969326147,0.3206372558321627
543294,2024,R,290.0,281.0,0.36091842233920324,0.3165648234104898
543294,2025,R,344.0,351.0,0.3057594783401121,0.31507948292389104
543305,2024,R,3.0,3.0,0.31866666666666665,0.8584712643678162
543339,2022,R,52.0,45.0,0.28664305944600066,0.2493301587301587
543339,2023,R,5.0,9.0,0.28159999999999996,0.20655555555555555
543339,2024,R,120.0,129.0,0.3185070011610836,0.298341052397354
543351,2022,R,2.0,3.0,0.011,0.30433333333333334
543351,2023,R,42.0,74.0,0.29765533127235255,0.29083583971672206
543351,2024,R,50.0,64.0,0.3723230931434157,0.30893836557539683
543391,2024,R,8.0,13.0,0.058750000000000004,0.4493076923076923
543391,2025,R,1.0,5.0,0.105,0.344
543475,2022,R,343.0,432.0,0.35817893692316505,0.33228814568496223
543475,2023,R,356.0,392.0,0.3374206050283846,0.3419039150687882
543475,2024,R,9.0,10.0,0.4280125603864734,0.231021875
543507,2022,R,49.0,62.0,0.2932188826188826,0.31271480900457255
543507,2023,R,84.0,121.0,0.35770874304821043,0.3363675768223111
543510,2023,R,,5.0,,0.37123999999999996
543510,2024,R,2.0,3.0,0.4515483870967742,0.204
543510,2026,R,15.0,8.0,0.7052142857142858,0.49112500000000003
543518,2023,R,140.0,162.0,0.29299399110118846,0.3466290895426352
543518,2024,R,57.0,93.0,0.37400877192982457,0.37032511265045726
543518,2025,R,39.0,36.0,0.36571674503657253,0.3912812681506566
543521,2022,R,118.0,154.0,0.27017388151703464,0.28259597748119575
543521,2023,R,128.0,140.0,0.31175156388558395,0.38497420610945854
543543,2023,R,5.0,4.0,0.493,0.3788385416666667
543548,2022,L,15.0,54.0,0.3698573054213634,0.35934318016768996
543548,2023,L,11.0,29.0,0.28141919191919196,0.38465747126436783
543592,2025,R,3.0,8.0,0.157,0.8608279075091575
543594,2023,L,6.0,12.0,0.6552380952380953,0.459958664021164
543606,2022,R,235.0,219.0,0.31796408747470983,0.33455615400876815
543766,2022,R,110.0,151.0,0.31303327638394807,0.3546856652200609
543766,2023,R,83.0,107.0,0.32445697495865816,0.2896289765438886
543766,2024,R,12.0,12.0,0.5883725915579462,0.28089583333333334
543829,2022,R,1.0,7.0,0.7,0.6214751552795031
543859,2023,R,153.0,172.0,0.32413565828961055,0.29477942797770385
543859,2024,R,123.0,217.0,0.3555082320447199,0.30922245556609473
543859,2025,R,55.0,49.0,0.4193161878525515,0.2812770833333333
543901,2022,R,13.0,24.0,0.33817582417582415,0.326140931372549
543901,2023,R,26.0,34.0,0.3452692307692308,0.35690934873949576
544150,2024,R,263.0,303.0,0.31940777533311127,0.31820625950968506
544150,2025,R,19.0,25.0,0.2609444444444444,0.2679261111111111
544150,2026,R,35.0,32.0,0.3469411764705882,0.34775
544365,2022,L,70.0,106.0,0.27684711246200605,0.32215564277353165
544727,2022,R,84.0,122.0,0.31732770386794773,0.3655887013453895
544727,2023,R,27.0,37.0,0.3615787037037037,0.3768364342603473
544931,2022,R,6.0,17.0,0.38835714285714285,0.31796732026143787
545121,2022,R,2.0,1.0,0.20525,0.334
545121,2023,R,7.0,3.0,0.5876984126984127,0.3898888888888889
545121,2024,R,5.0,4.0,0.3391888888888889,0.5297499999999999
545341,2022,R,,3.0,,0.225
545343,2022,R,46.0,92.0,0.38127808278867104,0.32478476362086334
547001,2022,R,59.0,56.0,0.3314003046161056,0.3322350446998723
547001,2024,R,45.0,51.0,0.3263585185185185,0.35990423333980676
547001,2025,R,8.0,8.0,0.215125,0.5024601063829788
547179,2022,R,187.0,224.0,0.3243083567475436,0.2968218187068075
547179,2023,R,354.0,271.0,0.3271004135494642,0.32935679682573815
547179,2024,R,251.0,285.0,0.3052147724845846,0.35788003702554727
547179,2025,R,311.0,296.0,0.32548063726632115,0.3407891400003314
547179,2026,R,78.0,86.0,0.43392307692307686,0.3004235294117647
547184,2022,R,8.0,8.0,0.48100378787878784,0.15612499999999999
547184,2023,R,27.0,44.0,0.2922222222222222,0.3130681818181818
547184,2024,R,53.0,75.0,0.3371950341191067,0.27555855855855854
547184,2025,R,66.0,100.0,0.3254106358853411,0.36488684768557816
547184,2026,R,7.0,15.0,0.38557142857142856,0.37906666666666666
547943,2022,L,19.0,94.0,0.25789473684210523,0.3729216539638471
547943,2023,L,46.0,178.0,0.2885515171137835,0.3106426714353968
547973,2022,L,45.0,115.0,0.26326666666666665,0.3564319772557792
547973,2023,L,50.0,200.0,0.27589583333333334,0.264246103240282
547973,2024,L,74.0,190.0,0.31314331436699855,0.26994585834387436
547973,2025,L,55.0,173.0,0.17398065123282516,0.24814248726947427
547973,2026,L,11.0,30.0,0.30036363636363633,0.3584333333333333
548384,2022,L,76.0,143.0,0.23783324618736382,0.29170061619718307
548384,2023,L,105.0,131.0,0.291336620745232,0.29287893265833465
548384,2024,L,5.0,20.0,0.008400000000000001,0.35882704186684966
548384,2025,L,33.0,66.0,0.197989898989899,0.26282828282828286
548384,2026,L,18.0,31.0,0.23452941176470588,0.3421666666666666
548389,2022,R,240.0,297.0,0.29006955528462447,0.30248506774311174
548389,2023,R,161.0,222.0,0.36218363143991494,0.35216220785956104
548389,2024,R,206.0,175.0,0.30449766057432515,0.38689996645759567
552640,2022,R,30.0,45.0,0.2969954391891892,0.2540163836951071
552640,2023,R,19.0,31.0,0.33106155218554867,0.2874696774193548
552640,2024,R,104.0,183.0,0.35385215255656954,0.2955478116831298
552640,2025,R,93.0,115.0,0.2611566179748814,0.26712271955477734
552640,2026,R,8.0,12.0,0.3138571428571429,0.25575
553902,2022,R,3.0,4.0,0.8096666666666666,0.279
554340,2022,R,104.0,145.0,0.30678165998006857,0.2532632140845428
554340,2023,R,108.0,174.0,0.3114608046693645,0.28731536269281094
554340,2024,R,68.0,85.0,0.36366309332668106,0.21477124078798185
554340,2025,R,44.0,46.0,0.41726056634035724,0.291
554430,2022,R,296.0,313.0,0.291662341488533,0.26531047830728255
554430,2023,R,414.0,374.0,0.3147977286554027,0.23772718672054444
554430,2024,R,418.0,370.0,0.31011463142669854,0.2139823474670254
554430,2025,R,337.0,250.0,0.2539430254780555,0.23772921295081706
554430,2026,R,25.0,18.0,0.2486,0.24911111111111112
554431,2022,L,66.0,118.0,0.31466335227272724,0.3290936169850717
554431,2024,L,20.0,28.0,0.34680753176043555,0.44283139610389616
554431,2025,L,15.0,20.0,0.39740000000000003,0.32075767045454545
570257,2022,L,97.0,119.0,0.2640889220345592,0.3392222534597363
570257,2023,L,18.0,33.0,0.3080555555555555,0.38638320433774975
570257,2024,L,31.0,33.0,0.3199677419354839,0.3557954348681622
570488,2022,R,33.0,39.0,0.26466161616161615,0.3558452991452991
570560,2022,R,2.0,4.0,0.7520344827586204,0.22275
570632,2022,R,236.0,196.0,0.3643910635018011,0.33104583898264645
570632,2023,R,115.0,90.0,0.3407126255354699,0.39776581760063345
570632,2024,R,205.0,258.0,0.3342611234523009,0.32687189363846536
570632,2025,R,132.0,113.0,0.4078922149939615,0.37427813845262126
570663,2022,R,39.0,72.0,0.3646266061789088,0.40187122147657856
570666,2022,R,159.0,177.0,0.3165785585553171,0.338877923816335
570666,2023,R,62.0,70.0,0.45763211331679077,0.41342758338875674
570731,2023,R,1.0,4.0,0.3718333333333333,0.64509126984127
571439,2022,R,5.0,8.0,0.8034761904761906,0.46599999999999997
571446,2022,R,14.0,26.0,0.2654285714285714,0.3004346153846154
571466,2022,R,2.0,3.0,,2.152
571466,2023,R,6.0,13.0,0.3103333333333333,0.4832523452157599
571466,2024,R,3.0,4.0,0.5196190476190475,0.416
571466,2025,R,6.0,5.0,0.42177192982456146,0.3652888888888889
571479,2022,R,83.0,148.0,0.3457936916761083,0.2694483599846444
571479,2023,R,38.0,75.0,0.40567350193665985,0.3200325054784514
571510,2022,L,26.0,27.0,0.27186639676113356,0.3079130434782609
571510,2023,L,63.0,240.0,0.26924982363315697,0.3279452401501616
571510,2024,L,31.0,135.0,0.24231935483870967,0.2830289503002953
571510,2025,L,183.0,535.0,0.28210836939803763,0.3115375895556649
571510,2026,L,19.0,81.0,0.262,0.3355925925925926
571527,2024,R,6.0,8.0,0.29117424242424245,0.3104375
571539,2023,R,52.0,58.0,0.4423394094706848,0.270248375568551
571539,2024,R,23.0,20.0,0.5990869565217392,0.24469285714285713
571578,2022,L,152.0,562.0,0.33408168647863395,0.39609677748221533
571578,2023,L,141.0,650.0,0.3483227606157986,0.3802997910393343
571578,2024,L,146.0,621.0,0.3456126224079542,0.36628077843169626
571578,2025,L,167.0,498.0,0.33179885647949375,0.33977536405973136
571578,2026,L,19.0,85.0,0.3372941176470588,0.37725
571616,2022,L,2.0,5.0,0.7635,0.6525172413793102
571616,2023,L,8.0,9.0,0.32237499999999997,0.5500277361319339
571656,2022,R,80.0,121.0,0.34385425668528513,0.2649235459038305
571656,2023,R,118.0,191.0,0.31159525403088756,0.31145668141307215
571656,2024,R,121.0,178.0,0.33987064749833085,0.3166114492866856
571657,2024,R,10.0,9.0,0.4723533333333334,0.2571111111111111
