key_year,n_years_rolling,venue_id,venue_name,main_team_id,team_abbr,name_display_club,n_pa,index_woba,index_runs,index_hr
2017,3,7,Kauffman Stadium,118,KC,Royals,56740,99,98,80
2017,3,1,Angel Stadium,108,LAA,Angels,55247,95,90,94
2017,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,56164,95,90,103
2017,3,4169,loanDepot park,146,MIA,Marlins,52536,96,92,76
2017,3,32,American Family Field,158,MIL,Brewers,55422,101,102,112
2017,3,3312,Target Field,142,MIN,Twins,55665,103,106,104
2017,3,3289,Citi Field,121,NYM,Mets,55614,95,90,101
2017,3,3313,Yankee Stadium,147,NYY,Yankees,56763,100,100,123
2017,3,2681,Citizens Bank Park,143,PHI,Phillies,53231,100,100,113
2017,3,31,PNC Park,134,PIT,Pirates,55099,100,100,81
2017,3,2680,Petco Park,135,SD,Padres,55434,97,94,96
2017,3,680,T-Mobile Park,136,SEA,Mariners,56768,97,94,104
2017,3,2395,Oracle Park,137,SF,Giants,54786,96,92,63
2017,3,2889,Busch Stadium,138,STL,Cardinals,54442,98,96,88
2017,3,12,Tropicana Field,139,TB,Rays,56011,95,90,98
2017,3,13,Globe Life Park in Arlington,140,TEX,Rangers,57108,106,112,108
2017,3,14,Rogers Centre,141,TOR,Blue Jays,57633,100,100,104
2017,3,3309,Nationals Park,120,WSH,Nationals,54954,99,98,104
2018,1,10,Oakland Coliseum,133,ATH,Athletics,17540,95,90,86
2018,1,4705,Truist Park,144,ATL,Braves,17940,98,96,80
2018,1,15,Chase Field,109,AZ,D-backs,17581,100,100,95
2018,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,17751,102,104,116
2018,1,3,Fenway Park,111,BOS,Red Sox,19006,103,106,94
2018,1,17,Wrigley Field,112,CHC,Cubs,17956,102,104,90
2018,1,2602,Great American Ball Park,113,CIN,Reds,17657,105,110,131
2018,1,5,Progressive Field,114,CLE,Guardians,17710,103,106,108
2018,1,19,Coors Field,115,COL,Rockies,17610,115,132,126
2018,1,4,Rate Field,145,CWS,White Sox,17647,98,96,98
2018,1,2394,Comerica Park,116,DET,Tigers,17251,97,94,84
2018,1,2392,Daikin Park,117,HOU,Astros,18135,95,90,99
2018,1,7,Kauffman Stadium,118,KC,Royals,17774,101,102,87
2018,1,1,Angel Stadium,108,LAA,Angels,17362,97,94,114
2018,1,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,19260,97,94,116
2018,1,4169,loanDepot park,146,MIA,Marlins,17429,92,85,67
2018,1,32,American Family Field,158,MIL,Brewers,18640,99,98,113
2018,1,3312,Target Field,142,MIN,Twins,17478,102,104,92
2018,1,3289,Citi Field,121,NYM,Mets,17140,91,83,100
2018,1,3313,Yankee Stadium,147,NYY,Yankees,18644,104,108,117
2018,1,2681,Citizens Bank Park,143,PHI,Phillies,17111,98,96,111
2018,1,31,PNC Park,134,PIT,Pirates,17157,100,100,86
2018,1,2680,Petco Park,135,SD,Padres,17116,100,100,96
