batter,sprint_speed
621439,30.7
571740,30.2
609275,30.2
607208,30.0
622534,30.0
596451,30.0
593647,29.9
592261,29.7
542979,29.7
594694,29.6
449181,29.6
543829,29.6
502226,29.6
596115,29.6
453211,29.6
488721,29.5
605480,29.5
514917,29.5
571757,29.5
608671,29.5
606192,29.4
502523,29.4
595281,29.4
502285,29.3
542993,29.3
605486,29.3
592808,29.3
592680,29.2
516809,29.1
545350,29.1
649557,29.1
488818,29.1
541645,29.1
605439,29.1
457705,29.1
621035,29.1
593160,29.0
456715,29.0
593523,29.0
594838,29.0
434658,28.9
545361,28.9
453203,28.9
572008,28.9
502100,28.9
592885,28.9
543434,28.9
501571,28.9
516782,28.9
543776,28.9
592710,28.9
621020,28.9
534627,28.9
457727,28.8
595879,28.8
466988,28.8
502481,28.8
460576,28.8
606299,28.8
641313,28.8
571437,28.8
593871,28.8
571745,28.8
517369,28.8
592663,28.8
607054,28.8
519306,28.7
607043,28.7
572191,28.7
458731,28.7
595963,28.6
502054,28.6
621563,28.6
643217,28.6
435622,28.6
573113,28.5
572041,28.5
545341,28.5
621311,28.5
592178,28.5
578428,28.5
573135,28.5
608365,28.5
452254,28.5
491676,28.5
605113,28.5
607776,28.5
606132,28.5
543706,28.5
592419,28.5
543305,28.4
606466,28.4
541650,28.4
543760,28.4
514888,28.4
592696,28.4
527043,28.4
543807,28.4
592444,28.4
518586,28.4
628338,28.4
572204,28.3
593428,28.3
516416,28.3
594807,28.3
571718,28.3
594809,28.3
518700,28.3
542194,28.3
519333,28.3
451594,28.3
608324,28.3
465753,28.3
571980,28.2
594988,28.2
501659,28.2
453923,28.2
572114,28.2
485567,28.2
571788,28.2
571841,28.2
425834,28.2
424825,28.2
502273,28.2
543302,28.2
575929,28.2
542364,28.2
572073,28.2
456422,28.1
624577,28.1
607680,28.1
544369,28.1
593700,28.1
546991,28.1
444482,28.1
543685,28.1
454975,28.1
489267,28.1
591720,28.1
605509,28.1
592239,28.1
596146,28.1
457706,28.1
502034,28.1
592325,28.1
571681,28.0
621043,28.0
502317,28.0
430945,28.0
458675,28.0
542921,28.0
543484,28.0
502544,28.0
542340,28.0
456488,28.0
461865,28.0
571976,28.0
449107,28.0
544725,28.0
543281,27.9
542303,27.9
605141,27.9
607387,27.9
457789,27.9
446386,27.9
518649,27.9
453056,27.9
542455,27.9
488681,27.9
608070,27.9
571970,27.9
452655,27.9
502261,27.9
542255,27.9
622110,27.8
592620,27.9
600474,27.8
570560,27.8
608703,27.8
460099,27.8
400085,27.8
430947,27.8
607385,27.8
500874,27.8
593934,27.8
543257,27.8
543543,27.8
518490,27.8
408299,27.8
624428,27.8
434636,27.7
453568,27.7
543213,27.7
492841,27.7
572821,27.7
455759,27.7
518792,27.7
606115,27.7
519295,27.7
518618,27.7
643393,27.7
506924,27.7
523253,27.7
594824,27.7
542454,27.7
543238,27.7
543105,27.7
596059,27.7
457787,27.7
493472,27.7
408314,27.7
518466,27.7
430001,27.7
588751,27.6
640461,27.6
596143,27.6
608061,27.6
596119,27.6
457775,27.6
518953,27.6
592230,27.6
474568,27.6
457477,27.6
408307,27.5
520471,27.5
500871,27.5
593643,27.5
543939,27.5
570731,27.5
444876,27.5
519317,27.5
605183,27.5
