pitcher,pitches,tbf,bip,in_zone,out_zone,swing,contact,swstr,called_strike,z_swing,z_contact,o_swing_num,avg_velo,avg_ext,avg_pfxz,avg_pfxx,avg_ev,hard_hit_n,barrel_n,gb_n,k,bb,hbp,h,hr,xwoba_bip,woba_v_sum,woba_d_sum,xwoba_contact,player_name,year,z_zone,o_zone_tot,swing_pct,contact_pct,swstr_pct,c_plus_swstr,zone_pct,o_swing_pct,z_swing_pct,z_contact_pct,hard_hit_pct,barrel_pct,gb_pct,k_pct,bb_pct,bip_pct,abs_pfxz,gs,ip_per_start,k_per_start,bb_per_start,h_per_start,hr_per_start,hbp_per_start,er_per_start,fp_per_start_actual,fp_total
425794,3080,828,599,1518,1550,1344,1073,271,664,922,810,422,82.39432855280313,6.475619295958279,0.14297913950456323,0.20033898305084746,81.96805143422354,212,37,290,173,47,9,168,21,0.35314003911643455,250.75890315692925,821.0,0.30543106352853744,"Wainwright, Adam",2021,1518,1550,0.43636363636363634,0.7983630952380952,0.08798701298701299,0.30357142857142855,0.4928571428571429,0.27225806451612905,0.6073781291172595,0.8785249457700651,0.35392320534223703,0.06176961602671119,0.48414023372287146,0.20893719806763286,0.05676328502415459,0.7234299516908212,0.14297913950456323,32,6.375,5.40625,1.46875,5.25,0.65625,0.28125,2.125,15.19375,486.2
425844,2577,697,539,1181,1396,1185,927,258,452,783,686,402,84.55987582460224,5.9319875776397515,0.5795770275514164,-0.0869033760186263,82.63477765108324,191,35,246,120,36,2,164,30,0.3668147598698636,223.97952605011673,695.0,0.32227269935268593,"Greinke, Zack",2021,1181,1396,0.459837019790454,0.7822784810126582,0.10011641443538999,0.2755141637563058,0.4582848273185875,0.28796561604584525,0.6629974597798476,0.876117496807152,0.35435992578849723,0.06493506493506493,0.45640074211502785,0.17216642754662842,0.05164992826398852,0.7733142037302726,0.5795770275514164,29,5.781609195402298,4.0344827586206895,1.2413793103448276,5.586206896551724,1.0,0.06896551724137931,2.6551724137931036,10.906896551724136,316.29999999999995
446372,1338,341,222,620,718,630,453,177,224,408,346,222,86.42623318385651,6.502316890881914,0.46839312406576983,-0.0026532137518684587,79.89550827423169,76,15,97,81,33,5,74,8,0.36045209523977867,106.0994609527513,339.0,0.3129777609225702,"Kluber, Corey",2021,620,718,0.47085201793721976,0.719047619047619,0.13228699551569506,0.29970104633781763,0.4633781763826607,0.30919220055710306,0.6580645161290323,0.8480392156862745,0.34234234234234234,0.06756756756756757,0.4369369369369369,0.2375366568914956,0.0967741935483871,0.6510263929618768,0.46839312406576983,16,4.916666666666667,5.0625,2.0625,4.625,0.5,0.3125,2.125,10.037499999999998,160.59999999999997
448179,2496,662,442,1339,1157,1151,885,266,512,857,709,294,80.24046474358975,6.2128605769230765,0.4413982371794872,-0.3174358974358974,81.17951515151516,153,39,158,149,55,16,137,21,0.3733391299609444,213.0758606629718,656.0,0.3248107632057497,"Hill, Rich",2021,1339,1157,0.46113782051282054,0.7688966116420504,0.10657051282051282,0.31169871794871795,0.5364583333333334,0.2541054451166811,0.6400298730395818,0.8273045507584598,0.34615384615384615,0.08823529411764706,0.3574660633484163,0.22507552870090636,0.08308157099697885,0.6676737160120846,0.4413982371794872,31,4.903225806451613,4.67741935483871,1.6774193548387097,4.290322580645161,0.6774193548387096,0.5161290322580645,2.032258064516129,10.309677419354838,319.59999999999997
450203,2991,756,466,1482,1505,1375,975,400,556,956,771,419,88.7747572815534,6.2804486106461335,0.17381653833277538,-0.1401841312353532,81.77028824833704,151,23,230,216,57,17,136,16,0.35074569672325484,215.29078340252747,747.0,0.2882072066968239,"Morton, Charlie",2021,1482,1505,0.45971247074557003,0.7090909090909091,0.13373453694416584,0.31962554329655635,0.4954864593781344,0.27840531561461795,0.6450742240215924,0.8064853556485355,0.3240343347639485,0.04935622317596566,0.49356223175965663,0.2857142857142857,0.07539682539682539,0.6164021164021164,0.17381653833277538,32,5.75,6.71875,1.71875,4.125,0.46875,0.53125,2.0625,15.193749999999998,486.19999999999993
452657,2391,627,484,1048,1332,1104,882,222,349,739,625,365,85.2186974789916,6.4338797814207656,0.7581764705882353,0.35484033613445376,81.6412048192771,178,37,214,90,50,3,159,25,0.3722228593375606,217.06141246666613,616.0,0.35237242283549697,"Lester, Jon",2021,1048,1332,0.4617314930991217,0.7989130434782609,0.09284818067754078,0.23881221246340442,0.438310330405688,0.27402402402402404,0.7051526717557252,0.8457374830852503,0.3677685950413223,0.07644628099173553,0.44214876033057854,0.14354066985645933,0.07974481658692185,0.7719298245614035,0.7581764705882353,28,4.952380952380952,3.2142857142857144,1.7857142857142858,5.678571428571429,0.8928571428571429,0.10714285714285714,2.8214285714285716,6.342857142857142,177.59999999999997
453286,2821,695,415,1422,1399,1427,939,488,443,1008,750,419,89.18511166253103,6.265047855370436,0.7504856433888691,-0.45114143920595534,81.12413394919169,141,33,144,234,36,10,119,23,0.3627695268020267,181.33550598883093,690.0,0.26280508114323325,"Scherzer, Max",2021,1422,1399,0.5058489897199575,0.6580238262088297,0.1729883020205601,0.33002481389578164,0.5040765685926977,0.29949964260185846,0.7088607594936709,0.7440476190476191,0.3397590361445783,0.07951807228915662,0.3469879518072289,0.3366906474820144,0.051798561151079135,0.5971223021582733,0.7504856433888691,29,6.045977011494253,8.068965517241379,1.2413793103448276,4.103448275862069,0.7931034482758621,0.3448275862068966,1.7586206896551724,18.813793103448273,545.5999999999999
453562,1753,469,339,871,875,758,620,138,321,559,491,199,88.5958762886598,5.854295532646049,0.4054123711340206,-0.5774971363115693,83.86090750436301,149,31,154,83,41,6,131,24,0.41946285447398063,174.38113053983554,463.0,0.3766331113171394,"Arrieta, Jake",2021,871,875,0.43240159726183686,0.8179419525065963,0.07872219053051911,0.26183685111237875,0.4968625213918996,0.22742857142857142,0.6417910447761194,0.8783542039355993,0.43952802359882004,0.09144542772861357,0.45427728613569324,0.17697228144989338,0.08742004264392324,0.7228144989339019,0.4054123711340206,23,4.231884057971015,3.608695652173913,1.7391304347826086,5.565217391304348,1.0434782608695652,0.2608695652173913,3.4782608695652173,3.052173913043478,70.19999999999999
456034,1186,327,241,648,530,575,454,121,212,451,368,124,89.92037351443123,5.981578947368421,0.729295415959253,0.865679117147708,81.46983372921616,83,12,120,58,24,4,79,8,0.3437168064790182,101.44229910313223,319.0,0.31800093762737375,"Price, David",2021,648,530,0.484822934232715,0.7895652173913044,0.10202360876897133,0.28077571669477236,0.5463743676222597,0.2339622641509434,0.6959876543209876,0.8159645232815964,0.34439834024896265,0.04979253112033195,0.4979253112033195,0.17737003058103976,0.07339449541284404,0.7370030581039755,0.729295415959253,11,3.696969696969697,3.090909090909091,1.0,3.3636363636363638,0.36363636363636365,0.09090909090909091,1.6363636363636365,7.563636363636363,83.19999999999999
456501,1882,490,359,916,962,946,730,216,275,676,554,270,87.66730564430246,5.740202342917998,0.7863738019169328,-0.765,80.87239353891336,136,23,147,98,29,4,127,15,0.4012744736715406,165.4422423640246,478.0,0.3461134777490054,"Cueto, Johnny",2021,916,962,0.5026567481402763,0.7716701902748414,0.11477151965993623,0.26089266737513284,0.4867162592986185,0.2806652806652807,0.7379912663755459,0.8195266272189349,0.3788300835654596,0.06406685236768803,0.40947075208913647,0.2,0.05918367346938776,0.7326530612244898,0.7863738019169328,21,5.301587301587301,4.523809523809524,1.3333333333333333,5.904761904761905,0.7142857142857143,0.19047619047619047,2.619047619047619,9.352380952380951,196.39999999999998
