bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
adamja01,2018,Jason Adam,KCR,32.1,31,15,9,40.0
adamsau02,2018,Austin Adams,WSN,1.0,2,2,1,50.0
adamsch01,2018,Chance Adams,NYY,7.2,3,0,0,
alberma01,2018,Matt Albers,MIL,34.1,34,16,8,50.0
alcanvi01,2018,Victor Alcántara,DET,30.0,27,13,3,77.0
alexasc02,2018,Scott Alexander*,LAD,66.0,73,27,7,74.0
allarko01,2018,Kolby Allard*,ATL,8.0,3,0,0,
allenco01,2018,Cody Allen,CLE,67.0,70,24,7,71.0
almonmi01,2018,Miguel Almonte,LAA,7.0,8,2,0,100.0
almonye01,2018,Yency Almonte,COL,14.2,14,10,8,20.0
altavda01,2018,Dan Altavilla,SEA,20.2,22,13,7,46.0
alvarjo02,2018,José Álvarez*,LAA,63.0,76,50,7,86.0
alvarjo03,2018,José Alvarado*,TBR,64.0,70,49,12,76.0
anderdr02,2018,Drew Anderson,PHI,12.2,5,0,0,
anderju01,2018,Justin Anderson,LAA,55.1,57,24,3,87.0
anderta01,2018,Tanner Anderson,PIT,11.1,6,6,2,67.0
andrima01,2018,Matt Andriese,TOT,78.2,41,10,3,70.0
aranovi01,2018,Víctor Arano,PHI,59.1,60,29,9,69.0
araujpe01,2018,Pedro Araújo,BAL,28.0,20,13,3,77.0
arciafr01,2018,Francisco Arcia,LAA,3.0,2,0,0,
armstsh01,2018,Shawn Armstrong,SEA,14.2,14,6,3,50.0
asheral01,2018,Alec Asher,MIL,3.0,2,0,0,
astudwi01,2018,Willians Astudillo,MIN,1.0,1,0,0,
avilaal01,2018,Alex Avila,ARI,2.0,1,0,0,
avilalu01,2018,Luis Avilán*,TOT,45.1,70,48,9,81.0
axforjo01,2018,John Axford,TOT,54.2,50,11,5,55.0
baezpe01,2018,Pedro Báez,LAD,56.1,55,26,6,77.0
baezsa01,2018,Sandy Báez,DET,14.1,9,8,1,87.0
bandaan01,2018,Anthony Banda*,TBR,14.2,3,1,0,100.0
barbajo01,2018,Johnny Barbato,DET,6.2,7,0,0,
bardlu01,2018,Luke Bard,LAA,11.2,8,2,0,100.0
barlosc01,2018,Scott Barlow,KCR,15.0,6,4,1,75.0
barneda02,2018,Danny Barnes,TOR,41.0,47,35,11,69.0
barneja01,2018,Jacob Barnes,MIL,48.2,49,23,11,52.0
barnema01,2018,Matt Barnes,BOS,61.2,62,14,1,93.0
barneto01,2018,Tony Barnette,TEX,26.1,22,7,3,57.0
barraky01,2018,Kyle Barraclough,MIA,55.2,61,2,2,0.0
barreja01,2018,Jake Barrett,ARI,7.0,7,1,0,100.0
bashlty01,2018,Tyler Bashlor,NYM,32.0,24,6,2,67.0
bassan01,2018,Anthony Bass,CHC,15.1,16,10,7,30.0
bassich01,2018,Chris Bassitt,OAK,47.2,11,0,0,
bauertr01,2018,Trevor Bauer,CLE,175.1,28,0,0,
baumabu01,2018,Buddy Baumann*,TOT,3.1,4,0,0,
bautige01,2018,Gerson Bautista,NYM,4.1,5,4,3,25.0
