batter,sprint_speed
641796,30.6
596451,30.5
641553,30.2
607208,29.9
621439,29.9
641658,29.6
641933,29.5
642201,29.4
609275,29.4
622761,29.4
665487,29.3
664056,29.4
656541,29.3
595281,29.3
669222,29.3
666176,29.3
546990,29.3
542932,29.2
663757,29.1
660670,29.1
665750,29.1
673357,29.1
658668,28.9
596115,28.9
623323,28.9
669242,28.9
545361,28.8
642423,28.8
621433,28.8
656509,28.8
665926,28.8
665506,28.8
605480,28.8
642708,28.8
571740,28.8
663538,28.7
668227,28.7
664059,28.7
660271,28.7
630105,28.7
641313,28.7
664068,28.6
656775,28.6
641355,28.6
592261,28.6
594838,28.5
669256,28.6
543829,28.5
664702,28.5
621446,28.5
593160,28.5
621020,28.4
514917,28.4
622534,28.4
621005,28.4
621493,28.4
593528,28.4
516782,28.4
514888,28.4
622168,28.4
621035,28.4
605548,28.4
657061,28.3
657041,28.3
605141,28.3
516416,28.3
572008,28.3
662139,28.3
623205,28.3
544725,28.3
650489,28.3
621438,28.2
606299,28.2
592663,28.2
668804,28.2
606192,28.2
645277,28.2
657108,28.2
458731,28.2
595751,28.2
571976,28.2
502273,28.2
502054,28.2
621453,28.2
572041,28.2
621563,28.2
592885,28.2
642715,28.2
642180,28.2
545350,28.2
606132,28.1
640458,28.1
643396,28.1
595981,28.1
665862,28.1
572191,28.1
543760,28.1
656308,28.1
605113,28.1
664057,28.1
592348,28.1
670370,28.1
543807,28.1
596146,28.0
541645,28.0
663611,28.0
641786,28.0
663624,28.0
571718,28.0
663647,28.0
605490,28.0
645302,28.0
607043,27.9
500871,27.9
594807,27.9
606157,27.9
641531,27.9
622682,27.9
605233,27.9
643289,27.9
595879,27.9
663662,27.9
595909,27.9
666185,27.9
594809,27.9
657656,27.8
669720,27.8
452254,27.8
607680,27.8
669257,27.8
547180,27.8
670712,27.8
666158,27.7
593871,27.8
596103,27.7
670032,27.7
592206,27.7
545341,27.7
673451,27.7
666182,27.7
664029,27.7
624415,27.7
658069,27.6
664238,27.6
623520,27.6
457727,27.6
657077,27.6
663898,27.6
593428,27.6
663656,27.6
606466,27.6
650859,27.6
592192,27.5
592178,27.5
573262,27.5
660162,27.5
457705,27.5
502481,27.5
621028,27.5
543401,27.5
570256,27.5
624407,27.5
543305,27.5
640449,27.5
668942,27.4
543257,27.4
664040,27.4
596019,27.4
656305,27.4
640447,27.4
614173,27.4
649557,27.4
643565,27.4
656669,27.3
664761,27.3
