pitcher,year,split_day,ros_opp_xwoba_weighted,ros_park_pf_HR_weighted,n_ros_games
112526,2018,30,0.3159835489769388,1.0981164179104477,134
282332,2018,30,0.3153824763737778,1.0548014705882354,136
425794,2018,30,0.30994275053083653,0.8960808823529413,136
425844,2018,30,0.30845215862152503,0.9587036764705883,136
430935,2018,30,0.3159835489769388,1.0981164179104477,134
433587,2018,30,0.31573859671138776,0.9988779411764706,136
434378,2018,30,0.3184452543519338,0.9726417910447761,134
434538,2018,30,0.316669107593176,0.9944021897810219,137
434628,2018,30,0.315161675034584,0.9532235294117646,136
434671,2018,30,0.30953236856712163,0.8733183823529411,136
435221,2018,30,0.30953236856712163,0.8733183823529411,136
446372,2018,30,0.3123850248250976,1.0232124087591241,137
448179,2018,30,0.30736319012483576,1.042248175182482,137
448306,2018,30,0.3163488417334819,0.994712408759124,137
448802,2018,30,0.31575905353660094,1.0570823529411766,136
448855,2018,30,0.31104772027142263,1.0491674074074073,135
450203,2018,30,0.3184452543519338,0.9726417910447761,134
450729,2018,30,0.3159835489769388,1.0981164179104477,134
452657,2018,30,0.3103714450017709,0.9705525179856115,139
453178,2018,30,0.315161675034584,0.9532235294117646,136
453286,2018,30,0.3070918844405825,1.0547266666666668,135
453385,2018,30,0.3115422044799681,0.9710813432835821,134
453562,2018,30,0.31092811148212035,1.0583088235294118,136
456034,2018,30,0.31423883733160607,0.9931669117647058,136
456501,2018,30,0.30977061326663047,0.8798451851851852,135
456701,2018,30,0.31081881741874307,1.1534214814814816,135
457918,2018,30,0.31575905353660094,1.0570823529411766,136
458681,2018,30,0.3153696005402771,1.000622142857143,140
458708,2018,30,0.3123850248250976,1.0232124087591241,137
461829,2018,30,0.3070918844405825,1.0547266666666668,135
462136,2018,30,0.31575905353660094,1.0570823529411766,136
467100,2018,30,0.31165170905401257,0.9412156716417911,134
468504,2018,30,0.31104772027142263,1.0491674074074073,135
471911,2018,30,0.3123850248250976,1.0232124087591241,137
475115,2018,30,0.3115422044799681,0.9710813432835821,134
476451,2018,30,0.3070918844405825,1.0547266666666668,135
477132,2018,30,0.30736319012483576,1.042248175182482,137
488768,2018,30,0.31943804718355995,1.1055577777777779,135
500779,2018,30,0.3103714450017709,0.9705525179856115,139
