batter,year,milb_aaa_pa_prior,milb_aaa_iso_prior,milb_aaa_kpct_prior,milb_aaa_bbpct_prior
114588,2016,277,0.0833333333333333,0.1624548736462094,0.0613718411552346
114588,2017,97,0.0989010989010989,0.1134020618556701,0.0412371134020618
121252,2016,356,0.1794871794871795,0.148876404494382,0.1011235955056179
121252,2017,377,0.1619047619047619,0.1618037135278514,0.1326259946949602
121252,2018,233,0.1504854368932038,0.1888412017167382,0.0987124463519313
121252,2020,52,0.024390243902439,0.1923076923076923,0.1923076923076923
123173,2016,441,0.1225490196078431,0.1065759637188208,0.0476190476190476
136400,2016,72,0.09375,0.2222222222222222,0.1111111111111111
150029,2019,145,0.1825396825396825,0.2275862068965517,0.1034482758620689
150288,2016,200,0.1714285714285714,0.2,0.07
217915,2016,131,0.1327433628318584,0.0916030534351145,0.1297709923664122
276521,2016,236,0.1269035532994923,0.2288135593220339,0.135593220338983
276521,2017,231,0.1649484536082474,0.2337662337662337,0.1385281385281385
279827,2016,305,0.0972222222222222,0.1737704918032787,0.0295081967213114
279827,2017,65,0.0833333333333333,0.2307692307692307,0.0461538461538461
282594,2016,281,0.0513833992094861,0.1103202846975089,0.0747330960854092
285068,2016,181,0.1676646706586826,0.2430939226519337,0.0552486187845303
346795,2018,430,0.0857142857142857,0.0720930232558139,0.0790697674418604
400018,2016,375,0.191044776119403,0.2453333333333333,0.0906666666666666
400018,2017,313,0.1730103806228373,0.2875399361022364,0.0575079872204472
400018,2018,72,0.0869565217391304,0.3333333333333333,0.0277777777777777
400139,2016,74,0.0909090909090909,0.2837837837837837,0.1081081081081081
400140,2017,51,0.0208333333333333,0.196078431372549,0.0588235294117647
400268,2016,124,0.043103448275862,0.1532258064516129,0.0564516129032258
407556,2016,181,0.1497005988023952,0.1325966850828729,0.0552486187845303
407792,2016,277,0.0883534136546184,0.1624548736462094,0.075812274368231
407792,2017,281,0.068825910931174,0.1459074733096085,0.099644128113879
407792,2018,352,0.0809061488673139,0.1448863636363636,0.0880681818181818
407812,2019,62,0.25,0.1451612903225806,0.1451612903225806
407813,2016,242,0.1884057971014492,0.1570247933884297,0.1157024793388429
407813,2017,382,0.1926605504587156,0.1413612565445026,0.1282722513089005
407813,2018,166,0.1458333333333333,0.2289156626506024,0.108433734939759
407821,2016,415,0.1316526610644257,0.1590361445783132,0.1301204819277108
407821,2017,366,0.1758957654723127,0.180327868852459,0.1475409836065573
407821,2018,62,0.196078431372549,0.1612903225806451,0.1129032258064516
407835,2016,66,0.1176470588235294,0.2727272727272727,0.106060606060606
407880,2016,169,0.2992125984251969,0.1952662721893491,0.2248520710059171
407914,2016,325,0.1428571428571428,0.2,0.1015384615384615
407914,2017,128,0.2314049586776859,0.171875,0.046875
407914,2018,356,0.1461038961038961,0.2078651685393258,0.1179775280898876
408242,2016,71,0.0476190476190476,0.1971830985915492,0.1126760563380281
408245,2016,78,0.109375,0.2307692307692307,0.1025641025641025
408252,2019,161,0.174496644295302,0.1614906832298136,0.0559006211180124
408252,2020,147,0.1526717557251908,0.1088435374149659,0.0680272108843537
408299,2017,116,0.0909090909090909,0.1379310344827586,0.0258620689655172
408299,2018,523,0.081799591002045,0.0956022944550669,0.0458891013384321
408305,2016,453,0.2727272727272727,0.1368653421633554,0.108167770419426
408305,2017,346,0.1241830065359477,0.1734104046242774,0.0953757225433526
408305,2018,398,0.1700879765395894,0.2160804020100502,0.1130653266331658
408305,2020,277,0.2041666666666666,0.2021660649819494,0.0902527075812274
408312,2016,484,0.1600928074245939,0.1900826446280991,0.1074380165289256
408312,2017,177,0.2191780821917808,0.1186440677966101,0.1638418079096045
421124,2016,139,0.0161290322580645,0.158273381294964,0.079136690647482
425346,2016,152,0.123076923076923,0.1184210526315789,0.1184210526315789
425489,2016,453,0.0894117647058823,0.0927152317880794,0.0286975717439293
425489,2017,144,0.0895522388059701,0.1319444444444444,0.0486111111111111
425509,2018,53,0.1568627450980392,0.2264150943396226,0.0188679245283018
425543,2016,293,0.0954198473282442,0.2389078498293515,0.0750853242320819
425543,2018,261,0.1359649122807017,0.21455938697318,0.057471264367816
425549,2017,107,0.1020408163265306,0.1682242990654205,0.0467289719626168
425565,2016,99,0.0449438202247191,0.1313131313131313,0.0707070707070707
425565,2017,297,0.1831501831501831,0.2289562289562289,0.0538720538720538
425634,2016,475,0.2,0.2168421052631579,0.12
425661,2016,355,0.1682847896440129,0.1295774647887324,0.1154929577464788
425661,2017,297,0.1082089552238805,0.1346801346801346,0.0774410774410774
425766,2017,169,0.0822784810126582,0.0710059171597633,0.0532544378698224
425766,2018,71,0.0181818181818181,0.1126760563380281,0.1971830985915492
425769,2017,355,0.2688821752265861,0.180281690140845,0.0422535211267605
425773,2016,361,0.1356466876971608,0.0886426592797784,0.1080332409972299
425773,2017,376,0.1265060240963855,0.0851063829787234,0.0957446808510638
425784,2020,396,0.2478873239436619,0.2601010101010101,0.0782828282828282
425834,2016,55,0.1,0.2181818181818181,0.0727272727272727
425842,2016,279,0.1244813278008298,0.1505376344086021,0.089605734767025
425842,2017,306,0.157258064516129,0.15359477124183,0.1405228758169934
425842,2018,328,0.1881533101045296,0.173780487804878,0.1036585365853658
425854,2016,324,0.0581818181818181,0.0648148148148148,0.132716049382716
425854,2017,376,0.0458715596330275,0.0691489361702127,0.1117021276595744
425854,2018,164,0.0364963503649635,0.0670731707317073,0.1463414634146341
425900,2020,115,0.0631578947368421,0.1826086956521739,0.1565217391304348
425904,2016,141,0.1138211382113821,0.1205673758865248,0.0921985815602836
429664,2023,104,0.1458333333333333,0.2115384615384615,0.0673076923076923
