mlb_id,player_name_fg,team,season,age,g,gs,ip,sv,hld,shutdowns,meltdowns,pli,gmli,exli,inli,wpa,wpa_per_li,re24,rew,era,fip,k_pct,bb_pct,barrel_pct,hard_hit_pct,lob_pct
656945,Tanner Scott,MIA,2023,28.0,74.0,0.0,78.0,12.0,24.0,41.0,8.0,1.81679368019104,1.812543272972107,1.9131416082382202,1.7353577613830566,4.903046131134033,2.033304214477539,25.608999252319336,2.5058231353759766,2.3076925334140617,2.1652966631626525,33.88,7.82,3.43,26.29,76.82
642585,Felix Bautista,BAL,2023,28.0,56.0,0.0,61.0,33.0,1.0,35.0,5.0,2.1390743255615234,2.0311713218688965,2.039560079574585,2.059486150741577,4.449517726898193,1.3168410062789917,22.111000061035156,2.3225066661834717,1.4754099283318396,1.8779910930540202,46.41,10.97,8.08,34.34,83.97
670280,David Bednar,PIT,2023,28.0,66.0,0.0,67.1,39.0,0.0,39.0,7.0,2.304172992706299,1.8736242055892944,2.4380667209625244,1.886388897895813,3.514819622039795,1.5690548419952393,10.079999923706055,0.9791536331176758,2.004950646500589,2.5273175322487083,28.88,7.58,5.2,40.46,75.55
666374,Matt Brash,SEA,2023,25.0,78.0,0.0,70.2,4.0,24.0,35.0,13.0,1.5722092390060425,1.4795615673065186,1.163169026374817,1.2267379760742188,0.5043964385986328,0.6831694841384888,7.302999973297119,0.7438725233078003,3.056604543586292,2.2644740722237353,34.74,9.42,4.82,34.34,77.24
666808,Camilo Doval,SFG,2023,25.0,69.0,0.0,67.2,39.0,0.0,37.0,13.0,2.249236583709717,2.1403160095214844,2.3071110248565674,2.0000181198120117,1.177865982055664,0.9544597268104553,7.578000545501709,0.8612189888954163,2.926108814274652,2.7673555571179618,30.96,9.25,5.0,41.25,65.59
642207,Devin Williams,MIL,2023,28.0,61.0,0.0,58.2,36.0,0.0,42.0,4.0,2.5562469959259033,2.0911998748779297,3.1768667697906494,2.008760929107666,4.094192028045654,1.9666229486465454,17.413000106811523,1.7304621934890747,1.5340909755919618,2.658449424544641,37.66,12.12,6.96,29.57,85.02
661403,Emmanuel Clase,CLE,2023,25.0,75.0,0.0,72.2,44.0,0.0,35.0,15.0,2.2445766925811768,1.9239306449890137,2.7409801483154297,1.898594856262207,-1.962606430053711,0.5976867079734802,3.5400002002716064,0.36505281925201416,3.2201835989360146,2.9110036502090346,21.19,5.3,4.98,37.56,60.45
547973,Aroldis Chapman,- - -,2023,35.0,61.0,0.0,58.1,6.0,14.0,32.0,11.0,1.8705494872929818,1.6118852486375903,1.9025394805642062,1.62137396261096,0.7512577176094055,0.9168451130390167,7.0670006275177,0.667163759469986,3.0857144538723786,2.5178974621831136,41.37,14.46,9.17,33.03,73.1
623352,Josh Hader,SDP,2023,29.0,61.0,0.0,56.1,33.0,0.0,27.0,5.0,1.7277063131332397,1.605409860610962,2.810622215270996,1.5307492017745972,1.4198079109191895,1.0197380781173706,17.42799949645996,1.77375066280365,1.2781066242743158,2.686992970930708,36.8,12.99,4.42,28.32,88.82
666974,Yennier Cano,BAL,2023,29.0,72.0,0.0,72.2,8.0,31.0,34.0,8.0,1.8704955577850342,1.8196110725402832,1.911519169807434,1.6268069744110107,2.631012201309204,1.715317726135254,16.424999237060547,1.7002755403518677,2.1055051029637792,2.8421962216610352,22.97,4.59,5.45,38.12,80.97
664747,Alexis Diaz,CIN,2023,26.0,71.0,0.0,67.1,37.0,2.0,39.0,11.0,2.372539520263672,2.1047492027282715,2.1785199642181396,2.0012142658233643,4.3686299324035645,0.9329549670219421,7.73199987411499,0.7380242943763733,3.07425765796757,3.5223671123638156,30.07,12.59,6.49,41.56,71.09
605280,Clay Holmes,NYY,2023,30.0,66.0,0.0,63.0,24.0,5.0,31.0,10.0,1.7101128101348877,1.638396978378296,2.2474241256713867,1.4724769592285156,1.2623720169067383,1.043178915977478,8.788000106811523,0.956752598285675,2.8571432031471864,2.651865683277109,27.1,8.78,2.42,43.03,74.12
671345,Jason Foley,DET,2023,27.0,70.0,0.0,69.0,7.0,28.0,31.0,8.0,1.5432872772216797,1.4855057001113892,1.4727692604064941,1.3921788930892944,2.815380334854126,1.459833025932312,14.720000267028809,1.3901209831237793,2.6086962290658766,2.733301113683895,19.93,5.43,4.39,41.95,76.73
656546,Jeff Hoffman,PHI,2023,30.0,54.0,0.0,52.1,1.0,11.0,11.0,7.0,1.199242115020752,1.2676259279251099,1.384946346282959,0.9667869210243225,1.416260004043579,1.1703673601150513,11.495999336242676,1.1656630039215088,2.4076437215988755,2.5671421533259635,33.17,9.13,2.54,30.51,74.24
666619,Gregory Santos,CHW,2023,23.0,60.0,0.0,66.1,5.0,6.0,19.0,9.0,1.2542182207107544,1.1985666751861572,1.2918744087219238,1.004932165145874,-0.6138059496879578,0.578649640083313,5.488999366760254,0.5160807967185974,3.3919604492111683,2.652025168526196,22.84,5.88,1.49,34.83,70.29
650556,Bryan Abreu,HOU,2023,26.0,72.0,0.0,72.0,5.0,24.0,23.0,9.0,1.3797237873077393,1.3212250471115112,1.2365928888320923,1.176953911781311,1.9787083864212036,1.2671990394592285,20.6200008392334,2.0778915882110596,1.7500001854366922,2.977262552284897,34.84,10.8,9.8,33.99,87.64
664854,Ryan Helsley,STL,2023,28.0,33.0,0.0,36.2,14.0,2.0,16.0,6.0,2.1822826862335205,1.8739393949508667,2.712049961090088,1.829181432723999,-0.1651320457458496,0.5460894107818604,9.395000457763672,0.8849052786827087,2.454545880152248,2.2459492754344796,35.62,11.64,3.95,39.47,75.13
640470,Adbert Alzolay,CHC,2023,28.0,58.0,0.0,64.0,22.0,6.0,26.0,7.0,1.6370593309402466,1.5511069297790527,1.3041599988937378,1.532507300376892,2.5095279216766357,1.331468939781189,14.998000144958496,1.5433852672576904,2.6718753185123587,3.0206653315573897,26.48,5.14,5.95,36.9,74.6
