mlbam,year,bx_prior_h,bx_age_mult_h,bx_prior_sp,bx_age_mult_sp
112526,2018,,,8.429839593988738,-11.138451976914595
134181,2018,0.6408912976400413,-0.1453101948120311,,
136860,2018,0.4923350468793788,-0.1453101948120311,,
150029,2018,0.46147191646359376,-0.1453101948120311,,
276520,2018,,,5.495486805278908,-11.138451976914595
282332,2018,,,9.850860646868965,-9.536699085165125
285079,2018,,,9.306472249827625,-11.138451976914595
400085,2018,0.40041176395085354,-0.1453101948120311,,
400121,2018,0.4977573395851476,-0.1453101948120311,,
400284,2018,0.4819953797088273,-0.1453101948120311,,
405395,2018,0.5563301697773787,-0.13114380468848336,,
407793,2018,,,10.64653090951451,-11.138451976914595
407812,2018,0.4999588789644429,-0.13114380468848336,,
408045,2018,0.5055856075438312,-0.019234494408961397,,
408234,2018,0.5619863334852291,-0.019234494408961397,,
408236,2018,0.490843864223728,-0.05089021561778526,,
408252,2018,0.5276924656295267,-0.08321376616788141,,
408314,2018,0.5623530531596773,-0.019234494408961397,,
425772,2018,0.2826167308761358,-0.019234494408961397,,
425783,2018,0.5324418279689825,-0.019234494408961397,,
425784,2018,0.3323245843195504,0.006631368526555888,,
425794,2018,,,9.819458853372732,-8.133822036996602
425844,2018,,,14.559042619626815,-6.734147452293229
425877,2018,0.5296702728070897,-0.019234494408961397,,
429664,2018,0.5931392935741845,-0.019234494408961397,,
429665,2018,0.6578354385742854,-0.019234494408961397,,
429666,2018,0.3947694073716505,-0.019234494408961397,,
429719,2018,,,7.573878330397621,-6.734147452293229
429722,2018,,,11.265475093064333,-7.498897303599974
430832,2018,0.5353530159336864,-0.08321376616788141,,
430912,2018,,,7.558440459620736,-5.870714037729032
430935,2018,,,10.927638809466407,-6.734147452293229
430945,2018,0.5340923326718171,0.04842672380022864,,
430947,2018,0.43671362886982845,0.006631368526555888,,
431145,2018,0.4936173226577578,-0.019234494408961397,,
433587,2018,,,10.407827893629118,-5.243513988602949
434158,2018,0.5486517779452981,-0.08321376616788141,,
