pid,name,season,injury_class,il_days_cat,stint_days,base_src,baseline_fp,post1,post2_mean,post3_mean,post4_6_mean,n_post,velo_pre,velo_post,len_bucket
425794,Adam Wainwright,2023,lower_body,15,37.0,prior_season,11.390624999999998,1.5,4.6,3.633333333333333,5.266666666666666,20,,81.02215909090908,21-45d
425794,Adam Wainwright,2023,shoulder,15,19.0,in_season_pre,0.5909090909090903,4.799999999999997,-2.650000000000002,-9.000000000000002,4.999999999999997,9,80.90436137071652,81.50552147239263,<=20d
425844,Zack Greinke,2023,shoulder,15,15.0,in_season_pre,7.488888888888888,5.5,9.5,6.3999999999999995,5.7,8,83.81467065868263,85.44097222222223,<=20d
425844,Zack Greinke,2023,elbow_other,15,14.0,in_season_pre,7.190909090909089,5.399999999999999,4.499999999999999,5.7,15.0,5,86.01414634146342,84.78035714285714,<=20d
434378,Justin Verlander,2023,strain_unspec,15,34.0,prior_season,19.410714285714285,24.099999999999998,10.799999999999999,16.0,2.733333333333332,26,,89.91857923497267,21-45d
434378,Justin Verlander,2024,shoulder,15,22.0,prior_season,13.877777777777778,14.299999999999997,13.199999999999998,6.633333333333332,16.099999999999998,16,,87.19479768786128,21-45d
434378,Justin Verlander,2024,unspecified,15,64.0,in_season_pre,11.609999999999998,3.5,-0.05000000000000071,-5.400000000000001,5.899999999999999,6,87.36138613861387,88.74473684210527,46-90d
434378,Justin Verlander,2025,unspecified,15,27.0,in_season_pre,8.86,9.5,11.149999999999999,5.399999999999999,5.699999999999998,18,88.8239837398374,88.29518072289157,21-45d
453286,Max Scherzer,2024,back,15,90.0,prior_season,13.881481481481478,11.599999999999998,11.249999999999998,12.166666666666666,8.866666666666665,8,,86.77388059701494,46-90d
453286,Max Scherzer,2025,unspecified,15,87.0,prior_season,10.444444444444445,16.5,10.35,12.166666666666666,16.13333333333333,15,,87.18192771084338,46-90d
456501,Johnny Cueto,2023,unspecified,15,97.0,prior_season,12.458333333333334,21.799999999999997,16.799999999999997,14.133333333333331,6.533333333333332,9,,90.06030534351144,>90d
456501,Johnny Cueto,2023,unspecified,60,102.0,prior_season,12.458333333333334,-2.9000000000000004,-0.8500000000000005,2.533333333333332,,3,,89.21329479768787,>90d
458681,Lance Lynn,2024,lower_body,15,42.0,in_season_pre,9.661904761904763,16.799999999999997,,,,1,91.17297297297296,90.13666666666668,21-45d
471911,Carlos Carrasco,2023,elbow_other,15,31.0,in_season_pre,0.6999999999999993,17.0,15.899999999999999,11.766666666666666,2.1666666666666656,16,,88.47,21-45d
471911,Carlos Carrasco,2024,unspecified,15,66.0,prior_season,3.3999999999999995,10.399999999999999,4.449999999999999,9.899999999999999,10.266666666666666,11,,87.49014084507043,46-90d
477132,Clayton Kershaw,2024,shoulder,60,143.0,prior_season,14.854166666666666,-0.9000000000000004,5.749999999999999,9.733333333333333,3.1999999999999993,6,,85.66774193548387,>90d
477132,Clayton Kershaw,2025,unspecified,15,61.0,prior_season,6.571428571428569,6.6,8.05,6.166666666666667,16.366666666666664,21,,84.43027522935779,46-90d
489119,Wade Miley,2023,lat,15,31.0,in_season_pre,9.812499999999998,19.799999999999997,12.999999999999998,9.166666666666666,15.6,14,85.93470149253731,87.99870129870129,21-45d
489119,Wade Miley,2023,elbow_other,15,16.0,in_season_pre,11.023076923076921,14.799999999999997,9.149999999999999,8.933333333333332,10.266666666666666,9,88.52734375,86.62333333333332,<=20d
489119,Wade Miley,2024,shoulder,15,13.0,prior_season,10.96086956521739,-3.1000000000000014,,,,1,,,<=20d
500779,Jose Quintana,2023,fracture,15,106.0,prior_season,11.615625,9.5,10.649999999999999,10.433333333333332,14.133333333333331,13,,86.32254335260116,>90d
500779,Jose Quintana,2025,shoulder,15,18.0,in_season_pre,12.366666666666665,10.5,3.3999999999999986,6.8666666666666645,10.366666666666665,17,86.49972067039107,86.61420765027322,<=20d
502171,Alex Cobb,2023,oblique,15,12.0,in_season_pre,12.185714285714283,20.799999999999997,18.799999999999997,9.633333333333331,13.066666666666663,13,90.61777777777776,90.49493670886076,<=20d
502171,Alex Cobb,2024,lower_body,15,134.0,prior_season,10.514285714285714,14.7,19.25,,,2,,90.16666666666669,>90d
502171,Alex Cobb,2024,lower_body,60,10.0,prior_season,10.514285714285714,14.7,19.25,,,2,,90.16666666666669,<=20d
502624,Chase Anderson,2023,shoulder,15,37.0,in_season_pre,4.224999999999999,-6.0,8.549999999999999,9.999999999999998,13.5,4,88.21111111111112,87.98918918918919,21-45d
506433,Yu Darvish,2024,unspecified,15,13.0,in_season_pre,9.42,17.5,22.299999999999997,24.566666666666663,0.4666666666666656,10,,87.61790123456791,<=20d
506433,Yu Darvish,2024,lower_body,15,95.0,in_season_pre,12.536363636363633,10.5,14.149999999999999,17.066666666666666,7.599999999999998,4,88.44281609195401,87.25238095238095,>90d
506433,Yu Darvish,2025,elbow_other,15,102.0,prior_season,12.34375,0.3999999999999986,2.9499999999999993,-2.0333333333333337,18.366666666666664,14,,86.78493150684932,>90d
518397,Scott Alexander,2023,lower_body,15,15.0,single_pre,4.3,-3.8000000000000003,1.3499999999999994,1.666666666666666,-1.8333333333333337,7,,89.25607476635514,<=20d
518489,Ryan Brasier,2024,lower_body,15,110.0,single_pre,3.3,2.3,3.3,2.6333333333333333,,3,,89.72935779816514,>90d
518585,Fernando Cruz,2023,unspecified,15,7.0,single_pre,7.399999999999999,6.5,,,,1,,87.78785714285713,<=20d
518876,Merrill Kelly,2023,back,15,28.0,in_season_pre,14.531249999999996,7.5,12.149999999999999,12.699999999999998,20.16666666666666,13,90.20785907859076,89.09186046511627,21-45d
