pitcher,year,split_day,ros_park_factor_weighted,n_ros_games
112526,2018,30,1.0223880597014925,134
282332,2018,30,0.9989705882352942,136
425794,2018,30,0.9920588235294117,136
425844,2018,30,1.0371323529411764,136
430935,2018,30,1.0223880597014925,134
433587,2018,30,0.9844117647058823,136
434378,2018,30,0.9796268656716419,134
434538,2018,30,1.0152554744525548,137
434628,2018,30,0.9968382352941176,136
434671,2018,30,0.9974999999999999,136
435221,2018,30,0.9974999999999999,136
446372,2018,30,1.0121897810218978,137
448179,2018,30,0.9840145985401461,137
448306,2018,30,0.9987591240875914,137
448802,2018,30,0.9974264705882353,136
448855,2018,30,1.0084444444444443,135
450203,2018,30,0.9796268656716419,134
450729,2018,30,1.0223880597014925,134
452657,2018,30,0.9875539568345324,139
453178,2018,30,0.9968382352941176,136
453286,2018,30,0.994,135
453385,2018,30,0.9841791044776119,134
453562,2018,30,0.9986029411764706,136
456034,2018,30,1.026470588235294,136
456501,2018,30,0.9857777777777776,135
456701,2018,30,1.0138518518518518,135
457918,2018,30,0.9974264705882353,136
458681,2018,30,1.0158571428571428,140
458708,2018,30,1.0121897810218978,137
461829,2018,30,0.994,135
462136,2018,30,0.9974264705882353,136
467100,2018,30,1.0016417910447761,134
468504,2018,30,1.0084444444444443,135
471911,2018,30,1.0121897810218978,137
475115,2018,30,0.9841791044776119,134
476451,2018,30,0.994,135
477132,2018,30,0.9840145985401461,137
488768,2018,30,1.0135555555555555,135
500779,2018,30,0.9875539568345324,139
501957,2018,30,1.0135555555555555,135
501985,2018,30,1.0223880597014925,134
502042,2018,30,0.9756204379562043,137
502043,2018,30,1.0158571428571428,140
502171,2018,30,1.0135555555555555,135
502188,2018,30,0.9857777777777776,135
502190,2018,30,0.9844117647058823,136
502239,2018,30,0.9862222222222221,135
502624,2018,30,1.0084444444444443,135
502706,2018,30,0.9857777777777776,135
506433,2018,30,0.9875539568345324,139
518452,2018,30,1.0698518518518518,135
518633,2018,30,0.9968382352941176,136
518774,2018,30,1.0138518518518518,135
519043,2018,30,1.0223880597014925,134
519141,2018,30,1.026470588235294,136
519144,2018,30,1.026470588235294,136
519242,2018,30,1.026470588235294,136
519455,2018,30,1.0152554744525548,137
527048,2018,30,1.0223880597014925,134
527054,2018,30,0.9974999999999999,136
541640,2018,30,0.9844117647058823,136
542881,2018,30,1.0698518518518518,135
543022,2018,30,0.9875539568345324,139
543037,2018,30,0.9796268656716419,134
543243,2018,30,0.9989705882352942,136
543294,2018,30,0.9875539568345324,139
543606,2018,30,1.0158571428571428,140
543699,2018,30,0.994,135
544931,2018,30,0.994,135
545333,2018,30,1.0121897810218978,137
547888,2018,30,0.9989705882352942,136
547943,2018,30,0.9840145985401461,137
552640,2018,30,0.9756204379562043,137
554430,2018,30,0.9789781021897811,137
570632,2018,30,0.9795555555555556,135
571510,2018,30,1.0152554744525548,137
571578,2018,30,1.0371323529411764,136
571666,2018,30,1.0152554744525548,137
571760,2018,30,0.9767407407407406,135
571863,2018,30,1.0371323529411764,136
571927,2018,30,0.9789781021897811,137
571945,2018,30,0.9920588235294117,136
571951,2018,30,0.9841791044776119,134
572020,2018,30,0.9844117647058823,136
572070,2018,30,0.9767407407407406,135
572140,2018,30,0.9767407407407406,135
572971,2018,30,0.9796268656716419,134
573186,2018,30,0.9974264705882353,136
584171,2018,30,1.026470588235294,136
592314,2018,30,0.9974999999999999,136
592332,2018,30,1.0135555555555555,135
592351,2018,30,1.0698518518518518,135
592662,2018,30,1.0371323529411764,136
592717,2018,30,0.9974264705882353,136
592761,2018,30,0.9795555555555556,135
592789,2018,30,0.9789781021897811,137
592791,2018,30,1.0016417910447761,134
592811,2018,30,0.9862222222222221,135
592826,2018,30,0.9986029411764706,136
592866,2018,30,1.0016417910447761,134
593372,2018,30,0.9920588235294117,136
593958,2018,30,1.026470588235294,136
594798,2018,30,0.9789781021897811,137
594835,2018,30,0.9844117647058823,136
596001,2018,30,0.9968382352941176,136
596043,2018,30,0.9862222222222221,135
596057,2018,30,1.0152554744525548,137
596133,2018,30,0.9920588235294117,136
601713,2018,30,0.9986029411764706,136
605164,2018,30,1.0135555555555555,135
605182,2018,30,1.0121897810218978,137
605200,2018,30,1.0084444444444443,135
605232,2018,30,1.0138518518518518,135
605242,2018,30,1.0152554744525548,137
605254,2018,30,0.9862222222222221,135
605400,2018,30,0.9986029411764706,136
605483,2018,30,0.9756204379562043,137
605538,2018,30,0.9974999999999999,136
606131,2018,30,0.9841791044776119,134
606424,2018,30,0.9795555555555556,135
607188,2018,30,0.9756204379562043,137
607215,2018,30,0.9968382352941176,136
607219,2018,30,1.0138518518518518,135
607374,2018,30,0.9767407407407406,135
607536,2018,30,1.0698518518518518,135
608334,2018,30,0.9987591240875914,137
608337,2018,30,0.9987591240875914,137
608379,2018,30,0.9920588235294117,136
608566,2018,30,1.0698518518518518,135
608665,2018,30,0.9862222222222221,135
608717,2018,30,0.9857777777777776,135
608718,2018,30,1.0084444444444443,135
621111,2018,30,0.9840145985401461,137
621121,2018,30,0.9796268656716419,134
621244,2018,30,1.0158571428571428,140
621389,2018,30,0.9857777777777776,135
622072,2018,30,0.9840145985401461,137
622491,2018,30,1.0138518518518518,135
622663,2018,30,0.9989705882352942,136
625643,2018,30,0.9987591240875914,137
628317,2018,30,0.9840145985401461,137
630023,2018,30,0.9756204379562043,137
640455,2018,30,0.9862222222222221,135
641771,2018,30,1.0016417910447761,134
641816,2018,30,1.0138518518518518,135
642545,2018,30,0.9767407407407406,135
643327,2018,30,1.0371323529411764,136
656427,2018,30,0.9920588235294117,136
656756,2018,30,0.9989705882352942,136
656794,2018,30,0.9974999999999999,136
660271,2018,30,0.9767407407407406,135
664192,2018,30,0.9841791044776119,134
670950,2018,30,0.9795555555555556,135
112526,2018,37,1.0217322834645668,127
282332,2018,37,1.0005426356589147,129
425794,2018,37,0.9923664122137404,131
425844,2018,37,1.0359689922480622,129
430935,2018,37,1.0217322834645668,127
433587,2018,37,0.9846923076923076,130
434378,2018,37,0.9789763779527559,127
434538,2018,37,1.0153846153846153,130
434628,2018,37,0.9958139534883722,129
434671,2018,37,0.9983846153846153,130
435221,2018,37,0.9983846153846153,130
446372,2018,37,1.012015503875969,129
448179,2018,37,0.9817692307692307,130
448306,2018,37,0.9993129770992366,131
448802,2018,37,0.99703125,128
448855,2018,37,1.008139534883721,129
450203,2018,37,0.9789763779527559,127
450306,2018,37,0.9801526717557252,131
450729,2018,37,1.0217322834645668,127
452657,2018,37,0.9878947368421052,133
453178,2018,37,0.9958139534883722,129
453286,2018,37,0.99421875,128
453385,2018,37,0.985078125,128
453562,2018,37,0.9996153846153846,130
456034,2018,37,1.0249612403100774,129
456501,2018,37,0.9862015503875969,129
456701,2018,37,1.0131007751937984,129
457918,2018,37,0.99703125,128
458681,2018,37,1.016015037593985,133
458708,2018,37,1.012015503875969,129
461829,2018,37,0.99421875,128
462136,2018,37,0.99703125,128
467100,2018,37,1.0018897637795274,127
