pitcher,year,split_day,fps_pct_to_sd,putaway_pct_to_sd,fp_n_to,twok_n_to
448179,2018,30,0.5303030303030303,0.42857142857142855,66.0,35.0
448179,2018,60,0.5603448275862069,0.42105263157894735,116.0,57.0
448179,2018,90,0.5828220858895705,0.4117647058823529,163.0,85.0
448179,2018,120,0.6406779661016949,0.4523809523809524,295.0,168.0
448855,2018,30,0.625,0.425531914893617,88.0,47.0
448855,2018,60,0.58,0.42574257425742573,200.0,101.0
448855,2018,90,0.6214511041009464,0.4451219512195122,317.0,164.0
448855,2018,120,0.621867881548975,0.44,439.0,225.0
450203,2022,30,0.6228070175438597,0.32075471698113206,114.0,53.0
450203,2022,60,0.6056910569105691,0.39849624060150374,246.0,133.0
450203,2022,90,0.5741239892183289,0.4784688995215311,371.0,209.0
450203,2022,120,0.565922920892495,0.4634146341463415,493.0,287.0
458681,2023,30,0.7364864864864865,0.5060240963855421,148.0,83.0
458681,2023,60,0.6892857142857143,0.47368421052631576,280.0,152.0
458681,2023,90,0.6732673267326733,0.48,404.0,225.0
458681,2023,120,0.6635514018691588,0.4750830564784053,535.0,301.0
501381,2022,30,0.5614035087719298,,57.0,29.0
501381,2022,60,0.6022727272727273,0.2608695652173913,88.0,46.0
501381,2022,90,0.6076923076923076,0.2786885245901639,130.0,61.0
501381,2022,120,0.6132596685082873,0.2804878048780488,181.0,82.0
502179,2022,90,0.628140703517588,0.34951456310679613,199.0,103.0
502179,2022,120,0.5925925925925926,0.3469387755102041,297.0,147.0
502239,2018,30,,,46.0,27.0
502239,2018,60,0.5654761904761905,0.4659090909090909,168.0,88.0
502239,2018,90,0.5736842105263158,0.46534653465346537,190.0,101.0
502239,2018,120,0.5691699604743083,0.44696969696969696,253.0,132.0
506433,2019,30,0.5060240963855421,0.4186046511627907,83.0,43.0
506433,2019,60,0.53125,0.5045871559633027,192.0,109.0
506433,2019,90,0.5797101449275363,0.4739583333333333,345.0,192.0
506433,2019,120,0.5995670995670995,0.49606299212598426,462.0,254.0
518876,2024,30,0.6129032258064516,0.4375,93.0,48.0
518876,2024,60,0.6129032258064516,0.4375,93.0,48.0
518876,2024,90,0.6129032258064516,0.4375,93.0,48.0
518876,2024,120,0.6129032258064516,0.4375,93.0,48.0
519141,2019,30,0.49411764705882355,0.4791666666666667,85.0,48.0
519141,2019,60,0.56875,0.3804347826086957,160.0,92.0
519141,2019,90,0.5450643776824035,0.40441176470588236,233.0,136.0
519141,2019,120,0.5529411764705883,0.42424242424242425,340.0,198.0
519144,2018,30,0.6875,0.463768115942029,128.0,69.0
519144,2018,60,0.6512455516014235,0.43333333333333335,281.0,150.0
519144,2018,90,0.6704288939051919,0.42857142857142855,443.0,231.0
519144,2018,120,0.6654343807763401,0.4384057971014493,541.0,276.0
542881,2021,30,0.6454545454545455,0.37142857142857144,110.0,70.0
542881,2021,60,0.6398305084745762,0.41353383458646614,236.0,133.0
542881,2021,90,0.6601671309192201,0.36923076923076925,359.0,195.0
542881,2021,120,0.6728538283062645,0.38565022421524664,431.0,223.0
543135,2019,30,0.6344086021505376,0.32,93.0,50.0
543135,2019,60,0.6344086021505376,0.32,93.0,50.0
543135,2019,90,0.6344086021505376,0.32,93.0,50.0
543135,2019,120,0.6344086021505376,0.32,93.0,50.0
543208,2018,60,0.703125,0.5142857142857142,64.0,35.0
543208,2018,90,0.6936416184971098,0.45454545454545453,173.0,88.0
543208,2018,120,0.6743421052631579,0.4166666666666667,304.0,156.0
544931,2018,30,0.59375,0.5308641975308642,160.0,81.0
544931,2018,60,0.6116838487972509,0.5222929936305732,291.0,157.0
544931,2018,90,0.6200607902735562,0.5251396648044693,329.0,179.0
