batter,year,split_day,ros_park_factor_weighted,n_ros_games
134181,2018,30,1.0223880597014925,134
400085,2018,30,0.9844117647058823,136
400121,2018,30,1.0152554744525548,137
400284,2018,30,0.9840145985401461,137
405395,2018,30,0.9767407407407406,135
407822,2018,30,1.0371323529411764,136
408045,2018,30,1.0158571428571428,140
408234,2018,30,1.0152554744525548,137
408236,2018,30,0.9789781021897811,137
408314,2018,30,0.9789781021897811,137
425772,2018,30,1.0371323529411764,136
425783,2018,30,1.0223880597014925,134
425784,2018,30,0.9767407407407406,135
425794,2018,30,0.9920588235294117,136
425844,2018,30,1.0371323529411764,136
425877,2018,30,0.9920588235294117,136
429664,2018,30,0.9844117647058823,136
429665,2018,30,1.0121897810218978,137
430945,2018,30,1.0135555555555555,135
431145,2018,30,0.9974264705882353,136
433587,2018,30,0.9844117647058823,136
434158,2018,30,0.9974264705882353,136
434658,2018,30,1.0121897810218978,137
434670,2018,30,1.026470588235294,136
434671,2018,30,0.9974999999999999,136
434778,2018,30,0.9974264705882353,136
435062,2018,30,0.994,135
435079,2018,30,0.9767407407407406,135
435221,2018,30,0.9974999999999999,136
435263,2018,30,0.9796268656716419,134
435522,2018,30,0.9989705882352942,136
435559,2018,30,0.9974999999999999,136
435622,2018,30,1.0698518518518518,135
443558,2018,30,0.9844117647058823,136
444482,2018,30,1.0371323529411764,136
444489,2018,30,1.0084444444444443,135
444876,2018,30,0.9968382352941176,136
445055,2018,30,1.0371323529411764,136
445988,2018,30,0.9795555555555556,135
446263,2018,30,0.9968382352941176,136
446308,2018,30,0.994,135
446334,2018,30,0.9857777777777776,135
446359,2018,30,0.9767407407407406,135
446386,2018,30,1.0121897810218978,137
446481,2018,30,1.0016417910447761,134
446653,2018,30,0.9789781021897811,137
448179,2018,30,0.9840145985401461,137
448801,2018,30,1.0135555555555555,135
448855,2018,30,1.0084444444444443,135
449181,2018,30,0.9968382352941176,136
450306,2018,30,0.9789781021897811,137
450314,2018,30,0.9875539568345324,139
451594,2018,30,0.9920588235294117,136
452095,2018,30,0.9974999999999999,136
452104,2018,30,0.9841791044776119,134
452254,2018,30,0.9857777777777776,135
452655,2018,30,0.9844117647058823,136
452657,2018,30,0.9875539568345324,139
452678,2018,30,0.9789781021897811,137
453203,2018,30,0.9989705882352942,136
453286,2018,30,0.994,135
453385,2018,30,0.9841791044776119,134
453562,2018,30,0.9986029411764706,136
453568,2018,30,1.0698518518518518,135
453923,2018,30,0.9857777777777776,135
453943,2018,30,0.9789781021897811,137
454560,2018,30,0.9841791044776119,134
455104,2018,30,1.0698518518518518,135
455117,2018,30,0.9767407407407406,135
455139,2018,30,1.0223880597014925,134
455755,2018,30,0.9974999999999999,136
455759,2018,30,0.9767407407407406,135
455976,2018,30,0.9974999999999999,136
456078,2018,30,0.9987591240875914,137
456488,2018,30,1.026470588235294,136
456501,2018,30,0.9857777777777776,135
456665,2018,30,1.026470588235294,136
456701,2018,30,1.0138518518518518,135
456715,2018,30,1.0084444444444443,135
457705,2018,30,0.9857777777777776,135
457706,2018,30,0.9789781021897811,137
457708,2018,30,0.9767407407407406,135
457727,2018,30,0.9795555555555556,135
457763,2018,30,0.9857777777777776,135
457803,2018,30,0.9789781021897811,137
458015,2018,30,1.0138518518518518,135
458675,2018,30,1.0135555555555555,135
458681,2018,30,0.9989705882352942,136
458731,2018,30,0.9989705882352942,136
459964,2018,30,0.9862222222222221,135
460026,2018,30,0.9857777777777776,135
460075,2018,30,1.0084444444444443,135
460077,2018,30,0.9968382352941176,136
460086,2018,30,0.9968382352941176,136
460576,2018,30,0.9756204379562043,137
461314,2018,30,0.9840145985401461,137
461829,2018,30,0.994,135
461865,2018,30,0.9844117647058823,136
462101,2018,30,1.0223880597014925,134
465041,2018,30,1.0016417910447761,134
465753,2018,30,0.9986029411764706,136
467055,2018,30,0.9857777777777776,135
467092,2018,30,0.9756204379562043,137
467100,2018,30,1.0016417910447761,134
467793,2018,30,0.9986029411764706,136
467827,2018,30,1.0698518518518518,135
468504,2018,30,1.0084444444444443,135
471865,2018,30,1.0698518518518518,135
472528,2018,30,0.9767407407407406,135
474568,2018,30,1.0016417910447761,134
474832,2018,30,0.9857777777777776,135
475115,2018,30,0.9841791044776119,134
475174,2018,30,1.0121897810218978,137
475247,2018,30,0.9974999999999999,136
475253,2018,30,0.9974264705882353,136
475582,2018,30,0.994,135
476451,2018,30,0.994,135
476704,2018,30,0.9862222222222221,135
476883,2018,30,1.0135555555555555,135
477132,2018,30,0.9840145985401461,137
488671,2018,30,1.0371323529411764,136
488721,2018,30,0.9974999999999999,136
488726,2018,30,1.0121897810218978,137
488771,2018,30,1.0158571428571428,140
489149,2018,30,1.0158571428571428,140
491676,2018,30,0.9857777777777776,135
491696,2018,30,0.9756204379562043,137
493316,2018,30,0.9789781021897811,137
493329,2018,30,0.9796268656716419,134
500208,2018,30,0.9974264705882353,136
500743,2018,30,0.9795555555555556,135
500779,2018,30,0.9875539568345324,139
500871,2018,30,1.0158571428571428,140
500874,2018,30,0.9920588235294117,136
501213,2018,30,0.994,135
501303,2018,30,1.0158571428571428,140
501571,2018,30,0.9789781021897811,137
501659,2018,30,0.9968382352941176,136
501896,2018,30,1.0016417910447761,134
501981,2018,30,0.9862222222222221,135
502054,2018,30,0.9920588235294117,136
502082,2018,30,1.0121897810218978,137
502110,2018,30,1.026470588235294,136
502143,2018,30,1.0135555555555555,135
502188,2018,30,0.9857777777777776,135
502210,2018,30,0.9796268656716419,134
502226,2018,30,1.0135555555555555,135
502481,2018,30,1.0371323529411764,136
502624,2018,30,1.0084444444444443,135
502671,2018,30,1.0371323529411764,136
502706,2018,30,0.9857777777777776,135
503556,2018,30,0.9796268656716419,134
506433,2018,30,0.9875539568345324,139
506702,2018,30,1.026470588235294,136
506703,2018,30,0.994,135
506747,2018,30,0.9920588235294117,136
514888,2018,30,0.9796268656716419,134
514917,2018,30,0.9986029411764706,136
516416,2018,30,0.9844117647058823,136
516770,2018,30,0.9795555555555556,135
516782,2018,30,1.0016417910447761,134
517369,2018,30,0.9841791044776119,134
518397,2018,30,0.9840145985401461,137
518452,2018,30,1.0698518518518518,135
518542,2018,30,1.0223880597014925,134
518553,2018,30,0.9875539568345324,139
518586,2018,30,0.9974999999999999,136
518614,2018,30,1.0371323529411764,136
518618,2018,30,0.9795555555555556,135
518626,2018,30,0.9974264705882353,136
518692,2018,30,0.9974999999999999,136
518735,2018,30,0.9840145985401461,137
518774,2018,30,1.0138518518518518,135
518792,2018,30,0.9875539568345324,139
518934,2018,30,1.0698518518518518,135
518960,2018,30,0.9862222222222221,135
519008,2018,30,1.0371323529411764,136
519023,2018,30,0.9789781021897811,137
519048,2018,30,1.026470588235294,136
519058,2018,30,0.9968382352941176,136
519203,2018,30,0.9875539568345324,139
519222,2018,30,0.9989705882352942,136
519295,2018,30,0.9862222222222221,135
519299,2018,30,1.0084444444444443,135
519317,2018,30,0.9989705882352942,136
519333,2018,30,0.9841791044776119,134
519346,2018,30,1.0084444444444443,135
