pitcher,year,primary_catcher,primary_catcher_pitches,total_pitches,primary_catcher_share
474463,2017,471083,370,900,0.4111111111111111
474699,2017,592663,751,1258,0.5969793322734499
475054,2017,467092,71,164,0.4329268292682927
475115,2017,455139,472,968,0.48760330578512395
475243,2017,595978,886,1711,0.5178258328462887
475479,2017,592663,654,983,0.6653102746693794
476123,2017,519083,26,26,1.0
476451,2017,595284,903,2626,0.34386900228484385
476454,2017,596142,619,1106,0.5596745027124774
476589,2017,596142,544,947,0.5744456177402323
477132,2017,518735,2020,2521,0.8012693375644585
477569,2017,518595,436,1056,0.4128787878787879
487675,2017,518735,98,147,0.6666666666666666
488748,2017,595978,433,1102,0.3929219600725953
488768,2017,518960,1388,2636,0.5265553869499241
488846,2017,575929,591,1036,0.5704633204633205
488984,2017,491696,393,872,0.4506880733944954
489119,2017,456078,1800,3056,0.5890052356020943
489265,2017,518735,363,919,0.39499455930359084
489294,2017,518960,74,92,0.8043478260869565
489334,2017,595978,872,1297,0.6723207401696222
489446,2017,595978,577,973,0.593011305241521
490063,2017,444489,1162,1925,0.6036363636363636
491624,2017,431145,175,501,0.34930139720558884
491646,2017,519237,260,368,0.7065217391304348
491696,2017,467092,31,31,1.0
491703,2017,542908,292,853,0.34232121922626024
492841,2017,543228,12,12,1.0
493114,2017,435263,20,20,1.0
493157,2017,575929,565,685,0.8248175182481752
493200,2017,425877,787,1064,0.7396616541353384
493247,2017,521692,652,911,0.7156970362239298
493603,2017,547172,465,1057,0.4399243140964995
500610,2017,455117,287,424,0.6768867924528302
500724,2017,455117,1849,2307,0.8014737754659731
500765,2017,435263,196,268,0.7313432835820896
500779,2017,553882,819,3189,0.2568203198494826
500872,2017,607345,542,954,0.5681341719077568
501381,2017,596142,1031,1553,0.6638763683193818
501563,2017,622194,374,595,0.6285714285714286
501593,2017,518735,585,841,0.6956004756242569
501625,2017,455117,669,780,0.8576923076923076
501697,2017,465041,297,982,0.3024439918533605
501789,2017,435263,287,670,0.42835820895522386
501817,2017,455139,490,1051,0.46622264509990485
501822,2017,518735,393,1017,0.3864306784660767
501925,2017,431145,289,805,0.3590062111801242
501957,2017,456078,990,1795,0.5515320334261838
501985,2017,521692,883,1202,0.7346089850249584
501992,2017,521692,552,752,0.7340425531914894
502004,2017,457763,498,1027,0.48490749756572543
502009,2017,431145,263,263,1.0
502011,2017,518960,34,34,1.0
502026,2017,518960,382,1160,0.3293103448275862
502028,2017,571466,556,1291,0.43067389620449265
502032,2017,455117,708,1115,0.6349775784753363
502042,2017,519083,1591,3406,0.4671168526130358
502043,2017,488771,1492,2610,0.571647509578544
502046,2017,592663,493,581,0.8485370051635112
502051,2017,518735,248,282,0.8794326241134752
502083,2017,543228,697,975,0.7148717948717949
502085,2017,596142,415,1050,0.3952380952380952
502130,2017,553869,57,81,0.7037037037037037
502154,2017,456078,336,591,0.5685279187817259
502171,2017,491696,1242,2857,0.43472173608680437
502179,2017,542908,152,438,0.3470319634703196
502188,2017,457763,1956,3277,0.5968873970094599
502190,2017,425877,1936,2791,0.6936581870297385
502202,2017,467092,307,512,0.599609375
502211,2017,431145,337,756,0.44576719576719576
502212,2017,518960,738,1171,0.6302305721605466
502239,2017,595978,771,1527,0.5049115913555993
502272,2017,595284,109,216,0.5046296296296297
502273,2017,434563,22,22,1.0
502327,2017,488771,985,1236,0.7969255663430421
502381,2017,435263,584,983,0.5940996948118006
502593,2017,607345,288,481,0.5987525987525988
502624,2017,542908,1435,2255,0.6363636363636364
502706,2017,553882,1365,2468,0.5530794165316045
502748,2017,435263,1252,2248,0.5569395017793595
503285,2017,456078,491,1019,0.4818449460255152
503449,2017,444489,647,1129,0.5730735163861824
503566,2017,518735,30,30,1.0
504379,2017,465041,533,1235,0.43157894736842106
506433,2017,455139,1138,3058,0.3721386527141923
506693,2017,519237,178,265,0.6716981132075471
514981,2017,519083,75,106,0.7075471698113207
516714,2017,518960,233,321,0.7258566978193146
516969,2017,521692,578,1002,0.5768463073852296
517008,2017,519083,355,1019,0.34838076545632973
517414,2017,425772,530,1050,0.5047619047619047
517593,2017,543228,1364,1814,0.7519294377067255
518397,2017,521692,713,1059,0.6732766761095373
518445,2017,543510,774,1199,0.6455379482902419
518452,2017,518960,613,736,0.8328804347826086
518468,2017,444489,86,147,0.5850340136054422
518516,2017,457763,1455,1678,0.8671036948748511
518553,2017,467092,282,733,0.38472032742155526
518566,2017,607257,41,41,1.0
518567,2017,452095,178,335,0.5313432835820896
518614,2017,425772,14,26,0.5384615384615384
518617,2017,455139,154,192,0.8020833333333334
518633,2017,521692,1332,2277,0.5849802371541502
518693,2017,435559,487,957,0.5088819226750261
518715,2017,457763,626,1085,0.5769585253456221
518716,2017,488771,394,801,0.4918851435705368
518748,2017,575929,522,964,0.5414937759336099
518774,2017,518595,1035,1692,0.6117021276595744
518790,2017,488912,72,138,0.5217391304347826
518813,2017,547172,395,887,0.44532130777903045
518858,2017,553882,97,207,0.46859903381642515
518875,2017,446308,439,517,0.8491295938104448
518886,2017,543877,679,1148,0.5914634146341463
518927,2017,596142,138,245,0.563265306122449
519008,2017,455104,480,848,0.5660377358490566
519043,2017,457763,1681,2885,0.5826689774696707
519048,2017,506702,14,14,1.0
519076,2017,444489,2192,2756,0.795355587808418
519096,2017,543228,437,865,0.5052023121387283
519141,2017,543877,3001,3080,0.9743506493506493
519144,2017,506702,2722,3384,0.8043735224586288
519151,2017,488771,445,904,0.4922566371681416
519166,2017,518595,247,641,0.38533541341653665
519240,2017,572287,314,519,0.605009633911368
519242,2017,506702,3327,3428,0.970536756126021
519263,2017,465041,212,504,0.42063492063492064
519267,2017,572287,131,131,1.0
519294,2017,518595,633,1085,0.5834101382488479
519301,2017,446308,188,439,0.428246013667426
519322,2017,571466,638,924,0.6904761904761905
519326,2017,457763,601,997,0.6028084252758275
519344,2017,607257,248,304,0.8157894736842105
519443,2017,543877,355,612,0.5800653594771242
519455,2017,543510,1451,2652,0.547134238310709
520980,2017,518735,942,1180,0.7983050847457627
521230,2017,622194,448,1164,0.3848797250859107
521655,2017,605131,91,91,1.0
523260,2017,543877,549,1026,0.5350877192982456
523989,2017,425772,63,126,0.5
