batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
134181,2017,2017-08-21,140,4,4,2,0,1,1,4,1,4,0,0,7
134181,2017,2017-08-22,140,4,2,1,2,0,0,0,0,0,0,0,1
134181,2017,2017-08-23,140,5,5,0,0,3,2,9,2,2,0,0,13
134181,2017,2017-08-24,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2017,2017-08-25,140,4,4,2,0,1,0,1,0,1,0,0,0
134181,2017,2017-08-26,140,4,4,0,0,1,0,2,0,3,0,0,5
134181,2017,2017-08-27,140,4,4,1,0,2,0,4,1,0,0,0,4
134181,2017,2017-08-29,140,5,5,0,0,3,0,3,0,3,0,0,6
134181,2017,2017-08-30,140,5,2,0,3,1,0,1,1,0,0,0,5
134181,2017,2017-08-31,140,3,2,0,1,0,0,0,0,0,0,0,1
134181,2017,2017-09-13,140,1,1,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-09-14,140,3,3,0,0,1,0,1,0,0,0,0,1
134181,2017,2017-09-15,140,4,3,2,0,0,0,0,0,1,0,0,-1
134181,2017,2017-09-16,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-09-17,140,4,4,0,0,2,0,3,0,2,0,0,5
134181,2017,2017-09-19,140,4,4,1,0,2,0,2,1,0,0,0,2
134181,2017,2017-09-20,140,5,4,1,1,1,0,1,1,0,0,0,2
134181,2017,2017-09-21,140,4,4,1,0,2,1,5,1,1,0,0,6
134181,2017,2017-09-22,140,4,3,0,1,1,0,2,0,0,0,0,3
134181,2017,2017-09-23,140,4,4,1,0,1,0,1,0,0,0,0,0
134181,2017,2017-09-24,140,3,3,0,0,0,0,0,0,0,0,0,0
134181,2017,2017-09-25,140,4,4,0,0,2,0,2,0,1,0,0,3
134181,2017,2017-09-26,140,2,2,1,0,0,0,0,0,0,0,0,-1
134181,2017,2017-10-01,140,2,2,1,0,1,0,1,0,0,0,0,0
134181,2018,2018-03-29,140,4,4,0,0,2,0,2,0,0,0,0,2
134181,2018,2018-03-30,140,4,4,1,0,1,0,2,1,0,0,0,2
134181,2018,2018-03-31,140,3,3,1,0,1,0,2,0,1,0,0,2
134181,2018,2018-04-01,140,4,3,0,1,0,0,0,0,0,0,0,1
134181,2018,2018-04-02,140,4,4,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-04-03,140,4,4,0,0,1,0,1,1,0,0,0,2
134181,2018,2018-04-04,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-04-05,140,4,3,0,1,2,0,3,1,0,0,0,5
134181,2018,2018-04-06,140,4,4,0,0,3,0,4,0,1,0,0,5
134181,2018,2018-04-08,140,5,5,2,0,1,0,2,1,0,0,0,1
134181,2018,2018-04-09,140,5,4,2,1,1,0,1,1,0,0,0,1
134181,2018,2018-04-10,140,4,4,1,0,2,0,2,0,0,0,0,1
134181,2018,2018-04-11,140,5,3,1,2,1,0,1,0,0,0,0,2
134181,2018,2018-04-13,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-04-14,140,5,4,0,1,2,1,5,1,1,0,0,8
134181,2018,2018-04-15,140,4,3,0,1,0,0,0,0,0,0,0,1
134181,2018,2018-04-16,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2018,2018-04-17,140,5,3,0,0,1,0,1,0,2,0,0,3
134181,2018,2018-04-18,140,4,3,0,1,2,0,2,1,0,0,0,4
134181,2018,2018-04-20,140,4,3,0,0,0,0,0,0,0,0,1,1
134181,2018,2018-04-21,140,5,4,1,0,1,0,1,0,1,0,0,1
134181,2018,2018-04-22,140,4,3,0,1,2,0,4,3,0,0,0,8
134181,2018,2018-04-23,140,4,4,1,0,1,0,2,1,0,0,0,2
134181,2018,2018-04-24,140,4,3,0,0,2,0,2,0,2,0,0,4
134181,2018,2018-05-08,140,4,4,0,0,3,0,3,0,2,0,0,5
134181,2018,2018-05-09,140,4,2,0,1,1,0,1,0,2,0,0,4
134181,2018,2018-05-11,140,4,3,2,1,0,0,0,0,0,0,0,-1
134181,2018,2018-05-12,140,4,4,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-05-13,140,3,2,0,1,1,0,1,0,0,0,0,2
134181,2018,2018-05-31,140,4,4,1,0,2,0,2,0,0,0,0,1
134181,2018,2018-06-02,140,4,3,1,0,0,0,0,0,1,0,0,0
134181,2018,2018-06-03,140,4,3,0,1,0,0,0,0,0,0,0,1
134181,2018,2018-06-05,140,4,4,1,0,1,1,4,1,1,0,0,5
134181,2018,2018-06-07,140,4,4,1,0,1,0,1,0,1,0,0,1
134181,2018,2018-06-08,140,4,4,4,0,0,0,0,0,0,0,0,-4
134181,2018,2018-06-09,140,1,1,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-06-10,140,5,4,1,1,3,0,3,0,1,0,0,4
134181,2018,2018-06-12,140,3,3,0,0,2,0,2,0,1,0,0,3
134181,2018,2018-06-13,140,5,4,0,1,3,0,4,1,0,0,0,6
134181,2018,2018-06-15,140,4,3,0,0,2,0,2,1,0,0,1,4
134181,2018,2018-06-16,140,4,4,1,0,1,0,3,0,2,0,0,4
134181,2018,2018-06-17,140,1,1,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-06-18,140,5,5,3,0,1,1,4,1,3,0,0,5
134181,2018,2018-06-19,140,5,5,0,0,0,0,0,1,0,0,0,1
134181,2018,2018-06-20,140,5,5,2,0,0,0,0,0,0,0,0,-2
134181,2018,2018-06-22,140,5,5,0,0,2,0,3,0,2,0,0,5
134181,2018,2018-06-23,140,5,5,1,0,3,1,6,2,1,0,0,8
134181,2018,2018-06-24,140,4,3,2,1,1,0,1,0,0,0,0,0
134181,2018,2018-06-25,140,5,3,1,2,0,0,0,0,0,0,0,1
134181,2018,2018-06-26,140,4,3,2,1,1,0,1,0,0,0,0,0
134181,2018,2018-06-27,140,5,4,2,0,2,0,3,1,1,0,1,4
134181,2018,2018-06-29,140,4,4,0,0,0,0,0,0,0,0,0,0
134181,2018,2018-06-30,140,5,4,1,1,2,0,2,1,0,0,0,3
134181,2018,2018-07-01,140,1,1,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-07-03,140,4,3,1,1,1,0,1,0,0,0,0,1
134181,2018,2018-07-05,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-07-06,140,4,4,1,0,0,0,0,0,0,0,0,-1
134181,2018,2018-07-07,140,4,4,0,0,1,0,1,0,0,0,0,1
134181,2018,2018-07-08,140,4,4,2,0,1,0,1,0,0,0,0,-1
134181,2018,2018-07-09,140,4,4,1,0,1,0,1,0,0,0,0,0
