bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
abreubr01,2024,Bryan Abreu,HOU,78.1,78,28,8,71.0
adamja01,2024,Jason Adam,TOT,73.2,74,18,7,61.0
adamsau02,2024,Austin Adams,OAK,41.1,56,32,10,69.0
adcocty01,2024,Ty Adcock,NYM,4.1,3,3,0,100.0
adonjo01,2024,Joan Adon,WSN,10.2,8,4,1,75.0
akinke01,2024,Keegan Akin*,BAL,78.2,66,37,13,65.0
alcaljo01,2024,Jorge Alcala,MIN,58.1,54,25,7,72.0
alexasc02,2024,Scott Alexander*,OAK,38.2,45,25,8,68.0
alexaty01,2024,Tyler Alexander*,TBR,107.2,23,7,0,100.0
allarko01,2024,Kolby Allard*,PHI,27.0,7,2,0,100.0
allenlo01,2024,Logan Allen*,ARI,28.0,12,6,4,33.0
almonye01,2024,Yency Almonte,CHC,15.2,17,6,1,83.0
altavda01,2024,Dan Altavilla,KCR,3.2,5,3,0,100.0
alvared01,2024,Eddy Alvarez,NYM,1.0,1,0,0,
alvarjo03,2024,José Alvarado*,PHI,61.2,66,8,0,100.0
alzolad01,2024,Adbert Alzolay,CHC,17.1,18,6,1,83.0
anderch01,2024,Chase Anderson,TOT,58.1,29,7,5,29.0
andergr01,2024,Grant Anderson,TEX,26.2,23,27,8,70.0
anderju01,2024,Justin Anderson,CHW,53.1,56,36,11,69.0
anderni01,2024,Nick Anderson,KCR,35.2,37,6,2,67.0
andersh01,2024,Shaun Anderson,TOT,16.1,6,6,0,100.0
andrecl02,2024,Clayton Andrews*,NYY,0.1,1,0,0,
andrima01,2024,Matt Andriese,MIA,6.0,4,0,0,
antonte01,2024,Tejay Antone,CIN,2.0,4,0,0,
armstsh01,2024,Shawn Armstrong,TOT,66.2,57,17,4,76.0
arrigsp01,2024,Spencer Arrighetti,HOU,145.0,29,0,0,
ashbyaa01,2024,Aaron Ashby*,MIL,28.1,14,6,1,83.0
avilani01,2024,Nick Avila,SFG,11.2,8,3,3,0.0
avilape01,2024,Pedro Avila,TOT,82.2,54,36,10,72.0
bachala01,2024,Lake Bachar,MIA,9.1,10,4,1,75.0
bakerbr01,2024,Bryan Baker,BAL,23.1,19,8,3,62.0
bandaan01,2024,Anthony Banda*,LAD,49.2,48,27,6,78.0
banksta01,2024,Tanner Banks*,TOT,72.1,63,37,11,70.0
barlosc01,2024,Scott Barlow,CLE,55.0,63,19,9,53.0
barneja01,2024,Jacob Barnes,WSN,66.0,63,28,9,68.0
barnema01,2024,Matt Barnes,WSN,13.1,14,1,1,0.0
barnhtu01,2024,Tucker Barnhart,ARI,1.0,1,0,0,
bassobr01,2024,Brady Basso*,OAK,22.1,7,1,0,100.0
bauerja01,2024,Jake Bauers*,MIL,4.0,4,0,0,
baumami01,2024,Mike Baumann,TOT,58.1,57,28,14,50.0
bazared01,2024,Eduard Bazardo,SEA,27.2,23,6,1,83.0
becktr01,2024,Tristan Beck,SFG,16.0,7,3,2,33.0
bednada01,2024,David Bednar,PIT,57.2,62,5,1,80.0
beedety01,2024,Tyler Beede,CLE,14.0,13,2,1,50.0
beeksja02,2024,Jalen Beeks*,TOT,70.0,71,42,17,60.0
beetecl01,2024,Clayton Beeter,NYY,3.2,3,1,1,0.0
bendean01,2024,Anthony Bender,MIA,53.0,59,23,6,74.0
bermujo01,2024,Jonathan Bermúdez*,MIA,6.2,3,1,0,100.0
bernabr01,2024,Brennan Bernardino*,BOS,51.0,57,39,10,74.0
berropr01,2024,Prelander Berroa,CHW,19.0,17,4,1,75.0
bickfph01,2024,Phil Bickford,NYY,8.1,8,2,1,50.0
bidoos01,2024,Osvaldo Bido,OAK,63.1,16,4,1,75.0
bielabr01,2024,Brandon Bielak,TOT,29.2,16,7,5,29.0
biggehu01,2024,Hunter Bigge,TOT,17.1,19,7,0,100.0
birdja01,2024,Jake Bird,COL,40.0,35,19,9,53.0
bivensp01,2024,Spencer Bivens,SFG,48.2,27,7,3,57.0
blachty01,2024,Ty Blach*,COL,71.1,20,5,3,40.0
blackma01,2024,Mason Black,SFG,36.1,9,1,0,100.0
blalobr01,2024,Bradley Blalock,TOT,30.2,7,0,0,
blancro01,2024,Ronel Blanco,HOU,167.1,30,0,0,
blewesc01,2024,Scott Blewett,MIN,20.1,12,3,2,33.0
boltoco01,2024,Cody Bolton,SEA,18.2,17,11,4,64.0
booseca01,2024,Cam Booser*,BOS,42.2,43,20,12,40.0
borucry01,2024,Ryan Borucki*,PIT,11.0,14,8,2,75.0
boteda01,2024,David Bote,CHC,1.0,1,0,0,
boushca01,2024,Caleb Boushley,MIN,4.0,2,0,0,
bowmama01,2024,Matt Bowman,TOT,30.2,25,16,8,50.0
boylejo01,2024,Joe Boyle,OAK,47.2,13,0,0,
bradfco01,2024,Cody Bradford*,TEX,76.1,14,0,0,
brasiry01,2024,Ryan Brasier,LAD,28.0,29,11,10,9.0
brazohu01,2024,Huascar Brazobán,TOT,51.2,39,18,9,50.0
brebbjo01,2024,John Brebbia,TOT,55.1,59,20,9,55.0
breweco01,2024,Colten Brewer,CHC,20.2,16,7,5,29.0
briesbe01,2024,Beau Brieske,DET,67.2,46,18,3,83.0
britojh01,2024,Jhony Brito,SDP,43.2,26,9,4,56.0
brogdco01,2024,Connor Brogdon,TOT,3.0,4,3,3,0.0
brookaa01,2024,Aaron Brooks,OAK,26.2,5,0,0,
brownbe02,2024,Ben Brown,CHC,55.1,15,1,0,100.0
brownhu01,2024,Hunter Brown,HOU,170.0,31,0,0,
bruihju01,2024,Justin Bruihl*,PIT,5.2,7,4,1,75.0
brujavi01,2024,Vidal Bruján,MIA,1.2,2,0,0,
brzykza01,2024,Zach Brzykcy,WSN,5.2,6,0,0,
bubickr01,2024,Kris Bubic*,KCR,30.1,27,7,2,71.0
buchada01,2024,David Buchanan,CIN,3.1,1,0,0,
bukaujb01,2024,JB Bukauskas,MIL,6.0,6,3,1,67.0
bummeaa01,2024,Aaron Bummer*,ATL,55.1,56,28,10,64.0
burdini01,2024,Nick Burdi,NYY,9.2,12,11,6,45.0
burgora01,2024,Raymond Burgos*,SFG,1.0,1,0,0,
burkebr01,2024,Brock Burke*,TOT,34.0,34,13,5,62.0
burkese01,2024,Sean Burke,CHW,19.0,4,0,0,
burromi01,2024,Mike Burrows,PIT,3.1,1,0,0,
burrry01,2024,Ryan Burr,TOR,32.2,34,13,5,62.0
busenal01,2024,Alan Busenitz,CIN,4.0,3,0,0,
buttojo01,2024,José Buttó,NYM,74.0,30,13,3,77.0
cabrege01,2024,Génesis Cabrera*,TOR,62.2,69,39,12,69.0
cabreos01,2024,Oswaldo Cabrera,NYY,0.1,1,2,1,50.0
campbis01,2024,Isaiah Campbell,BOS,6.2,8,3,3,0.0
cannigr01,2024,Griffin Canning,LAA,171.2,32,0,0,
cannojo02,2024,Jonathan Cannon,CHW,124.1,23,0,0,
canoye01,2024,Yennier Cano,BAL,60.0,70,45,17,62.0
cantijo01,2024,Joey Cantillo*,CLE,38.2,9,1,0,100.0
carasma01,2024,Matt Carasiti,COL,8.2,7,6,1,83.0
caspabe01,2024,Ben Casparius,LAD,8.1,3,0,0,
castehu01,2024,Humberto Castellanos,ARI,10.1,7,7,1,86.0
castidi01,2024,Diego Castillo,MIN,10.0,7,4,4,0.0
castrmi01,2024,Miguel Castro,ARI,13.2,11,3,2,33.0
castrwi01,2024,Willi Castro,MIN,1.1,2,1,0,100.0
ceccosl01,2024,Slade Cecconi,ARI,77.0,20,3,3,0.0
chafian01,2024,Andrew Chafin*,TOT,56.1,62,29,10,66.0
