batter,sprint_speed
621439,30.5
642423,30.2
596451,30.1
641553,30.1
571740,30.1
607208,30.1
641658,30.0
664056,30.0
592261,29.9
593647,29.9
543194,29.9
609275,29.9
605480,29.8
542979,29.7
595222,29.6
607430,29.6
596115,29.6
660670,29.6
641933,29.5
543776,29.5
502117,29.5
572669,29.5
621020,29.4
622534,29.4
642708,29.4
605548,29.4
664068,29.4
641684,29.3
645302,29.3
621446,29.3
656775,29.3
605233,29.3
622682,29.2
545361,29.2
592680,29.2
545350,29.2
614173,29.1
458731,29.1
592348,29.1
488721,29.1
434658,29.1
514917,29.1
449181,29.1
592444,29.1
594838,29.0
593160,29.0
571437,29.0
641583,29.0
502481,29.0
657656,29.0
592859,29.0
641505,29.0
608671,29.0
621028,29.0
605508,29.0
572191,29.0
543829,29.0
458913,29.0
541645,28.9
641525,28.9
595281,28.9
621433,28.9
643565,28.9
605486,28.9
656185,28.9
664057,28.9
621453,28.9
502226,28.9
641355,28.8
595879,28.8
606299,28.8
660162,28.8
641313,28.8
642180,28.7
645277,28.7
640457,28.7
595373,28.7
457705,28.7
606466,28.7
656669,28.7
592885,28.7
606132,28.6
502054,28.6
620439,28.6
621035,28.6
516782,28.6
451192,28.6
592663,28.6
606192,28.6
641531,28.6
571595,28.6
544725,28.6
456715,28.6
592808,28.6
543484,28.6
594694,28.6
453203,28.6
607387,28.6
573135,28.6
457727,28.5
621311,28.5
501571,28.5
517369,28.5
594011,28.5
491676,28.5
608475,28.5
607043,28.5
642715,28.4
628338,28.4
453923,28.4
608384,28.4
593700,28.4
593871,28.4
596019,28.4
622569,28.4
607054,28.4
660271,28.3
518586,28.3
592325,28.3
656305,28.3
621563,28.3
534606,28.3
545341,28.3
543760,28.3
621471,28.3
465753,28.3
624577,28.3
595751,28.2
624585,28.2
572008,28.2
572073,28.2
572041,28.2
501659,28.2
452254,28.2
607776,28.2
605113,28.2
519333,28.2
657557,28.2
572233,28.2
640449,28.2
622168,28.1
570560,28.1
621493,28.1
593528,28.1
605141,28.1
596059,28.1
488818,28.1
514888,28.1
664058,28.1
571976,28.1
435622,28.1
519306,28.1
621573,28.1
543305,28.1
592696,28.0
500135,28.0
541650,28.0
643396,28.0
460576,28.0
666971,28.0
578428,28.0
605509,28.0
641487,28.0
544369,28.0
649966,28.0
640447,28.0
608596,28.0
592450,28.0
596103,28.0
591720,28.0
649557,28.0
592178,28.0
608654,28.0
446386,27.9
594807,27.9
596146,27.9
542364,27.9
643376,27.9
593527,27.9
572204,27.9
516416,27.9
542454,27.9
570256,27.9
500871,27.8
542255,27.8
621550,27.8
518902,27.8
572816,27.8
593428,27.8
608324,27.8
457708,27.8
609280,27.8
607680,27.8
546991,27.8
542303,27.8
598265,27.8
571745,27.8
641343,27.8
519317,27.8
595375,27.8
623520,27.8
624424,27.8
592206,27.8
595909,27.8
643217,27.7
621043,27.8
643446,27.8
543257,27.8
571771,27.8
594988,27.7
543543,27.7
592863,27.7
621559,27.7
502210,27.7
624636,27.7
622110,27.7
624407,27.7
553988,27.7
543807,27.7
591971,27.7
602922,27.7
452655,27.7
621002,27.7
543939,27.7
608701,27.7
664023,27.6
599096,27.6
453568,27.6
608336,27.6
518792,27.6
542340,27.6
474568,27.6
519295,27.6
575929,27.6
592192,27.6
595777,27.6
643393,27.6
493329,27.6
621466,27.6
571970,27.6
650490,27.6
571718,27.6
444876,27.5
642162,27.5
620446,27.5
547982,27.5
608365,27.5
570731,27.5
547180,27.5
641856,27.5
594809,27.5
570481,27.5
456488,27.5
643265,27.5
493316,27.5
408314,27.5
571980,27.5
461865,27.5
457706,27.5
664040,27.5
471865,27.4
641924,27.4
608070,27.4
641319,27.4
451594,27.4
592685,27.4
605131,27.4
516770,27.4
591741,27.4
400085,27.3
571974,27.4
600524,27.3
523253,27.3
594824,27.3
600869,27.3
592669,27.3
543685,27.3
646240,27.3
600474,27.3
640461,27.3
657077,27.3
444482,27.2
624428,27.3
571918,27.2
665742,27.2
455759,27.2
592122,27.2
542921,27.2
400284,27.2
547170,27.2
518934,27.2
592743,27.1
605119,27.1
596119,27.1
605137,27.1
605361,27.1
621514,27.1
656941,27.1
543281,27.1
650402,27.1
622226,27.1
462101,27.0
593495,27.0
519346,27.0
605512,27.0
543302,27.0
501213,27.0
623993,27.0
588751,27.0
641820,27.0
607752,27.0
446334,27.0
595284,26.9
656811,26.9
543228,26.9
581527,26.9
543401,26.9
571875,26.9
502671,26.9
570267,26.9
501303,26.9
593934,26.9
518618,26.9
596144,26.9
520471,26.8
592273,26.8
434158,26.8
614177,26.8
606988,26.8
518614,26.8
572821,26.8
592230,26.8
606115,26.8
624512,26.8
608577,26.8
475582,26.7
460075,26.7
502110,26.7
547989,26.7
572039,26.7
430945,26.7
450314,26.7
570482,26.7
