catcher_mlbam,year,shadow_pitches,shadow_called_strikes,framing_rate,framing_rate_lg,framing_runs_per_100,framing_runs
425772,2017,490,265,0.5408163265306123,0.4179816513761468,1.5968507770080516,7.824568807339451
425784,2017,676,307,0.4541420118343195,0.4179816513761468,0.4700846859562454,3.1777724770642175
425877,2017,1240,546,0.4403225806451613,0.4179816513761468,0.2904320804971883,3.6013577981651386
431145,2017,794,358,0.4508816120906801,0.4179816513761468,0.42769948928893325,3.3959339449541304
434563,2017,398,136,0.3417085427135678,0.4179816513761468,-0.9915504126135266,-3.9463706422018348
434567,2017,125,43,0.344,0.4179816513761468,-0.9617614678899087,-1.202201834862385
435263,2017,893,434,0.48600223964165734,0.4179816513761468,0.8842676474516372,7.896510091743121
435559,2017,701,297,0.42368045649072755,0.4179816513761468,0.07408446648954992,0.5193321100917411
444489,2017,825,366,0.44363636363636366,0.4179816513761468,0.33351125938281934,2.751467889908255
446308,2017,1071,385,0.35947712418300654,0.4179816513761468,-0.7605588535108234,-8.145585321100919
446653,2017,438,197,0.4497716894977169,0.4179816513761468,0.4132704955804114,1.810124770642203
452095,2017,791,408,0.515802781289507,0.4179816513761468,1.2716746888736823,10.058946788990825
452672,2017,299,94,0.31438127090301005,0.4179816513761468,-1.3468049461507776,-4.026946788990825
454560,2017,363,120,0.3305785123966942,0.4179816513761468,-1.1362408067328833,-4.1245541284403675
455104,2017,688,322,0.4680232558139535,0.4179816513761468,0.6505408576914871,4.4757211009174345
455117,2017,1217,597,0.4905505341002465,0.4179816513761468,0.9433954754132965,11.481122935779815
455139,2017,775,307,0.3961290322580645,0.4179816513761468,-0.28408404853506974,-2.2016513761467924
455755,2017,393,175,0.44529262086513993,0.4179816513761468,0.35504260335691085,1.3953174311926606
456078,2017,850,388,0.45647058823529413,0.4179816513761468,0.5003561791689154,4.253027522935779
457763,2017,866,388,0.44803695150115475,0.4179816513761468,0.3907189016251034,3.3836256880733964
460026,2017,694,276,0.3976945244956772,0.4179816513761468,-0.26373264944610453,-1.8303045871559642
460077,2017,525,183,0.3485714285714286,0.4179816513761468,-0.9023328964613366,-4.737247706422017
460269,2017,531,225,0.423728813559322,0.4179816513761468,0.07471310838127793,0.3967266055045883
465041,2017,696,296,0.42528735632183906,0.4179816513761468,0.09497416429399952,0.6610201834862364
467092,2017,530,234,0.44150943396226416,0.4179816513761468,0.30586117361952586,1.6210642201834844
471083,2017,464,200,0.43103448275862066,0.4179816513761468,0.16968680797216035,0.7873467889908267
488671,2017,729,278,0.3813443072702332,0.4179816513761468,-0.47628547337687643,-3.4721211009174313
488771,2017,943,391,0.4146341463414634,0.4179816513761468,-0.043517565450884144,-0.41037064220183256
491696,2017,484,215,0.44421487603305787,0.4179816513761468,0.34103192053984405,1.6505944954128455
492802,2017,259,117,0.4517374517374517,0.4179816513761468,0.4388254046969642,1.1365577981651374
506702,2017,727,304,0.41815680880330125,0.4179816513761468,0.0022770465530079775,0.016554128440368458
516949,2017,176,55,0.3125,0.4179816513761468,-1.3712614678899084,-2.4134201834862385
518542,2017,154,58,0.37662337662337664,0.4179816513761468,-0.5376575717860119,-0.827992660550458
518595,2017,860,377,0.4383720930232558,0.4179816513761468,0.2650757414124172,2.279651376146788
518700,2017,161,76,0.4720496894409938,0.4179816513761468,0.7028844948430111,1.1316440366972473
518735,2017,1041,512,0.4918347742555235,0.4179816513761468,0.9600905974318975,9.994543119266055
518960,2017,1035,366,0.3536231884057971,0.4179816513761468,-0.8366600186145461,-8.659431192660549
519023,2017,356,123,0.3455056179775281,0.4179816513761468,-0.942188434182043,-3.354190825688073
519083,2017,502,223,0.4442231075697211,0.4179816513761468,0.34113893051646615,1.7125174311926603
519222,2017,559,258,0.46153846153846156,0.4179816513761468,0.566238532110092,3.1652733944954123
519237,2017,815,291,0.3570552147239264,0.4179816513761468,-0.7920436764788654,-6.455155963302754
519390,2017,648,298,0.45987654320987653,0.4179816513761468,0.5446335938384866,3.529225688073397
521692,2017,1032,380,0.3682170542635659,0.4179816513761468,-0.6469397624635518,-6.6764183486238515
542908,2017,428,193,0.45093457943925236,0.4179816513761468,0.4283880648203724,1.8335009174311936
543228,2017,888,380,0.42792792792792794,0.4179816513761468,0.12930159517315498,1.1481981651376156
543302,2017,351,146,0.41595441595441596,0.4179816513761468,-0.02635406048250083,-0.09250275229357754
543308,2017,134,59,0.44029850746268656,0.4179816513761468,0.29011912912501703,0.38875963302752325
543376,2017,689,326,0.4731494920174166,0.4179816513761468,0.7171819283365073,4.941383486238531
543510,2017,961,321,0.3340270551508845,0.4179816513761468,-1.09140975092841,-10.488447706422022
543877,2017,855,384,0.44912280701754387,0.4179816513761468,0.404835023338162,3.461339449541283
547172,2017,660,235,0.3560606060606061,0.4179816513761468,-0.8049735891020293,-5.312825688073393
547379,2017,675,291,0.4311111111111111,0.4179816513761468,0.17068297655453618,1.152110091743121
553869,2017,446,149,0.33408071748878926,0.4179816513761468,-1.090712140535648,-4.864576146788992
553882,2017,765,299,0.3908496732026144,0.4179816513761468,-0.35271571625592135,-2.698275229357802
571466,2017,1018,352,0.34577603143418467,0.4179816513761468,-0.9386730592455076,-9.55569174311927
571912,2017,373,152,0.4075067024128686,0.4179816513761468,-0.13617433652261612,-0.5079302752293583
572033,2017,455,202,0.44395604395604393,0.4179816513761468,0.3376671035386629,1.5363853211009175
572287,2017,1094,433,0.39579524680073125,0.4179816513761468,-0.28842325948040204,-3.1553504587155947
572863,2017,325,145,0.4461538461538462,0.4179816513761468,0.36623853211009205,1.1902752293577987
575929,2017,964,383,0.39730290456431533,0.4179816513761468,-0.268823708553809,-2.5914605504587174
592592,2017,151,39,0.2582781456953642,0.4179816513761468,-2.0761455738501735,-3.1349798165137615
592663,2017,1266,525,0.4146919431279621,0.4179816513761468,-0.042766207226401065,-0.5414201834862342
594828,2017,470,189,0.4021276595744681,0.4179816513761468,-0.20610189342182283,-0.9686788990825684
595284,2017,500,200,0.4,0.4179816513761468,-0.23376146788990798,-1.1688073394495402
595751,2017,269,88,0.3271375464684015,0.4179816513761468,-1.180973363800689,-3.1768183486238533
595978,2017,996,479,0.48092369477911645,0.4179816513761468,0.8182465642386056,8.149735779816512
596142,2017,909,368,0.40484048404840484,0.4179816513761468,-0.1708351752606454,-1.552891743119269
605131,2017,423,193,0.4562647754137116,0.4179816513761468,0.4976806124883422,2.1051889908256887
607257,2017,194,92,0.4742268041237113,0.4179816513761468,0.7311869857183388,1.418502752293578
607345,2017,697,269,0.38593974175035867,0.4179816513761468,-0.4165448251352456,-2.9033174311926597
