bref_id,season,name_bref,team_bref,ip_bref,g_bref,ir,is_count,is_pct
jayjo02,2017,Jon Jay*,CHC,1.0,1,0,0,
jeffrje01,2017,Jeremy Jeffress,TOT,65.1,61,38,15,61.0
jennida01,2017,Dan Jennings*,TOT,62.2,77,56,13,77.0
jimenjo02,2017,Joe Jiménez,DET,19.0,24,17,7,59.0
jimenub01,2017,Ubaldo Jiménez,BAL,142.2,31,1,0,100.0
johnsji04,2017,Jim Johnson,ATL,56.2,61,3,0,100.0
johnspi01,2017,Pierce Johnson,CHC,1.0,1,0,0,
jonesna01,2017,Nate Jones,CHW,11.2,11,3,1,67.0
jungmta01,2017,Taylor Jungmann,MIL,0.2,1,0,0,
junisja01,2017,Jakob Junis,KCR,98.1,20,0,0,
kahnlto01,2017,Tommy Kahnle,TOT,62.2,69,28,9,68.0
karnsna01,2017,Nate Karns,KCR,45.1,9,0,0,
kelake01,2017,Keone Kela,TEX,38.2,39,12,3,75.0
kellesh01,2017,Shawn Kelley,WSN,26.0,33,11,3,73.0
kellyjo05,2017,Joe Kelly,BOS,58.0,54,27,11,59.0
kimbrcr01,2017,Craig Kimbrel,BOS,69.0,67,13,1,92.0
kintzbr01,2017,Brandon Kintzler,TOT,71.1,72,14,6,57.0
kittran01,2017,Andrew Kittredge,TBR,15.1,15,4,0,100.0
knebeco01,2017,Corey Knebel,MIL,76.0,76,17,4,76.0
kochma01,2017,Matt Koch,ARI,0.0,1,0,0,
koehlto01,2017,Tom Koehler,TOT,72.2,27,1,1,0.0
kolarad01,2017,Adam Kolarek*,TBR,8.1,12,8,2,75.0
kontoge01,2017,George Kontos,TOT,66.1,65,39,15,62.0
krolia01,2017,Ian Krol*,ATL,49.0,51,32,9,72.0
labouja01,2017,Jairo Labourt*,DET,6.0,6,2,1,50.0
lackejo01,2017,John Lackey,CHC,170.2,31,0,0,
lawde01,2017,Derek Law,SFG,37.1,41,15,6,60.0
lawreca01,2017,Casey Lawrence,TOT,55.1,27,9,3,67.0
layneto01,2017,Tommy Layne*,NYY,13.0,19,9,0,100.0
leathja01,2017,Jack Leathersich*,TOT,5.0,7,7,3,57.0
leblawa01,2017,Wade LeBlanc*,PIT,68.0,50,16,2,87.0
leclejo01,2017,José Leclerc,TEX,45.2,47,22,7,68.0
leeza01,2017,Zach Lee,SDP,8.0,3,0,0,
leitema02,2017,Mark Leiter Jr.,PHI,90.2,27,5,3,40.0
leonar02,2017,Arcenio León,DET,6.2,6,1,0,100.0
leonedo01,2017,Dominic Leone,TOR,70.1,65,54,12,78.0
lewicar01,2017,Artie Lewicki,DET,10.1,4,1,0,100.0
liberad01,2017,Adam Liberatore*,LAD,3.1,4,0,0,
lindbjo01,2017,Josh Lindblom,PIT,10.1,4,1,0,100.0
liriafr01,2017,Francisco Liriano*,TOT,97.0,38,13,5,62.0
loganbo02,2017,Boone Logan*,CLE,21.0,38,19,4,79.0
lopezjo02,2017,Jorge López,MIL,2.0,1,0,0,
lorenmi01,2017,Michael Lorenzen,CIN,83.0,70,29,10,66.0
loupaa01,2017,Aaron Loup*,TOR,57.2,70,41,9,78.0
