batter,year,split_day,cutoff_date,sb_to,sb_last21
502042,2018,30,2018-04-28,0,0
502054,2018,30,2018-04-28,5,3
502082,2018,30,2018-04-28,1,0
502110,2018,30,2018-04-28,0,0
502117,2018,30,2018-04-28,0,0
502143,2018,30,2018-04-28,0,0
502171,2018,30,2018-04-28,0,0
502188,2018,30,2018-04-28,0,0
502190,2018,30,2018-04-28,0,0
502210,2018,30,2018-04-28,1,1
502226,2018,30,2018-04-28,5,4
502327,2018,30,2018-04-28,0,0
502481,2018,30,2018-04-28,2,1
502517,2018,30,2018-04-28,0,0
502570,2018,30,2018-04-28,0,0
502624,2018,30,2018-04-28,0,0
502671,2018,30,2018-04-28,2,2
502706,2018,30,2018-04-28,0,0
503556,2018,30,2018-04-28,0,0
506433,2018,30,2018-04-28,0,0
506702,2018,30,2018-04-28,0,0
506703,2018,30,2018-04-28,0,0
506747,2018,30,2018-04-28,0,0
514888,2018,30,2018-04-28,1,0
514917,2018,30,2018-04-28,5,3
516416,2018,30,2018-04-28,5,4
516472,2018,30,2018-04-28,0,0
516770,2018,30,2018-04-28,1,1
516782,2018,30,2018-04-28,8,6
517369,2018,30,2018-04-28,3,2
518397,2018,30,2018-04-28,0,0
518452,2018,30,2018-04-28,0,0
518466,2018,30,2018-04-28,0,0
518516,2018,30,2018-04-28,0,0
518542,2018,30,2018-04-28,0,0
518553,2018,30,2018-04-28,0,0
518586,2018,30,2018-04-28,0,0
518614,2018,30,2018-04-28,0,0
518618,2018,30,2018-04-28,0,0
518626,2018,30,2018-04-28,1,0
518692,2018,30,2018-04-28,2,2
518735,2018,30,2018-04-28,0,0
518774,2018,30,2018-04-28,0,0
518792,2018,30,2018-04-28,0,0
518902,2018,30,2018-04-28,0,0
518934,2018,30,2018-04-28,3,2
518960,2018,30,2018-04-28,0,0
519008,2018,30,2018-04-28,0,0
519023,2018,30,2018-04-28,0,0
519048,2018,30,2018-04-28,0,0
519058,2018,30,2018-04-28,1,1
519144,2018,30,2018-04-28,0,0
519203,2018,30,2018-04-28,0,0
519222,2018,30,2018-04-28,0,0
519295,2018,30,2018-04-28,1,0
519299,2018,30,2018-04-28,0,0
519306,2018,30,2018-04-28,0,0
519317,2018,30,2018-04-28,1,1
519333,2018,30,2018-04-28,1,0
519346,2018,30,2018-04-28,2,1
519455,2018,30,2018-04-28,0,0
520471,2018,30,2018-04-28,1,1
520980,2018,30,2018-04-28,0,0
521692,2018,30,2018-04-28,0,0
523253,2018,30,2018-04-28,0,0
527038,2018,30,2018-04-28,0,0
527043,2018,30,2018-04-28,0,0
527048,2018,30,2018-04-28,0,0
527054,2018,30,2018-04-28,0,0
534606,2018,30,2018-04-28,0,0
541640,2018,30,2018-04-28,0,0
541645,2018,30,2018-04-28,0,0
541650,2018,30,2018-04-28,1,1
542208,2018,30,2018-04-28,0,0
542255,2018,30,2018-04-28,12,11
542303,2018,30,2018-04-28,0,0
542340,2018,30,2018-04-28,4,2
542364,2018,30,2018-04-28,0,0
542454,2018,30,2018-04-28,0,0
542583,2018,30,2018-04-28,0,0
542881,2018,30,2018-04-28,0,0
542908,2018,30,2018-04-28,0,0
542921,2018,30,2018-04-28,1,0
542932,2018,30,2018-04-28,0,0
542979,2018,30,2018-04-28,0,0
543022,2018,30,2018-04-28,0,0
543031,2018,30,2018-04-28,0,0
543037,2018,30,2018-04-28,0,0
543063,2018,30,2018-04-28,0,0
543068,2018,30,2018-04-28,0,0
543089,2018,30,2018-04-28,0,0
543101,2018,30,2018-04-28,0,0
543135,2018,30,2018-04-28,0,0
543148,2018,30,2018-04-28,0,0
543193,2018,30,2018-04-28,0,0
543194,2018,30,2018-04-28,0,0
543228,2018,30,2018-04-28,0,0
543257,2018,30,2018-04-28,0,0
543281,2018,30,2018-04-28,1,0
543294,2018,30,2018-04-28,0,0
543302,2018,30,2018-04-28,0,0
543305,2018,30,2018-04-28,1,1
543308,2018,30,2018-04-28,0,0
543309,2018,30,2018-04-28,0,0
543333,2018,30,2018-04-28,1,1
543359,2018,30,2018-04-28,0,0
543376,2018,30,2018-04-28,0,0
543377,2018,30,2018-04-28,0,0
543391,2018,30,2018-04-28,0,0
543401,2018,30,2018-04-28,0,0
543432,2018,30,2018-04-28,0,0
543475,2018,30,2018-04-28,0,0
543484,2018,30,2018-04-28,0,0
543510,2018,30,2018-04-28,0,0
543543,2018,30,2018-04-28,0,0
543548,2018,30,2018-04-28,0,0
543557,2018,30,2018-04-28,0,0
543606,2018,30,2018-04-28,0,0
543685,2018,30,2018-04-28,0,0
543699,2018,30,2018-04-28,0,0
543734,2018,30,2018-04-28,0,0
543760,2018,30,2018-04-28,2,2
543768,2018,30,2018-04-28,0,0
543776,2018,30,2018-04-28,1,1
543807,2018,30,2018-04-28,0,0
543829,2018,30,2018-04-28,10,7
543877,2018,30,2018-04-28,0,0
543939,2018,30,2018-04-28,0,0
544369,2018,30,2018-04-28,2,0
544725,2018,30,2018-04-28,5,5
544925,2018,30,2018-04-28,0,0
544931,2018,30,2018-04-28,0,0
545121,2018,30,2018-04-28,0,0
545337,2018,30,2018-04-28,0,0
545341,2018,30,2018-04-28,1,1
545350,2018,30,2018-04-28,2,0
545358,2018,30,2018-04-28,0,0
545361,2018,30,2018-04-28,5,4
546318,2018,30,2018-04-28,1,0
546990,2018,30,2018-04-28,0,0
546991,2018,30,2018-04-28,0,0
547004,2018,30,2018-04-28,0,0
547170,2018,30,2018-04-28,1,1
547172,2018,30,2018-04-28,0,0
547179,2018,30,2018-04-28,0,0
547180,2018,30,2018-04-28,3,2
547379,2018,30,2018-04-28,0,0
547888,2018,30,2018-04-28,0,0
547943,2018,30,2018-04-28,0,0
547982,2018,30,2018-04-28,1,1
547989,2018,30,2018-04-28,0,0
548389,2018,30,2018-04-28,0,0
553869,2018,30,2018-04-28,0,0
553882,2018,30,2018-04-28,0,0
553902,2018,30,2018-04-28,0,0
553988,2018,30,2018-04-28,0,0
553993,2018,30,2018-04-28,0,0
554054,2018,30,2018-04-28,0,0
554430,2018,30,2018-04-28,0,0
570240,2018,30,2018-04-28,0,0
570256,2018,30,2018-04-28,1,0
570267,2018,30,2018-04-28,1,1
570481,2018,30,2018-04-28,0,0
570482,2018,30,2018-04-28,0,0
570560,2018,30,2018-04-28,3,2
570632,2018,30,2018-04-28,0,0
570731,2018,30,2018-04-28,0,0
570799,2018,30,2018-04-28,1,1
571431,2018,30,2018-04-28,0,0
571437,2018,30,2018-04-28,1,0
571448,2018,30,2018-04-28,1,0
571466,2018,30,2018-04-28,0,0
571476,2018,30,2018-04-28,0,0
571506,2018,30,2018-04-28,0,0
571510,2018,30,2018-04-28,0,0
571578,2018,30,2018-04-28,0,0
571595,2018,30,2018-04-28,0,0
571602,2018,30,2018-04-28,0,0
571657,2018,30,2018-04-28,0,0
571670,2018,30,2018-04-28,0,0
571679,2018,30,2018-04-28,0,0
571697,2018,30,2018-04-28,1,1
571718,2018,30,2018-04-28,2,1
571740,2018,30,2018-04-28,5,4
571745,2018,30,2018-04-28,1,1
571760,2018,30,2018-04-28,0,0
571771,2018,30,2018-04-28,0,0
571788,2018,30,2018-04-28,0,0
571800,2018,30,2018-04-28,0,0
571841,2018,30,2018-04-28,0,0
571851,2018,30,2018-04-28,0,0
571863,2018,30,2018-04-28,0,0
571875,2018,30,2018-04-28,0,0
571912,2018,30,2018-04-28,1,0
571918,2018,30,2018-04-28,2,2
571927,2018,30,2018-04-28,0,0
571945,2018,30,2018-04-28,0,0
571946,2018,30,2018-04-28,0,0
571951,2018,30,2018-04-28,0,0
571970,2018,30,2018-04-28,0,0
571974,2018,30,2018-04-28,0,0
571976,2018,30,2018-04-28,1,1
571980,2018,30,2018-04-28,0,0
572008,2018,30,2018-04-28,1,0
572033,2018,30,2018-04-28,0,0
572039,2018,30,2018-04-28,0,0
572041,2018,30,2018-04-28,6,4
572073,2018,30,2018-04-28,0,0
572122,2018,30,2018-04-28,0,0
572180,2018,30,2018-04-28,0,0
572191,2018,30,2018-04-28,9,5
572204,2018,30,2018-04-28,0,0
572228,2018,30,2018-04-28,0,0
572233,2018,30,2018-04-28,0,0
572287,2018,30,2018-04-28,0,0
572362,2018,30,2018-04-28,0,0
572365,2018,30,2018-04-28,0,0
572669,2018,30,2018-04-28,0,0
572761,2018,30,2018-04-28,0,0
572816,2018,30,2018-04-28,2,1
572821,2018,30,2018-04-28,2,1
573135,2018,30,2018-04-28,0,0
573185,2018,30,2018-04-28,0,0
575929,2018,30,2018-04-28,0,0
576397,2018,30,2018-04-28,1,0
578428,2018,30,2018-04-28,4,3
581527,2018,30,2018-04-28,0,0
582473,2018,30,2018-04-28,0,0
588751,2018,30,2018-04-28,0,0
591720,2018,30,2018-04-28,0,0
591741,2018,30,2018-04-28,0,0
591971,2018,30,2018-04-28,0,0
592122,2018,30,2018-04-28,1,0
592145,2018,30,2018-04-28,0,0
592178,2018,30,2018-04-28,0,0
592192,2018,30,2018-04-28,0,0
592200,2018,30,2018-04-28,0,0
592206,2018,30,2018-04-28,0,0
592230,2018,30,2018-04-28,0,0
592261,2018,30,2018-04-28,3,3
592273,2018,30,2018-04-28,0,0
592314,2018,30,2018-04-28,0,0
592325,2018,30,2018-04-28,1,1
592332,2018,30,2018-04-28,0,0
592348,2018,30,2018-04-28,4,2
592351,2018,30,2018-04-28,0,0
592387,2018,30,2018-04-28,0,0
592407,2018,30,2018-04-28,0,0
592426,2018,30,2018-04-28,0,0
