pitcher,year,own_stuff_plus,n_pitches
661403,2024,142.44570633804955,1106
664854,2024,133.393409481082,963
445276,2024,131.15042072641862,812
642207,2024,130.96468915152656,435
605280,2024,130.06840035032164,1302
592426,2024,128.0360073561408,952
664126,2024,127.26007198861538,729
621242,2024,124.74404694701056,1114
607192,2024,124.53337299921195,2011
664747,2024,124.21904998966012,977
519151,2024,123.86629492352634,986
656945,2024,123.67898637404008,1265
690829,2024,123.33864363691868,541
608371,2024,121.87631914869502,885
656876,2024,121.23924681309398,459
689147,2024,121.16333539490593,1126
687330,2024,120.79778335597243,1052
657044,2024,120.51623256909477,1027
695243,2024,119.89291573367308,1037
656629,2024,119.8490328545555,1316
623149,2024,119.84352914941472,661
643377,2024,119.4989797930577,1085
663158,2024,119.31689843582105,1040
685801,2024,119.25011764151994,311
673380,2024,119.243345543819,494
502085,2024,118.93981231193996,1230
656730,2024,118.75340548596317,697
669093,2024,118.38663174031495,1098
605447,2024,118.38162971361241,215
518886,2024,118.29631722022717,963
656546,2024,117.91884983744244,1075
676775,2024,117.6346924379895,846
669308,2024,117.55901607537885,225
650556,2024,117.20598579523292,1341
694037,2024,116.99490540434743,263
606965,2024,116.93670742563384,545
605483,2024,116.7267898934203,1773
660896,2024,116.69407807908719,1004
592773,2024,116.33982811790943,1127
663878,2024,116.10658070250322,1136
613534,2024,116.08242391466754,824
623352,2024,115.60208934666656,1235
455119,2024,115.07208916287485,673
694738,2024,115.06908607599658,907
670036,2024,115.05876031009345,385
669203,2024,115.01452691520244,3080
672860,2024,114.83537595926376,348
622554,2024,114.82081870735169,1123
666974,2024,114.7088720089916,1028
681799,2024,114.59963502760115,474
656557,2024,114.49812506137856,2735
664208,2024,114.42929888486894,1246
640451,2024,114.41479989833546,918
434378,2024,114.24047617030064,1580
681911,2024,114.18471399384876,1227
661395,2024,113.92844206414249,881
657508,2024,113.73720595889499,1067
670280,2024,113.64920833361515,1039
665625,2024,113.55159120772325,829
657612,2024,113.48936044857295,1106
693312,2024,113.35138197247738,953
682842,2024,113.23637978038147,258
687863,2024,113.0234678072536,662
683232,2024,112.58627359743238,1108
621016,2024,112.26685202313398,319
554340,2024,112.2588469057201,661
686580,2024,112.2041811296031,824
666171,2024,112.13010646995802,208
543243,2024,112.03474461150324,2483
671922,2024,111.99967816795429,1329
621051,2024,111.85634388574388,623
657277,2024,111.76464197870554,3200
670871,2024,111.75758371784141,299
554430,2024,111.66710217807089,3371
657585,2024,111.60699566366813,1080
