batter,hbp_per_pa_raw,hbp,pa_ev
669194,0.0,0,1
676551,0.0,0,4
702358,0.0,0,4
542963,0.0,0,7
682634,0.0,0,12
621512,0.02703,1,37
669369,0.02381,2,84
695257,0.0,0,6
676356,0.0,0,59
690984,0.0,0,8
694388,0.02885,3,104
680700,0.0,0,48
592450,0.01031,7,679
609280,0.00293,1,341
666018,0.01896,8,422
622534,0.0,0,20
666182,0.00478,3,628
805779,0.01338,7,523
543807,0.01365,8,586
666126,0.0,0,99
686452,0.0,0,55
663853,0.0088,3,341
665161,0.0221,12,543
607208,0.00782,5,639
807712,0.02415,5,207
686527,0.01115,3,269
650490,0.00922,6,651
695600,0.0,0,69
695734,0.0114,4,351
694208,0.0,0,66
663538,0.01079,7,649
681987,0.01111,1,90
663968,0.00467,2,428
669257,0.01147,5,436
677951,0.01164,8,687
518692,0.00957,6,627
802415,0.0,0,441
647304,0.00662,4,604
665489,0.00882,6,680
650333,0.00296,2,675
805300,0.00855,2,234
701350,0.0165,5,303
676694,0.00787,3,381
642851,0.0,0,110
701762,0.00409,2,489
660670,0.00728,3,412
672695,0.01389,10,720
676475,0.00549,3,546
623168,0.03448,6,174
669065,0.01094,5,457
686217,0.01178,7,594
668930,0.00303,2,659
680977,0.01359,7,515
663330,0.02,3,150
664761,0.00992,5,504
672580,0.0015,1,666
553882,0.0,0,10
640459,0.0,0,15
624513,0.0,0,7
672515,0.00324,1,309
642086,0.00889,2,225
671056,0.03319,15,452
669364,0.00485,3,619
665877,0.01429,1,70
606466,0.01619,9,556
608070,0.01189,8,673
668885,0.00552,1,181
672386,0.00198,1,506
660271,0.00413,3,727
665804,0.00971,1,103
657656,0.01639,8,488
671289,0.0257,11,428
656811,0.01471,8,544
686475,0.05263,3,57
669016,0.0,0,425
808975,0.00588,1,170
693307,0.01919,9,469
696100,0.00691,4,579
676391,0.0068,4,588
664056,0.02196,11,501
687859,0.00826,1,121
669127,0.00191,1,523
669236,0.01093,2,183
691016,0.00962,6,624
642708,0.01047,2,191
624641,0.00766,2,261
621043,0.00171,1,584
592518,0.00442,3,678
686948,0.00673,3,446
502671,0.00749,4,534
695391,0.02381,2,84
683002,0.01075,7,651
519317,0.00356,1,281
670541,0.0,0,199
691019,0.01684,5,297
608324,0.01818,9,495
624413,0.02116,15,709
621566,0.00552,4,724
641355,0.00305,2,656
680757,0.00433,3,693
687462,0.00487,2,411
681624,0.01282,8,624
608369,0.01124,5,445
655316,0.01481,2,135
516782,0.02736,9,329
666160,0.00434,2,461
694192,0.00509,3,589
545121,0.01653,2,121
608701,0.00478,1,209
666158,0.0,0,503
700337,0.00993,4,403
665487,0.00868,6,691
624428,0.01743,8,459
596019,0.02186,16,732
677594,0.0169,12,710
669743,0.01863,6,322
808982,0.00972,6,617
680777,0.01509,7,464
663656,0.0067,4,597
807799,0.01463,3,205
669720,0.0024,1,416
681715,0.0102,3,294
518934,0.0,0,142
593871,0.00573,3,524
514888,0.00612,4,654
676059,0.01705,6,352
641487,0.00459,3,654
672820,0.00735,4,544
683766,0.01571,3,191
621439,0.01292,7,542
694384,0.01773,10,564
691406,0.00459,3,653
686469,0.01026,7,682
682829,0.00286,2,699
701538,0.00828,4,483
592885,0.00932,6,644
686555,0.01361,6,441
665742,0.0042,3,715
640492,0.0,0,21
596115,0.0107,7,654
593428,0.00725,4,552
643565,0.01039,4,385
682622,0.00833,3,360
607043,0.01074,7,652
