batter,sb_per_pa_raw,sb,pa_ev
518586,0.0,0,1
641470,0.0,0,6
664670,0.0,0,2
605421,0.0,0,8
657061,0.0,0,10
657088,0.33333,5,15
647351,0.0,0,21
669023,0.22222,2,9
656484,0.0,0,5
676391,0.01923,1,52
650333,0.00486,3,617
660670,0.09932,73,735
543482,0.0,0,6
518692,0.03151,23,730
650490,0.0,0,600
608369,0.00373,2,536
679845,0.02941,2,68
669134,0.0,0,174
677800,0.03529,3,85
656248,0.0,0,43
682622,0.04878,6,123
623912,0.01152,5,434
642215,0.13636,3,22
514888,0.03415,14,410
668904,0.0251,6,239
647304,0.0202,10,495
641355,0.03597,20,556
605141,0.0202,14,693
666182,0.00832,5,601
694497,0.04,3,75
660271,0.03339,20,599
679032,0.08537,14,164
666150,0.0,0,102
645302,0.06349,8,126
570482,0.01316,3,228
669707,0.02871,6,209
671056,0.0,0,44
666134,0.04717,20,424
680776,0.0663,24,362
669364,0.05952,5,84
672744,0.0,0,17
542932,0.03774,16,424
547180,0.02015,11,546
671739,0.03711,20,539
670541,0.0,0,496
666139,0.06387,32,501
680574,0.03474,14,403
640458,0.0625,2,32
683021,0.0,0,71
608596,0.0,0,159
656811,0.01359,5,368
661388,0.00982,6,611
807799,0.01379,8,580
682985,0.01683,7,416
622569,0.03784,7,185
686531,0.0,0,38
686452,0.0,0,33
673548,0.01029,6,583
593428,0.02857,19,665
682998,0.08372,54,645
672515,0.01579,6,380
680977,0.01348,5,371
663656,0.04451,30,674
527038,0.0,0,454
621566,0.00139,1,720
663538,0.0625,43,688
456781,0.0,0,450
673237,0.0,0,377
608070,0.04052,28,691
663586,0.0042,3,715
666023,0.0,0,235
677551,0.0611,30,491
681082,0.04844,31,640
645277,0.0197,13,660
687093,0.0,0,80
666160,0.01858,6,323
670770,0.04856,27,556
453568,0.00969,4,413
643289,0.01423,7,492
592885,0.0443,28,632
488726,0.0,0,57
681481,0.01307,6,459
669016,0.02119,10,472
668939,0.00146,1,687
680777,0.00896,3,335
691023,0.01505,7,465
677951,0.07061,49,694
543760,0.01859,14,753
641658,0.01984,5,252
457759,0.00639,4,626
606466,0.01231,8,650
677649,0.01822,8,439
676914,0.00709,1,141
666181,0.05775,19,329
677594,0.05182,37,714
694384,0.0,0,132
669720,0.00883,5,566
608841,0.0,0,657
665742,0.01695,12,708
664761,0.00655,4,611
607043,0.0044,3,682
542303,0.0,0,592
650402,0.01935,13,672
676801,0.04158,19,457
656180,0.0,0,158
593160,0.04392,26,592
650391,0.0,0,489
592206,0.01639,11,671
672580,0.04466,23,515
668715,0.02256,15,665
663647,0.01905,10,525
502110,0.00209,1,479
642731,0.0434,23,530
646240,0.00762,5,656
666135,0.00313,1,319
602074,0.0125,1,80
687952,0.0083,2,241
641598,0.0,0,344
596103,0.00966,2,207
643446,0.01543,10,648
663624,0.00638,3,470
518792,0.00531,2,377
656448,0.01107,3,271
667472,0.01429,1,70
502671,0.01601,11,687
680757,0.02925,21,718
657041,0.02933,20,682
553869,0.0019,1,526
624512,0.00971,2,206
545341,0.00425,2,471
592450,0.00655,3,458
543228,0.00239,1,419
680869,0.04667,14,300
671277,0.01867,9,482
686823,0.02857,13,455
665839,0.03356,5,149
665750,0.02527,14,554
571448,0.0049,3,612
607208,0.04342,30,691
641487,0.00313,2,638
673962,0.00194,1,515
595281,0.03431,14,408
606115,0.00188,1,533
665489,0.00733,5,682
628451,0.00261,1,383
575929,0.01212,6,495
650859,0.01348,6,445
605361,0.0,0,79
602104,0.00758,3,396
673357,0.03361,20,595
657077,0.00831,5,602
622534,0.02679,9,336
665161,0.0205,13,634
671213,0.0,0,502
666397,0.00735,3,408
608671,0.0662,19,287
668804,0.01875,12,640
545361,0.00552,2,362
663611,0.03401,10,294
642708,0.02752,15,545
658668,0.02857,11,385
592192,0.0217,11,507
608324,0.00414,3,724
676356,0.02222,1,45
592273,0.0,0,523
663993,0.00138,1,724
643217,0.02093,13,621
666971,0.00845,5,592
680911,0.0414,13,314
663837,0.01132,6,530
669257,0.00542,3,554
656896,0.00353,1,283
663457,0.02187,11,503
660162,0.0028,1,357
668843,0.05814,5,86
596146,0.00204,1,491
673490,0.0607,38,626
660688,0.00178,1,562
676059,0.01754,4,228
444482,0.00948,4,422
655316,0.02222,7,315
605170,0.00442,1,226
663898,0.0,0,192
676946,0.01439,2,139
641680,0.00399,2,501
680118,0.17391,24,138
691176,0.0303,1,33
680700,0.01961,2,102
683734,0.0,0,615
592518,0.00499,3,601
543807,0.02928,20,683
572233,0.01664,11,661
606192,0.01032,7,678
408234,0.0,0,370
665487,0.04567,29,635
650559,0.00639,4,626
623993,0.00762,5,656
650489,0.08068,33,409
687462,0.0,0,44
457705,0.02326,11,473
664774,0.00385,2,519
571657,0.00542,2,369
641584,0.05526,21,380
502054,0.04574,22,481
669087,0.0,0,45
683002,0.01608,10,622
592696,0.00581,3,516
593871,0.01166,4,343
642180,0.07273,4,55
521692,0.0,0,580
642086,0.00171,1,586
596019,0.04512,31,687
663630,0.03597,5,139
668227,0.03364,22,654
665923,0.13481,67,497
474832,0.0,0,404
621028,0.03162,8,253
678554,0.0,0,92
678662,0.01789,11,615
621493,0.00978,4,409
543305,0.01923,6,312
660821,0.00746,3,402
664059,0.09259,10,108
672284,0.03125,13,416
650907,0.0,0,105
696285,0.10744,13,121
643565,0.01746,7,401
605612,0.0037,1,270
545121,0.0035,1,286
621545,0.025,4,160
592663,0.02963,16,540
641511,0.0,0,187
600869,0.01389,8,576
669221,0.0,0,438
665926,0.0487,30,616
462101,0.02956,12,406
622110,0.00478,1,209
643265,0.0,0,457
624641,0.01333,4,300
664034,0.0015,1,665
609280,0.02222,2,90
669394,0.00185,1,540
665862,0.05744,22,383
665833,0.075,3,40
572816,0.0,0,152
672386,0.0,0,422
682641,0.01186,3,253
670623,0.00175,1,571
444489,0.0,0,12
666703,0.0,0,37
624585,0.00172,1,580
620443,0.0,0,30
670042,0.03448,14,406
670242,0.00787,2,254
681546,0.02822,16,567
669242,0.05114,27,528
664023,0.02026,14,691
543068,0.0,0,278
605204,0.00183,1,546
669289,0.00787,2,254
516782,0.07038,24,341
677595,0.06481,7,108
608701,0.02881,7,243
666624,0.01399,6,429
664058,0.0,0,97
519058,0.0,0,386
656582,0.00636,3,472
677587,0.0,0,86
594807,0.01133,4,353
605137,0.0,0,617
686469,0.0,0,260
667670,0.0076,4,526
669003,0.0137,1,73
686217,0.03139,7,223
672695,0.03232,16,495
641313,0.02481,13,524
668942,0.03429,12,350
682928,0.07655,47,614
666969,0.01424,9,632
493329,0.01216,4,329
667452,0.04644,15,323
679631,0.01786,1,56
443558,0.00658,1,152
663697,0.02647,14,529
676475,0.00865,3,347
641505,0.00962,1,104
621020,0.01411,9,638
519203,0.0,0,421
621466,0.00541,1,185
518934,0.00356,2,562
592656,0.02326,2,86
663886,0.0,0,517
660707,0.0,0,307
664983,0.08333,26,312
643396,0.03878,14,361
671289,0.02976,5,168
595777,0.00192,1,521
656308,0.01042,1,96
668800,0.0083,2,241
624414,0.00485,1,206
678882,0.03371,3,89
670156,0.08725,13,149
624428,0.02418,11,455
467793,0.00969,6,619
664728,0.02236,7,313
656305,0.00688,4,581
641857,0.00797,5,627
624424,0.00851,4,470
641943,0.01894,5,264
