batter,sb_per_pa_raw,sb,pa_ev
669194,0.0,0,1
676551,0.25,1,4
702358,0.0,0,4
542963,0.0,0,7
682634,0.08333,1,12
621512,0.0,0,37
669369,0.04762,4,84
695257,0.0,0,6
676356,0.10169,6,59
690984,0.0,0,8
694388,0.00962,1,104
680700,0.08333,4,48
592450,0.01767,12,679
609280,0.00293,1,341
666018,0.0,0,422
622534,0.0,0,20
666182,0.00637,4,628
805779,0.00956,5,523
543807,0.03072,18,586
666126,0.0,0,99
686452,0.03636,2,55
663853,0.0176,6,341
665161,0.03683,20,543
607208,0.05634,36,639
807712,0.06763,14,207
686527,0.01115,3,269
650490,0.00461,3,651
695600,0.0,0,69
695734,0.02279,8,351
694208,0.0,0,66
663538,0.04468,29,649
681987,0.1,9,90
663968,0.06308,27,428
669257,0.00459,2,436
677951,0.05531,38,687
518692,0.00957,6,627
802415,0.09977,44,441
647304,0.04967,30,604
665489,0.00882,6,680
650333,0.0163,11,675
805300,0.05983,14,234
701350,0.0132,4,303
676694,0.04199,16,381
642851,0.0,0,110
701762,0.00409,2,489
660670,0.02184,9,412
672695,0.0375,27,720
676475,0.00916,5,546
623168,0.01149,2,174
669065,0.01094,5,457
686217,0.03199,19,594
668930,0.03642,24,659
680977,0.00583,3,515
663330,0.01333,2,150
664761,0.00397,2,504
672580,0.03453,23,666
553882,0.0,0,10
640459,0.0,0,15
624513,0.0,0,7
672515,0.00647,2,309
642086,0.00889,2,225
671056,0.0177,8,452
669364,0.04362,27,619
665877,0.02857,2,70
606466,0.00719,4,556
608070,0.06538,44,673
668885,0.06077,11,181
672386,0.00198,1,506
660271,0.02751,20,727
665804,0.0,0,103
657656,0.01434,7,488
671289,0.04206,18,428
656811,0.00551,3,544
686475,0.36842,21,57
669016,0.01647,7,425
808975,0.07647,13,170
693307,0.0,0,469
696100,0.00173,1,579
676391,0.0102,6,588
664056,0.02196,11,501
687859,0.01653,2,121
669127,0.01338,7,523
669236,0.0,0,183
691016,0.01282,8,624
642708,0.00524,1,191
624641,0.00383,1,261
621043,0.0,0,584
592518,0.02065,14,678
686948,0.0,0,446
502671,0.00936,5,534
695391,0.0119,1,84
683002,0.04608,30,651
519317,0.0,0,281
670541,0.00503,1,199
691019,0.0101,3,297
608324,0.00202,1,495
624413,0.00141,1,709
621566,0.00138,1,724
641355,0.01982,13,656
680757,0.0303,21,693
687462,0.0,0,411
681624,0.02244,14,624
608369,0.00674,3,445
655316,0.01481,2,135
516782,0.02128,7,329
666160,0.01952,9,461
694192,0.03565,21,589
545121,0.0,0,121
608701,0.01435,3,209
666158,0.00199,1,503
700337,0.0,0,403
665487,0.04631,32,691
624428,0.01743,8,459
596019,0.04235,31,732
677594,0.04225,30,710
669743,0.00621,2,322
808982,0.01621,10,617
680777,0.00216,1,464
663656,0.04188,25,597
807799,0.01463,3,205
669720,0.01683,7,416
681715,0.0034,1,294
518934,0.0,0,142
593871,0.01145,6,524
514888,0.01529,10,654
676059,0.00284,1,352
641487,0.01223,8,654
672820,0.00368,2,544
683766,0.02094,4,191
621439,0.04428,24,542
694384,0.00887,5,564
691406,0.01072,7,653
686469,0.00147,1,682
682829,0.05293,37,699
701538,0.00207,1,483
592885,0.02484,16,644
686555,0.03628,16,441
665742,0.05315,38,715
640492,0.04762,1,21
596115,0.0474,31,654
593428,0.03623,20,552
643565,0.0,0,385
682622,0.02778,10,360
607043,0.01994,13,652
643396,0.03268,15,459
664702,0.04013,12,299
500743,0.01577,5,317
667670,0.00858,6,699
547180,0.02069,12,580
683737,0.00676,4,592
670770,0.01752,12,685
686765,0.01923,2,104
543510,0.0,0,137
693304,0.0,0,408
661388,0.0091,6,659
663586,0.00447,2,447
682998,0.04984,32,642
656716,0.03718,19,511
605170,0.00259,1,386
682985,0.00305,2,655
656976,0.00694,2,288
695336,0.01017,3,295
605141,0.01207,8,663
687597,0.03231,19,588
691176,0.05361,23,429
575929,0.00888,5,563
686676,0.0,0,40
687263,0.04693,26,554
592663,0.01455,8,550
682928,0.04882,31,635
664034,0.00204,1,490
595879,0.01144,5,437
681082,0.04286,24,560
673237,0.00176,1,567
680776,0.03448,24,696
671218,0.00863,6,695
595751,0.02564,1,39
664040,0.00542,3,553
702332,0.03557,18,506
682626,0.0,0,277
690993,0.00214,1,468
695578,0.02177,15,689
650402,0.00637,4,628
664728,0.00978,4,409
805904,0.05769,3,52
664770,0.00457,2,438
700250,0.00566,3,530
701398,0.0,0,58
683146,0.01852,8,432
670623,0.0,0,438
683734,0.0,0,447
805367,0.02772,14,505
642731,0.00606,1,165
665052,0.0,0,86
664059,0.06593,12,182
660644,0.02105,2,95
678662,0.01282,5,390
