batter,sb_per_pa_raw,sb,pa_ev
683090,0.0,0,1
682989,0.0,0,1
678225,0.25,1,4
665856,0.0,0,2
694224,0.0,0,4
683021,0.0,0,7
811965,0.0,0,62
681909,0.1,1,10
676551,0.0,0,23
672569,0.0,0,12
640492,0.05556,1,18
650559,0.0,0,46
672012,0.0,0,28
701785,0.0,0,63
691277,0.0,0,9
667452,0.0,0,6
683079,0.0,0,3
669392,0.05882,6,102
680664,0.0,0,72
703520,0.01351,1,74
670541,0.00172,1,580
650333,0.01808,10,553
677942,0.03659,9,246
683734,0.0,0,288
806367,0.03226,1,31
672640,0.05133,29,565
641820,0.0,0,14
802415,0.06931,35,505
693304,0.01344,7,521
672515,0.01139,5,439
656577,0.0,0,69
650490,0.00528,3,568
518692,0.01073,6,559
691182,0.0,0,13
686475,0.15748,20,127
673962,0.00253,1,396
676475,0.00531,3,565
671739,0.01758,9,512
650391,0.0,0,35
691783,0.05714,4,70
664983,0.05308,25,471
682927,0.02941,1,34
681198,0.0,0,526
543510,0.0,0,130
677951,0.07018,36,513
800050,0.01923,9,468
808982,0.02028,10,493
694197,0.01389,1,72
685133,0.0262,6,229
664034,0.00256,1,391
663968,0.05263,21,399
669134,0.0,0,168
691023,0.03214,18,560
689414,0.00629,3,477
669364,0.03375,19,563
663624,0.0,0,15
686894,0.01205,1,83
678882,0.03142,17,541
660271,0.01761,10,568
687859,0.01015,4,394
665487,0.05155,30,582
699393,0.03846,7,182
671277,0.00875,4,457
665742,0.0195,7,359
694192,0.03132,14,447
665161,0.02204,8,363
671976,0.0175,7,400
694362,0.03871,6,155
695506,0.01253,6,479
676391,0.00951,5,526
575929,0.00599,3,501
660688,0.00654,2,306
691406,0.00518,3,579
691594,0.02419,9,372
666018,0.0,0,565
622268,0.0107,2,187
701807,0.03592,19,529
621043,0.00709,1,141
805808,0.02065,12,581
813841,0.08475,5,59
545341,0.0,0,207
682988,0.02381,1,42
680977,0.00629,1,159
643396,0.05303,7,132
691718,0.05316,32,602
683227,0.0,0,54
686681,0.00546,2,366
640902,0.0,0,82
680777,0.00355,1,282
804606,0.08097,20,247
694384,0.00224,1,446
680757,0.01737,9,518
681508,0.0,0,152
686948,0.00611,3,491
624413,0.00862,5,580
807799,0.00673,2,297
