batter,sb_per_pa_raw,sb,pa_ev
663368,0.053,23,434
624413,0.00432,3,695
541645,0.0,0,51
672569,0.0625,3,48
656541,0.03165,5,158
687401,0.02153,11,511
608348,0.0,0,313
643446,0.01059,5,472
663330,0.02128,1,47
622534,0.01458,5,343
689172,0.00735,2,272
670623,0.00156,1,641
467793,0.00673,4,594
518595,0.00293,1,341
656896,0.00662,2,302
678554,0.01515,2,132
650391,0.0086,3,349
686780,0.00917,2,218
624424,0.0,0,488
669242,0.03922,6,153
657041,0.06061,32,528
682626,0.00292,1,342
543760,0.01114,8,718
691718,0.06585,27,410
664056,0.0389,17,437
681393,0.01546,3,194
668832,0.0,0,157
623993,0.00301,2,665
502110,0.0,0,495
700932,0.0,0,156
672275,0.00893,4,448
666018,0.0,0,143
656775,0.06413,32,499
668845,0.0,0,98
664034,0.00187,1,535
572138,0.0,0,405
543510,0.00429,1,233
572761,0.0,0,157
673490,0.04681,22,470
650559,0.00804,5,622
663647,0.02778,11,396
668904,0.0,0,325
660844,0.03488,3,86
657757,0.00399,2,501
691016,0.0,0,213
642086,0.00326,1,307
519317,0.0,0,459
657077,0.00322,2,621
457705,0.00583,3,515
571970,0.00341,1,293
682657,0.01775,3,169
665804,0.0,0,363
608841,0.00639,2,313
573262,0.00633,3,474
672580,0.05911,37,626
664913,0.01,4,400
682998,0.05117,35,684
665966,0.0,0,15
640902,0.0,0,40
670869,0.0,0,16
672284,0.01559,7,449
641658,0.0303,7,231
571771,0.0,0,393
664728,0.02582,11,426
622761,0.0625,13,208
665750,0.04348,23,529
677870,0.0,0,210
607680,0.03822,12,314
620443,0.0,0,130
669224,0.00242,1,414
683146,0.0,0,171
660688,0.00619,3,485
677941,0.05263,2,38
605113,0.00877,2,228
592669,0.00236,1,424
691594,0.0,0,36
643217,0.00575,3,522
519203,0.0,0,375
672279,0.05988,20,334
656582,0.00481,2,416
518735,0.00412,1,243
666163,0.00305,1,328
669134,0.0,0,299
663743,0.0,0,335
657557,0.00415,2,482
624503,0.01818,5,275
645444,0.0,0,114
676609,0.0911,44,483
666134,0.01684,5,297
665120,0.0,0,60
680777,0.00645,3,465
670770,0.02639,9,341
668942,0.02101,10,476
666182,0.01488,5,336
600869,0.00864,4,463
668715,0.03811,25,656
695257,0.02041,1,49
607043,0.02262,15,663
656180,0.00769,1,130
666969,0.01727,11,637
658668,0.0051,1,196
669127,0.00749,4,534
673357,0.05412,23,425
641943,0.01282,1,78
680700,0.06013,19,316
672356,0.03106,5,161
669208,0.07042,5,71
621563,0.02703,1,37
593160,0.05075,17,335
660644,0.01799,5,278
543877,0.00952,3,315
686554,0.02885,3,104
686797,0.01622,3,185
663611,0.01064,1,94
596142,0.0,0,280
543807,0.02606,16,614
545361,0.04762,6,126
641680,0.00204,1,491
663728,0.00955,6,628
680474,0.0305,14,459
543309,0.0076,2,263
694376,0.0,0,46
666160,0.01914,8,418
665019,0.0,0,120
679529,0.0,0,381
640492,0.06329,5,79
676694,0.02144,11,513
668227,0.03086,20,648
686611,0.09091,12,132
543685,0.02521,6,238
605204,0.0,0,157
683021,0.0,0,124
700242,0.01681,2,119
592178,0.0,0,155
669911,0.02183,10,458
678877,0.0,0,198
606115,0.00332,2,602
682177,0.01357,3,221
642180,0.05128,8,156
