captured_at,date,first_pitch_et,pitcher_name,pitcher_id,team,opp,home_away,park,game_pk,game_state,source,observed_source,rp3_rank,rp3_per_start,dq
2026-07-27T02:18:29+00:00,2026-07-28,7:10PM,Christian Scott,681035,NYM,ATL,home,NYM,823598,Preview,mlb_api,,286,7.33,marcel_il
2026-07-27T02:18:29+00:00,2026-07-28,7:40PM,Gerrit Cole,543037,NYY,CWS,away,CWS,824569,Preview,mlb_api,,28,13.28,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,7:40PM,Anthony Kay,641743,CWS,NYY,home,CWS,824569,Preview,mlb_api,,210,8.47,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,7:40PM,Seth Lugo,607625,KC,MIN,away,MIN,823676,Preview,mlb_api,,220,8.29,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,7:40PM,Taj Bradley,671737,MIN,KC,home,MIN,823676,Preview,mlb_api,,43,12.62,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,7:45PM,Colin Rea,607067,CHC,STL,away,STL,823026,Preview,mlb_api,,231,8.10,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,7:45PM,Michael McGreevy,700241,STL,CHC,home,STL,823026,Preview,observed,scoreboard_app_screenshot,296,7.09,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:38PM,Peter Lambert,663567,HOU,LAA,away,LAA,824003,Preview,mlb_api,,134,9.76,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:38PM,Reid Detmers,672282,LAA,HOU,home,LAA,824003,Preview,mlb_api,,38,12.80,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:40PM,Jake Bennett,687562,BOS,ATH,away,ATH,824976,Preview,mlb_api,,44,12.61,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:40PM,Gage Jump,695611,ATH,BOS,home,ATH,824976,Preview,mlb_api,,107,10.34,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:40PM,Michael Lorenzen,547179,COL,SD,away,SD,823275,Preview,mlb_api,,246,7.87,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:40PM,Michael King,650633,SD,COL,home,SD,823275,Preview,mlb_api,,69,11.50,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:45PM,Logan Henderson,701656,MIL,SF,away,SF,823193,Preview,mlb_api,,42,12.65,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,9:45PM,Landen Roupp,694738,SF,MIL,home,SF,823193,Preview,mlb_api,,81,11.18,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,10:10PM,Luis Castillo,622491,SEA,LAD,away,LAD,823923,Preview,observed,scoreboard_app_screenshot,64,11.79,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-28,10:10PM,Eric Lauer,641778,LAD,SEA,home,LAD,823923,Preview,observed,scoreboard_app_screenshot,203,8.59,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,12:10PM,Jesús Luzardo,666200,PHI,MIA,away,MIA,823837,Preview,mlb_api,,15,14.05,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,12:10PM,-,,MIA,PHI,home,MIA,823837,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,12:35PM,Eduardo Rodriguez,593958,AZ,PIT,away,PIT,823351,Preview,mlb_api,,323,6.48,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,12:35PM,Jared Jones,683003,PIT,AZ,home,PIT,823351,Preview,mlb_api,,21,13.71,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:05PM,Trey Yesavage,702056,TOR,WSH,away,WSH,822702,Preview,mlb_api,,60,11.92,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:05PM,Zack Littell,641793,WSH,TOR,home,WSH,822702,Preview,mlb_api,,245,7.87,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:10PM,Trevor Rogers,669432,BAL,DET,away,DET,824242,Preview,mlb_api,,103,10.45,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:10PM,Tarik Skubal,669373,DET,BAL,home,DET,824242,Preview,mlb_api,,2,16.96,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:10PM,Grant Holmes,656550,ATL,NYM,away,NYM,823596,Preview,mlb_api,,153,9.43,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,1:10PM,Sean Manaea,640455,NYM,ATL,home,NYM,823596,Preview,mlb_api,,330,6.25,data_driven_thin
2026-07-27T02:18:29+00:00,2026-07-29,3:45PM,Shane Drohan,675660,MIL,SF,away,SF,823192,Preview,mlb_api,,48,12.40,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,3:45PM,Logan Webb,657277,SF,MIL,home,SF,823192,Preview,mlb_api,,52,12.25,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,4:10PM,Gabriel Hughes,687312,COL,SD,away,SD,823273,Preview,mlb_api,,113,10.26,data_driven_thin
2026-07-27T02:18:29+00:00,2026-07-29,4:10PM,Griffin Canning,656288,SD,COL,home,SD,823273,Preview,observed,scoreboard_app_screenshot,133,9.84,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,6:40PM,-,,TEX,TB,away,TB,822947,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,6:40PM,Ian Seymour,693855,TB,TEX,home,TB,822947,Preview,observed,scoreboard_app_screenshot,40,12.68,data_driven_thin
2026-07-27T02:18:29+00:00,2026-07-29,7:10PM,Joey Cantillo,676282,CLE,CIN,away,CIN,824487,Preview,mlb_api,,54,12.23,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:10PM,Rhett Lowder,695076,CIN,CLE,home,CIN,824487,Preview,mlb_api,,283,7.35,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:40PM,Cam Schlittler,693645,NYY,CWS,away,CWS,824567,Preview,mlb_api,,8,15.18,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:40PM,Davis Martin,663436,CWS,NYY,home,CWS,824567,Preview,mlb_api,,114,10.24,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:40PM,-,,KC,MIN,away,MIN,823677,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,7:40PM,Joe Ryan,657746,MIN,KC,home,MIN,823677,Preview,mlb_api,,18,13.83,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:45PM,Matthew Boyd,571510,CHC,STL,away,STL,823022,Preview,mlb_api,,129,9.92,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,7:45PM,-,,STL,CHC,home,STL,823022,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,9:38PM,-,,HOU,LAA,away,LAA,824002,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,9:38PM,Grayson Rodriguez,680570,LAA,HOU,home,LAA,824002,Preview,mlb_api,,237,8.02,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,9:40PM,Patrick Sandoval,663776,BOS,ATH,away,ATH,824973,Preview,mlb_api,,174,8.98,data_driven_thin
2026-07-27T02:18:29+00:00,2026-07-29,9:40PM,Jacob Lopez,682052,ATH,BOS,home,ATH,824973,Preview,mlb_api,,194,8.71,data_driven_full
2026-07-27T02:18:29+00:00,2026-07-29,10:10PM,-,,SEA,LAD,away,LAD,823924,Preview,,,,,
2026-07-27T02:18:29+00:00,2026-07-29,10:10PM,-,,LAD,SEA,home,LAD,823924,Preview,,,,,
