Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid,Name
CLE,Guardians,150,567,640,154,90,34,3,27,90,91,63,18,76,4,6,0,7,28,6,0.271605,0.345313,0.485009,0.830321,0.346866,0.0984375,0.11875,0.828947,0.213404,5.89301,0.270213,,,93.1899,17.569,3.8,2.22526,2.22526,5.01553,20.835456609725952,6.151557922363281,124.672,902.3,6.015333333,902.3,6.015333333,6.28000020980835,0.175,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510,José Ramírez
TEX,Rangers,145,528,605,141,82,29,3,27,87,88,68,3,135,5,4,0,6,20,5,0.267045,0.353719,0.486742,0.840461,0.360439,0.112397,0.22314,0.503704,0.219697,5.73458,0.308108,,,94.7606,23.2752,8.6,0.948959,0.948959,4.92396,25.365838587284088,1.931128978729248,134.242,859.6,5.928275862,859.6,5.928275862,37.75,0.01156069,OF,/players/wyatt-langford/33333/stats/batting,13.0,AL,Wyatt Langford,694671,33333,33333,Wyatt Langford
ARI,Diamondbacks,152,574,660,147,80,27,13,27,112,92,69,3,145,10,5,2,5,35,6,0.256098,0.343465,0.489547,0.833012,0.355516,0.104545,0.219697,0.475862,0.233449,8.49153,0.29484,,,100.737,22.7532,7.2,3.51304,3.51304,4.84988,25.526031732559204,-0.07513236999511719,128.141,942.1,6.198026315,942.1,6.198026315,14.100000381469727,0.03351955,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878,Corbin Carroll
CHC,Cubs,152,559,612,143,84,28,6,25,90,92,32,1,149,9,6,6,3,31,8,0.255814,0.30363,0.461538,0.765169,0.326536,0.0522876,0.243464,0.214765,0.205725,7.59511,0.30179,,,79.0108,6.69833,13.4,2.10525,2.10525,4.72019,10.131127119064331,15.648676872253418,111.065,751.7,4.945394736,751.7,4.945394736,32.939998626708984,0.00510204,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769,Pete Crow-Armstrong
CIN,Reds,152,584,650,155,92,32,7,24,101,91,61,5,175,3,1,1,11,40,9,0.265411,0.337442,0.467466,0.804908,0.34491,0.0938462,0.269231,0.348571,0.202055,7.72444,0.339378,,,93.6133,16.8108,0.2,3.31749,3.31749,4.64315,16.39798140525818,7.364903166890144,116.979,885.1,5.823026315,885.1,5.823026315,8.449999809265137,0.02487562,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668,Elly De La Cruz
BAL,Orioles,134,490,559,125,79,27,1,18,65,64,61,2,89,3,5,0,9,1,0,0.255102,0.338104,0.42449,0.762594,0.331659,0.109123,0.159213,0.685393,0.169388,2.44806,0.275773,,,74.4938,8.44366,6.7,-0.730836,-0.730836,4.60499,8.793416798114777,16.969694137573242,114.456,657.1,4.903731343,657.1,4.903731343,148.92999267578125,0.1754386,C/DH,/players/adley-rutschman/26288/stats/batting,2.0,AL,Adley Rutschman,668939,26288,26288,Adley Rutschman
ATL,Braves,119,443,530,127,78,21,2,26,102,71,80,3,111,6,1,0,8,25,5,0.286682,0.401887,0.519187,0.921074,0.396277,0.150943,0.209434,0.720721,0.232506,6.37636,0.32899,,,98.4347,35.8111,-4.4,1.88954,1.88954,4.58508,37.42867124080658,-10.242151737213135,156.577,876.4,7.364705882,876.4,7.364705882,5.260000228881836,0.03875969,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401,Ronald Acuña Jr.
TOR,Blue Jays,126,416,473,112,81,18,0,13,42,60,47,2,59,4,6,0,15,1,0,0.269231,0.344609,0.40625,0.750859,0.328029,0.0993657,0.124736,0.79661,0.137019,1.51329,0.282857,,,61.6392,5.7506,13.9,-0.658218,-0.658218,4.54398,5.538038492202759,22.589740753173828,111.115,540.5,4.289682539,540.5,4.289682539,160.25,0.05384615,C,/players/alejandro-kirk/22581/stats/batting,14.0,AL,Alejandro Kirk,672386,22581,22581,Alejandro Kirk
LAD,Dodgers,138,497,581,132,76,25,2,29,87,92,78,5,83,3,2,1,9,20,3,0.265594,0.367241,0.498994,0.866235,0.370887,0.134251,0.142857,0.939759,0.2334,5.35389,0.26615,,,95.9299,27.2803,0.9,1.76799,1.76799,4.42449,29.425017952919006,-5.504321217536926,140.164,871.3,6.313768115,871.3,6.313768115,13.130000114440918,0.11176471,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345,Kyle Tucker
LAD,Dodgers,139,532,614,145,93,29,2,21,90,83,71,3,73,4,7,0,10,9,2,0.272556,0.358306,0.453008,0.811314,0.350629,0.115635,0.118893,0.972603,0.180451,4.58411,0.278652,,,91.2797,18.7309,-3.7,-0.108311,-0.108311,4.34936,19.02068880945444,3.068077325820923,126.286,809.4,5.823021582,809.4,5.823021582,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141,13611,13611,Mookie Betts
ARI,Diamondbacks,152,501,599,134,92,25,4,13,87,67,74,1,79,7,7,10,6,21,5,0.267465,0.365025,0.411178,0.776203,0.341562,0.123539,0.131886,0.936709,0.143713,6.04712,0.290865,,,84.6401,13.8636,1.5,1.01693,1.01693,4.3211,14.208762764930725,8.102733612060547,118.582,735.8,4.840789473,735.8,4.840789473,76.7699966430664,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15.0,NL,Geraldo Perdomo,672695,22799,22799,Geraldo Perdomo
TOR,Blue Jays,152,575,659,168,105,34,0,29,91,99,74,9,88,6,4,0,19,5,2,0.292174,0.376328,0.502609,0.878936,0.374743,0.112291,0.133536,0.840909,0.210435,2.72418,0.300866,,,110.872,33.0058,-1.2,-0.980929,-0.980929,4.29997,32.64579111337662,-13.306848764419556,143.294,980.9,6.453289473,980.9,6.453289473,18.049999237060547,0.14358974,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611,Vladimir Guerrero Jr.
ARI,Diamondbacks,132,490,564,132,78,27,3,24,82,78,62,5,94,7,5,0,11,5,1,0.269388,0.356383,0.483673,0.840056,0.359126,0.109929,0.166667,0.659574,0.214286,4.60482,0.286472,,,87.7374,21.0965,0.8,-0.346955,-0.346955,4.27135,20.11695024371147,2.8723104596138,130.614,783.9,5.938636363,783.9,5.938636363,32.63999938964844,0.16981132,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466,13613,13613,Ketel Marte
PHI,Phillies,137,554,604,156,106,29,4,17,87,71,42,1,111,5,3,0,10,25,4,0.281588,0.336093,0.440433,0.776526,0.33628,0.0695364,0.183775,0.378378,0.158845,6.50968,0.324009,,,82.7564,11.3891,2.1,2.35848,2.35848,4.24279,12.621898174285889,8.757848262786865,114.337,763.6,5.573722627,763.6,5.573722627,26.780000686645508,0.00561798,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208,16252,16252,Trea Turner
SFG,Giants,135,476,547,118,65,28,2,23,77,66,61,1,134,7,3,0,8,7,2,0.247899,0.340037,0.460084,0.800121,0.346126,0.111517,0.244973,0.455224,0.212185,4.65745,0.295031,,,79.3193,14.687,5.0,-0.290456,-0.290456,4.21282,15.972817599773407,7.009847164154053,125.086,705.3,5.224444444,705.3,5.224444444,163.6199951171875,0.00606061,3B,/players/matt-chapman/16505/stats/batting,30.0,NL,Matt Chapman,656305,16505,16505,Matt Chapman
TEX,Rangers,115,431,493,113,68,22,0,23,66,68,55,8,93,4,3,0,10,2,0,0.262181,0.348884,0.473318,0.822202,0.350093,0.111562,0.188641,0.591398,0.211137,2.56389,0.283019,,,73.0769,14.8252,3.2,-0.385599,-0.385599,4.19254,15.369921565055847,8.634303331375122,127.115,662.6,5.76173913,662.6,5.76173913,95.08999633789062,0.03597122,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624,Corey Seager
NYM,Mets,139,554,599,161,110,33,1,17,72,80,39,1,99,3,3,0,18,6,4,0.290614,0.338898,0.445848,0.784747,0.339534,0.0651085,0.165275,0.393939,0.155235,3.07605,0.326531,,,83.6541,12.8776,4.8,-1.43492,-1.43492,4.1679,13.813213467597961,7.000911474227905,121.478,735.0,5.287769784,735.0,5.287769784,92.86000061035156,0.04444444,SS,/players/bo-bichette/19612/stats/batting,25.0,NL,Bo Bichette,666182,19612,19612,Bo Bichette
TBR,Rays,152,579,631,156,92,28,1,35,81,113,43,1,118,4,5,0,24,6,1,0.26943,0.321712,0.502591,0.824302,0.350889,0.0681458,0.187005,0.364407,0.233161,3.6286,0.280742,,,93.9403,19.3827,-2.1,-0.120548,-0.120548,4.1636,18.751645907759666,0.2184891700744629,125.376,860.1,5.658552631,860.1,5.658552631,16.479999542236328,0.03108808,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163,Junior Caminero
SDP,Padres,138,500,546,138,85,27,5,21,71,77,35,2,105,3,5,3,5,6,3,0.276,0.324125,0.476,0.800125,0.341035,0.0641026,0.192308,0.333333,0.2,4.99895,0.308707,,,76.9175,12.4034,5.4,-0.827355,-0.827355,4.05017,14.019984126091003,7.40617299079895,122.944,694.0,5.028985507,694.0,5.028985507,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538,29490,29490,Jackson Merrill
CHC,Cubs,152,582,635,162,120,28,4,10,82,64,39,1,59,10,4,0,9,26,6,0.278351,0.332283,0.391753,0.724036,0.317277,0.0614173,0.0929134,0.661017,0.113402,6.03486,0.294004,,,77.2068,2.17667,10.9,1.63381,1.63381,4.04557,5.187913417816162,13.23318600654602,104.722,702.8,4.62368421,702.8,4.62368421,101.93000030517578,0.0,2B/SS,/players/nico-hoerner/21479/stats/batting,17.0,NL,Nico Hoerner,663538,21479,21479,Nico Hoerner
SFG,Giants,152,567,643,134,80,28,1,25,82,83,66,2,158,4,6,0,10,11,3,0.236332,0.317263,0.421517,0.73878,0.320297,0.102644,0.245723,0.417722,0.185185,4.32221,0.279487,,,79.7559,3.78049,4.8,-0.00559974,-0.00559974,3.98014,5.627760164439678,11.887742519378662,107.392,727.8,4.788157894,727.8,4.788157894,133.92999267578125,0.00510204,SS,/players/willy-adames/15986/stats/batting,30.0,NL,Willy Adames,642715,15986,15986,Willy Adames
ATL,Braves,123,433,485,115,70,23,2,20,55,70,46,1,94,5,1,0,10,0,0,0.265589,0.342268,0.466513,0.808781,0.349603,0.0948454,0.193814,0.489362,0.200924,2.06928,0.296875,,,71.6981,14.3916,-0.1,-0.792201,-0.792201,3.91775,13.350556492805481,8.810200117528439,124.604,630.1,5.122764227,630.1,5.122764227,78.62999725341797,0.17105263,C,/players/drake-baldwin/31539/stats/batting,16.0,NL,Drake Baldwin,686948,31539,31539,Drake Baldwin
LAA,Angels,146,530,596,134,76,32,1,25,85,83,43,4,148,18,3,2,10,24,9,0.25283,0.328283,0.458491,0.786773,0.338327,0.0721477,0.248322,0.290541,0.20566,5.59927,0.302778,,,82.6508,12.2288,-0.7,0.236322,0.236322,3.90471,11.775054037570953,5.869664967060089,116.426,757.3,5.186986301,757.3,5.186986301,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1.0,AL,Zach Neto,687263,31347,31347,Zach Neto
BOS,Red Sox,152,584,648,152,84,40,9,19,88,80,52,1,154,8,3,1,5,24,5,0.260274,0.327666,0.457192,0.784858,0.337792,0.0802469,0.237654,0.337662,0.196918,7.33066,0.321256,,,89.5807,13.0145,10.6,1.80837,1.80837,3.84028,11.767592072486877,3.4571433067321777,113.04,824.7,5.425657894,824.7,5.425657894,64.04000091552734,0.03414634,OF,/players/jarren-duran/24617/stats/batting,3.0,AL,Jarren Duran,680776,24617,24617,Jarren Duran
NYY,Yankees,143,542,604,147,94,27,3,23,84,92,48,3,87,4,10,0,8,12,3,0.271218,0.32947,0.45941,0.78888,0.336718,0.0794702,0.14404,0.551724,0.188192,5.15874,0.280543,,,82.9714,11.6041,10.6,0.227409,0.227409,3.83789,12.774065241217613,3.9421520233154297,117.625,763.2,5.337062937,763.2,5.337062937,80.98999786376953,0.0,1B/OF,/players/cody-bellinger/15998/stats/batting,9.0,AL,Cody Bellinger,641355,15998,15998,Cody Bellinger
ATL,Braves,152,567,603,157,102,30,5,20,73,79,25,1,116,5,4,2,8,21,5,0.276896,0.311148,0.453263,0.764411,0.3274,0.0414594,0.192371,0.215517,0.176367,6.17048,0.314943,,,78.2722,7.0231,7.1,1.28759,1.28759,3.8237,8.001254796981812,9.315608263015747,109.394,731.6,4.813157894,731.6,4.813157894,99.06999969482422,0.015625,OF,/players/michael-harris-ii/25931/stats/batting,16.0,NL,Michael Harris II,671739,25931,25931,Michael Harris II
CHC,Cubs,148,546,603,132,86,25,2,19,78,73,51,1,154,3,3,0,9,14,3,0.241758,0.308458,0.399267,0.707725,0.308647,0.0845771,0.25539,0.331169,0.157509,5.17118,0.300532,,,69.0912,-2.15794,9.9,0.653815,0.653815,3.72485,-0.19610309600830078,16.54682493209839,98.8108,635.9,4.296621621,635.9,4.296621621,152.30999755859375,0.00507614,SS,/players/dansby-swanson/18314/stats/batting,17.0,NL,Dansby Swanson,621020,18314,18314,Dansby Swanson
SDP,Padres,147,562,622,147,94,28,0,25,79,88,53,4,124,2,5,0,18,9,2,0.261566,0.324759,0.44484,0.769599,0.330522,0.085209,0.199357,0.427419,0.183274,3.59713,0.291866,,,82.3148,8.82066,1.7,0.0237226,0.0237226,3.71413,11.628493251278996,3.9854204654693604,115.742,753.9,5.128571428,753.9,5.128571428,37.52000045776367,0.07692308,3B,/players/manny-machado/11493/stats/batting,29.0,NL,Manny Machado,592518,11493,11493,Manny Machado
MIN,Twins,118,422,473,105,53,22,4,26,76,70,38,3,134,9,4,0,2,14,0,0.248815,0.321353,0.504739,0.826092,0.349622,0.0803383,0.283298,0.283582,0.255924,7.38898,0.296992,,,69.9316,14.043,2.1,2.15964,2.15964,3.6845,15.889220476150513,3.837948203086853,124.628,664.6,5.632203389,664.6,5.632203389,73.4800033569336,0.08024691,OF,/players/byron-buxton/14161/stats/batting,8.0,AL,Byron Buxton,621439,14161,14161,Byron Buxton
ATH,Athletics,138,496,546,128,68,28,1,31,73,97,42,1,122,4,4,0,11,4,1,0.258065,0.318681,0.506048,0.82473,0.350534,0.0769231,0.223443,0.344262,0.247984,3.48446,0.279539,,,81.1287,16.6146,-7.6,-0.355507,-0.355507,3.66277,14.570641905069351,2.430863857269287,123.194,741.9,5.376086956,741.9,5.376086956,54.04999923706055,0.15,C,/players/shea-langeliers/25816/stats/batting,10.0,AL,Shea Langeliers,669127,25816,25816,Shea Langeliers
BAL,Orioles,152,579,656,158,87,35,1,35,81,106,56,6,142,13,8,0,21,2,1,0.272884,0.346037,0.518135,0.864171,0.365298,0.0853659,0.216463,0.394366,0.24525,2.47653,0.3,,,105.337,27.8253,-3.0,-0.999768,-0.999768,3.64513,28.093592405319214,-15.05173397064209,137.629,950.0,6.25,950.0,6.25,24.440000534057617,0.03482587,1B,/players/pete-alonso/19251/stats/batting,2.0,AL,Pete Alonso,624413,19251,19251,Pete Alonso
BOS,Red Sox,136,502,590,132,84,27,3,18,88,74,79,1,146,5,4,0,5,7,4,0.262948,0.366102,0.436255,0.802357,0.35127,0.133898,0.247458,0.541096,0.173307,4.60154,0.333333,,,88.0191,18.306,7.3,-1.34055,-1.34055,3.61096,14.183713555335999,0.7964730262756348,122.325,755.9,5.558088235,755.9,5.558088235,50.75,0.30097087,DH/OF,/players/roman-anthony/31812/stats/batting,3.0,AL,Roman Anthony,701350,31812,31812,Roman Anthony
LAD,Dodgers,118,415,487,106,66,20,2,18,65,62,56,3,96,9,7,0,8,2,1,0.255422,0.351129,0.443374,0.794503,0.343531,0.11499,0.197125,0.583333,0.187952,3.52921,0.285714,,,69.5928,12.05,-1.4,-0.854532,-0.854532,3.60712,11.511263489723206,7.546943306922913,121.424,613.2,5.196610169,613.2,5.196610169,95.69000244140625,0.00757576,C,/players/will-smith/19197/stats/batting,22.0,NL,Will Smith,669257,19197,19197,Will Smith
HOU,Astros,142,543,593,146,101,27,2,16,72,67,34,1,107,11,3,2,11,16,4,0.268877,0.323181,0.414365,0.737546,0.321112,0.0573356,0.180438,0.317757,0.145488,5.15648,0.307329,,,73.9468,3.87924,2.7,0.604688,0.604688,3.54778,5.022848427295685,9.23659634590149,106.321,668.9,4.71056338,668.9,4.71056338,122.9800033569336,0.01470588,SS,/players/jeremy-pena/21636/stats/batting,21.0,AL,Jeremy Peña,665161,21636,21636,Jeremy Peña
DET,Tigers,148,556,619,148,88,29,3,28,82,96,55,2,169,4,4,0,10,3,2,0.266187,0.33441,0.480216,0.814626,0.34894,0.088853,0.273021,0.325444,0.214029,3.71491,0.330579,,,91.1742,18.0346,3.3,-1.17628,-1.17628,3.54069,16.8181893825531,-3.5231921672821045,124.665,814.3,5.502027027,814.3,5.502027027,78.4800033569336,0.13793103,OF,/players/riley-greene/25976/stats/batting,6.0,AL,Riley Greene,682985,25976,25976,Riley Greene
SFG,Giants,121,389,431,89,61,17,2,9,44,46,33,0,111,2,5,2,10,2,0,0.228792,0.289044,0.352185,0.641229,0.281768,0.0765661,0.257541,0.297297,0.123393,3.78768,0.291971,,,39.9778,-10.9482,21.7,-0.233761,-0.233761,3.47999,-9.939991861581802,29.61813735961914,80.9989,363.5,3.004132231,363.5,3.004132231,747.8900146484375,0.0,C,/players/patrick-bailey/27478/stats/batting,30.0,NL,Patrick Bailey,672275,27478,27478,Patrick Bailey
LAD,Dodgers,138,523,599,151,92,36,2,21,82,80,63,8,110,8,5,0,10,8,2,0.288719,0.370618,0.48566,0.856277,0.365507,0.105175,0.183639,0.572727,0.196941,4.24358,0.327456,,,96.2856,25.5092,-1.0,-0.242294,-0.242294,3.435,25.65527930855751,-12.004555702209473,136.479,858.4,6.220289855,858.4,6.220289855,67.87999725341797,0.0,1B,/players/freddie-freeman/5361/stats/batting,22.0,NL,Freddie Freeman,518692,5361,5361,Freddie Freeman
KCR,Royals,152,567,632,152,106,31,4,11,82,69,54,0,95,1,7,3,12,25,7,0.268078,0.329094,0.395062,0.724156,0.316624,0.085443,0.150316,0.568421,0.126984,6.07386,0.301282,,,76.5069,1.83124,8.6,1.07051,1.07051,3.42561,0.8004469275474548,10.922163724899292,99.6374,693.2,4.560526315,693.2,4.560526315,63.150001525878906,0.02803738,3B,/players/maikel-garcia/22715/stats/batting,7.0,AL,Maikel Garcia,672580,22715,22715,Maikel Garcia
CLE,Guardians,152,583,654,165,125,26,4,10,85,63,59,1,58,6,3,3,6,17,5,0.283019,0.353303,0.392796,0.746099,0.329235,0.0902141,0.088685,1.01724,0.109777,5.22088,0.299228,,,85.8664,8.59121,-1.2,0.104697,0.104697,3.42538,9.75986360758543,1.202998161315918,112.526,746.5,4.91118421,746.5,4.91118421,169.60000610351562,0.02,OF,/players/steven-kwan/24610/stats/batting,5.0,AL,Steven Kwan,680757,24610,24610,Steven Kwan
PIT,Pirates,133,532,593,136,94,24,3,15,96,81,35,1,151,21,3,2,6,30,9,0.255639,0.324873,0.396617,0.72149,0.316924,0.0590219,0.254637,0.231788,0.140977,7.30324,0.327913,,,71.9303,1.86273,5.0,1.33069,1.33069,3.3923,1.896312654018402,11.536596298217773,100.805,657.1,4.940601503,657.1,4.940601503,999.0,0.0,SS,/players/konnor-griffin/35376/stats/batting,27.0,NL,Konnor Griffin,804606,35376,35376,Konnor Griffin
ATH,Athletics,152,556,626,153,85,32,2,34,83,111,60,3,157,6,4,0,9,7,1,0.27518,0.34984,0.523381,0.873222,0.371196,0.0958466,0.250799,0.382166,0.248201,3.98452,0.322493,,,103.517,29.5501,0.0,0.0134349,0.0134349,3.38446,27.62774419039488,-16.10082244873047,137.427,933.1,6.138815789,933.1,6.138815789,42.11000061035156,0.83695652,DH/OF,/players/brent-rooker/19627/stats/batting,10.0,AL,Brent Rooker,667670,19627,19627,Brent Rooker
CIN,Reds,141,511,580,127,80,24,3,20,79,75,57,0,158,7,3,2,8,18,4,0.248532,0.33045,0.424658,0.755107,0.329777,0.0982759,0.272414,0.360759,0.176125,5.93733,0.318452,,,76.4057,7.87422,5.9,1.01129,1.01129,3.36393,5.556919097900391,8.031099557876587,106.613,689.9,4.892907801,689.9,4.892907801,144.3000030517578,0.01612903,2B,/players/matt-mclain/29695/stats/batting,18.0,NL,Matt McLain,680574,29695,29695,Matt McLain
KCR,Royals,140,521,585,129,84,23,4,18,70,73,57,1,155,2,4,1,7,8,1,0.247601,0.321918,0.410749,0.732666,0.319203,0.0974359,0.264957,0.367742,0.163148,5.16365,0.315341,,,72.0423,2.91999,0.7,0.253045,0.253045,3.35753,1.228002518415451,11.44735449552536,101.414,649.5,4.639285714,649.5,4.639285714,999.0,0.45283019,C/DH,/players/carter-jensen/29478/stats/batting,7.0,AL,Carter Jensen,695600,29478,29478,Carter Jensen
ATL,Braves,126,489,543,129,76,26,2,25,73,72,43,1,139,7,4,0,11,2,1,0.263804,0.32965,0.478528,0.808178,0.346522,0.0791897,0.255985,0.309353,0.214724,3.50832,0.316109,,,78.9141,14.7545,-1.2,-0.834727,-0.834727,3.32481,13.641141593456268,0.7951499223709106,122.493,706.2,5.604761904,706.2,5.604761904,59.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16.0,NL,Austin Riley,663586,18360,18360,Austin Riley
STL,Cardinals,140,543,597,137,96,26,3,12,81,60,43,0,113,5,4,2,8,11,4,0.252302,0.310924,0.377532,0.688457,0.302199,0.0720268,0.18928,0.380531,0.12523,5.29866,0.296209,,,65.2782,-5.26198,10.1,-0.38871,-0.38871,3.31831,-4.1039875745773315,16.68068838119507,94.7492,583.2,4.165714285,583.2,4.165714285,364.7799987792969,0.0,SS,/players/masyn-winn/27479/stats/batting,28.0,NL,Masyn Winn,691026,27479,27479,Masyn Winn
