Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid,Name
NYY,Yankees,142,502,624,146,75,26,1,44,108,120,111,22,156,6,5,0,14,8,2,0.290837,0.421474,0.609562,1.03104,0.424978,0.177885,0.25,0.711538,0.318725,3.79863,0.332248,,,130.434,56.7034,5.5,-0.341319,-0.341319,7.92321,57.33580094575882,-1.3783068656921387,178.424,1170.9,8.245774647,1170.9,8.245774647,1.850000023841858,0.31052632,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640,Aaron Judge
SEA,Mariners,152,537,621,124,62,22,0,40,83,107,75,9,172,5,4,0,7,6,2,0.230912,0.328502,0.495345,0.823847,0.348035,0.120773,0.276973,0.436047,0.264432,2.91451,0.255319,,,91.0123,17.6364,9.9,-0.497057,-0.497057,6.62498,22.063117623329163,21.308730125427246,130.823,843.0,5.546052631,843.0,5.546052631,18.729999542236328,0.24489796,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534,Cal Raleigh
KCR,Royals,152,594,656,172,100,37,8,27,99,94,49,5,113,6,7,0,8,32,9,0.289562,0.346037,0.515152,0.861188,0.364065,0.0746951,0.172256,0.433628,0.225589,7.19368,0.314534,,,104.68,27.1682,7.1,1.72409,1.72409,6.50991,26.711161255836487,14.331040382385254,132.318,976.5,6.424342105,976.5,6.424342105,3.0999999046325684,0.02030457,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764,Bobby Witt Jr.
LAD,Dodgers,152,590,693,168,85,30,5,48,134,131,94,17,168,5,4,0,6,29,5,0.284746,0.385281,0.59661,0.981892,0.407005,0.135642,0.242424,0.559524,0.311864,7.05028,0.31746,,,134.744,52.8612,0.0,2.64993,2.64993,6.29322,55.96046161651611,-17.5,164.906,1255.6,8.260526315,1255.6,8.260526315,1.2699999809265137,0.90610329,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755,Shohei Ohtani
NYM,Mets,152,531,666,143,81,24,2,36,108,102,127,9,117,3,4,1,14,22,4,0.269303,0.410526,0.525424,0.93595,0.399084,0.190691,0.175676,1.08547,0.256121,5.06114,0.280105,,,125.211,46.5184,-6.9,1.42839,1.42839,5.98451,50.58246052265167,-14.241270065307617,162.272,1109.8,7.301315789,1109.8,7.301315789,4.650000095367432,0.07692308,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123,Juan Soto
SEA,Mariners,152,603,663,164,104,29,2,29,96,99,48,5,149,10,2,0,12,27,7,0.271973,0.334842,0.470978,0.80582,0.34542,0.0723982,0.224736,0.322148,0.199005,5.73421,0.316159,,,95.7602,17.4216,6.7,1.49692,1.49692,5.74361,24.175315976142883,9.136066913604736,129.022,889.2,5.85,889.2,5.85,9.489999771118164,0.00502513,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697,Julio Rodríguez
NYM,Mets,151,595,673,155,96,31,2,26,100,90,60,2,124,12,6,0,8,23,4,0.260504,0.337296,0.45042,0.787716,0.34044,0.089153,0.18425,0.483871,0.189916,5.84035,0.286031,,,94.4838,14.9637,5.7,1.86605,1.86605,5.62674,19.493080377578735,13.118430137634277,122.099,867.2,5.743046357,867.2,5.743046357,25.350000381469727,0.01086957,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916,Francisco Lindor
SDP,Padres,149,564,646,153,94,29,2,28,102,86,74,4,128,6,2,0,11,24,6,0.271277,0.360681,0.478723,0.839405,0.361692,0.114551,0.198142,0.578125,0.207447,5.58544,0.304878,,,101.839,25.5093,9.6,1.22061,1.22061,5.4826,29.621475100517273,2.479188919067383,137.094,920.3,6.176510067,920.3,6.176510067,14.010000228881836,0.01036269,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709,Fernando Tatis Jr.
BAL,Orioles,152,572,647,156,93,31,6,26,96,87,65,3,139,6,4,0,6,21,4,0.272727,0.35085,0.484266,0.835116,0.35801,0.100464,0.214838,0.467626,0.211538,6.51215,0.316302,,,100.063,23.6149,-2.4,1.49906,1.49906,5.46064,26.36466372013092,4.7318339347839355,132.608,911.8,5.99868421,911.8,5.99868421,12.510000228881836,0.05759162,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289,Gunnar Henderson
MIL,Brewers,152,565,647,153,101,31,1,20,87,83,75,4,124,3,4,0,18,6,2,0.270796,0.357032,0.435398,0.792431,0.344522,0.11592,0.191654,0.604839,0.164602,3.61942,0.312941,,,92.9776,16.5296,1.5,-0.774328,-0.774328,5.24544,16.36304533481598,13.386390686035156,122.348,815.2,5.363157894,815.2,5.363157894,56.560001373291016,0.13903743,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503,William Contreras
