Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid,Name
DET,Tigers,12,9,27,27,0,0,,173.0,727,156,76,70,15,152,59,0,8,3.64162,1.24277,7.90751,3.06936,2.57627,0.780347,0.209078,0.0811554,0.12792296707630157,,0.236364,0.286004,0.716495,3.66693,793.1,4.584393063583815,773.0,4.468208092485549,3.02326,3.13639,81.13999938964844,6.0,AL,Framber Valdez,664285,17295,17295,Framber Valdez
MIN,Twins,11,9,28,28,0,0,,154.7,629,134,70,65,22,168,36,0,9,3.78151,1.0989,9.77376,2.09438,4.66667,1.2799,0.267091,0.0572337,0.20985691249370575,,0.229452,0.284264,0.718391,3.68459,726.7799774169922,4.697996068223261,688.4999847412109,4.450549439710471,2.97197,2.61913,78.52999877929688,8.0,AL,Joe Ryan,657746,21390,21390,Joe Ryan
SEA,Mariners,11,7,27,27,0,0,,147.7,606,136,64,59,17,145,28,0,6,3.59513,1.11036,8.83548,1.70616,5.17857,1.03588,0.239274,0.0462046,0.19306930154561996,,0.237762,0.290244,0.713267,3.35856,718.2799774169922,4.863100827745417,705.4999847412109,4.7765741321473145,2.95374,2.2735,64.58000183105469,11.0,AL,George Kirby,669923,25436,25436,George Kirby
TEX,Rangers,10,7,26,26,0,0,,144.7,573,119,61,56,20,155,35,0,2,3.48307,1.06427,9.64064,2.17692,4.42857,1.24395,0.270506,0.061082,0.20942408964037895,,0.222015,0.274238,0.738095,3.5567,714.3799774169923,4.936972995739034,662.4999847412109,4.578438139001349,2.94718,2.7882,50.0099983215332,13.0,AL,Jacob deGrom,594798,10954,10954,Jacob deGrom
TOR,Blue Jays,11,9,28,28,0,0,,162.0,676,152,74,68,21,158,46,1,2,3.77778,1.22222,8.77778,2.55556,3.43478,1.16667,0.233728,0.0680473,0.16568047553300858,,0.242038,0.291759,0.735469,3.75859,717.3,4.427777777777777,709.0,4.3765432098765435,2.94519,2.56189,112.94999694824219,14.0,AL,Kevin Gausman,592332,14107,14107,Kevin Gausman
BOS,Red Sox,10,8,27,27,0,0,,152.7,643,147,69,64,19,157,42,0,5,3.7721,1.23772,9.25344,2.47544,3.7381,1.11984,0.244168,0.0653188,0.17884915322065353,,0.246644,0.304762,0.738916,3.61975,687.079977416992,4.49954152684023,689.4999847412109,4.51538964322912,2.93172,2.83985,138.08999633789062,3.0,AL,Sonny Gray,543243,12768,12768,Sonny Gray
SEA,Mariners,9,6,29,30,0,0,,160.7,648,134,66,61,21,174,40,1,5,3.4163,1.08276,9.74487,2.2402,4.35,1.1761,0.268519,0.0617284,0.20679011195898056,,0.222222,0.276961,0.746888,3.5085,795.4799774169923,4.950093295105651,743.4999847412109,4.626633471441044,2.9195,2.87873,37.150001525878906,11.0,AL,Logan Gilbert,669302,22250,22250,Logan Gilbert
KCR,Royals,7,6,21,23,0,0,,115.7,480,95,50,46,12,143,40,0,3,3.57822,1.16681,11.1236,3.1115,3.575,0.933449,0.297917,0.0833333,0.21458334475755692,,0.217391,0.294326,0.71912,3.12649,618.5799774169922,5.346413083257995,579.4999847412109,5.00864304257888,2.91318,2.30679,48.15999984741211,7.0,AL,Cole Ragans,666142,21846,21846,Cole Ragans
ATL,Braves,8,5,21,22,0,0,,124.3,514,107,48,44,13,147,33,0,8,3.18584,1.12631,10.6436,2.38938,4.45455,0.941271,0.285992,0.0642023,0.2217898741364479,,0.226216,0.300319,0.755337,3.11905,652.7200225830079,5.251166585339656,623.5000152587891,5.016090104190643,2.9009,3.13572,39.36000061035156,16.0,NL,Chris Sale,519242,10603,10603,Chris Sale
MIN,Twins,10,7,25,25,0,0,,141.3,589,131,63,58,16,141,37,0,6,3.69427,1.18896,8.98089,2.35669,3.81081,1.01911,0.239389,0.0628183,0.17657046020030975,,0.239927,0.29563,0.721154,3.52438,661.2200225830078,4.679547121742132,651.5000152587891,4.6107572624761115,2.80107,2.49286,743.4000244140625,8.0,AL,Pablo López,641154,17085,17085,Pablo López
ATL,Braves,11,9,24,25,0,0,,137.3,573,117,63,58,17,166,45,0,6,3.80189,1.1799,10.8813,2.94974,3.68889,1.11435,0.289703,0.078534,0.2111692801117897,,0.224138,0.294985,0.716353,3.44104,681.7200225830079,4.965185778808911,644.5000152587891,4.694100516631691,2.73512,2.37502,124.86000061035156,16.0,NL,Spencer Strider,675911,27498,27498,Spencer Strider
PHI,Phillies,9,5,21,21,0,0,,128.7,524,110,53,49,14,133,35,0,6,3.42657,1.12665,9.3007,2.44755,3.8,0.979021,0.253817,0.0667939,0.1870228871703148,,0.227743,0.285714,0.733652,3.43817,637.1799774169922,4.950893492819892,604.4999847412109,4.696969689784187,2.69845,2.96235,110.48999786376953,26.0,NL,Zack Wheeler,554430,10310,10310,Zack Wheeler
NYM,Mets,12,10,31,31,0,0,,161.0,668,133,75,69,21,175,61,0,7,3.85714,1.20497,9.78261,3.40994,2.86885,1.17391,0.261976,0.0913174,0.1706586703658104,,0.221667,0.277228,0.722965,3.92396,733.3000000000002,4.554658385093169,678.0,4.211180124223603,2.65409,2.37279,56.36000061035156,25.0,NL,Freddy Peralta,642547,18679,18679,Freddy Peralta
CLE,Guardians,11,9,28,28,0,0,,165.0,686,150,72,67,21,154,46,0,7,3.65455,1.18788,8.4,2.50909,3.34783,1.14545,0.22449,0.0670554,0.1574343964457512,,0.236967,0.281659,0.744298,3.88665,721.7,4.373939393939394,701.0,4.248484848484848,2.64343,2.92867,188.6300048828125,5.0,AL,Tanner Bibee,676440,30134,30134,Tanner Bibee
ARI,Diamondbacks,11,6,25,25,0,0,,155.0,634,132,59,55,15,144,48,0,6,3.19355,1.16129,8.36129,2.7871,3.0,0.870968,0.227129,0.0757098,0.15141955763101578,,0.227586,0.27791,0.761006,3.5803,745.3,4.808387096774193,706.0,4.554838709677419,2.55178,4.06845,738.0999755859375,15.0,NL,Corbin Burnes,669203,19361,19361,Corbin Burnes
TBR,Rays,8,5,20,20,0,0,,112.3,454,96,44,41,13,118,30,1,2,3.28584,1.12199,9.45681,2.40427,3.93333,1.04185,0.259912,0.0660793,0.19383259862661362,,0.227488,0.285223,0.760668,3.39337,561.5200225830079,5.000178159605299,532.5000152587891,4.741763141478863,2.54741,2.65476,182.99000549316406,12.0,AL,Shane McClanahan,663556,21483,21483,Shane McClanahan
MIA,Marlins,10,9,26,26,0,0,,160.3,663,148,78,72,17,132,44,1,6,4.04242,1.19775,7.4111,2.47037,3.0,0.95446,0.199095,0.066365,0.13273001462221146,,0.241436,0.282328,0.677765,3.80263,706.320022583008,4.406238360176143,694.5000152587891,4.3325015722834905,2.54237,2.39237,144.57000732421875,20.0,NL,Sandy Alcantara,645261,18684,18684,Sandy Alcantara
PHI,Phillies,9,8,24,24,0,0,,140.3,582,133,70,65,20,140,34,0,4,4.16964,1.19031,8.98075,2.18104,4.11765,1.28297,0.24055,0.0584192,0.1821305900812149,,0.244485,0.294271,0.697842,3.80513,612.420022583008,4.365074905644024,607.5000152587891,4.330007142157205,2.51834,1.93563,205.52999877929688,26.0,NL,Aaron Nola,605400,16149,16149,Aaron Nola
CIN,Reds,11,12,31,31,0,0,,164.3,703,156,88,81,22,156,54,0,11,4.43701,1.27815,8.54534,2.958,2.88889,1.20511,0.221906,0.0768137,0.1450924575328827,,0.244514,0.291304,0.680804,4.16374,656.6200225830079,3.996469935403223,652.5000152587891,3.9713938109498295,2.49006,1.93823,388.25,18.0,NL,Brady Singer,663903,25377,25377,Brady Singer
CIN,Reds,7,6,21,27,0,1,,104.3,433,92,48,44,14,122,29,0,0,3.79674,1.16012,10.5273,2.5024,4.2069,1.20805,0.281755,0.0669746,0.21478061378002167,,0.227723,0.291045,0.719921,3.37483,521.4200225830077,4.999233052028372,500.50001525878906,4.7986577240119646,2.47415,1.95086,109.72000122070312,18.0,NL,Chase Burns,695505,35333,35333,Chase Burns
ATL,Braves,8,5,20,20,0,0,,124.7,500,111,51,47,15,122,23,1,5,3.39214,1.07458,8.80513,1.65998,5.30435,1.0826,0.244,0.046,0.1980000026524067,,0.235169,0.286567,0.734513,3.41581,609.6799774169921,4.889173956195404,588.4999847412109,4.719326376451099,2.43683,2.84614,743.1900024414062,16.0,NL,Spencer Schwellenbach,680885,31846,31846,Spencer Schwellenbach
KCR,Royals,8,6,19,23,0,1,,107.0,457,99,45,42,9,107,36,2,3,3.53271,1.26168,9.0,3.02804,2.97222,0.757009,0.234136,0.0787746,0.15536105632781982,,0.236842,0.298013,0.735294,3.32205,524.7,4.90373831775701,519.0,4.850467289719626,2.40293,2.24011,190.69000244140625,7.0,AL,Kris Bubic,663460,21455,21455,Kris Bubic
TBR,Rays,8,6,28,29,0,0,,137.3,554,122,59,55,16,116,35,1,4,3.60524,1.14348,7.60379,2.29425,3.31429,1.0488,0.209386,0.0631769,0.14620938152074814,,0.236893,0.276762,0.728083,3.81249,617.0200225830079,4.493954908001062,593.5000152587891,4.322651143970172,2.33697,2.65514,132.36000061035156,12.0,AL,Drew Rasmussen,656876,25385,25385,Drew Rasmussen
TEX,Rangers,10,9,28,28,0,0,,149.3,623,126,72,67,18,141,58,0,5,4.03885,1.23242,8.49967,3.49632,2.43103,1.08506,0.226324,0.0930979,0.13322632014751434,,0.225,0.269327,0.70529,4.07954,648.8200225830078,4.34574688091655,605.5000152587891,4.0555927855465645,2.31454,1.89686,230.7100067138672,13.0,AL,Jack Leiter,683004,30146,30146,Jack Leiter
CHC,Cubs,8,5,24,24,0,0,,130.3,541,119,55,51,14,121,35,0,4,3.52264,1.18189,8.35764,2.4175,3.45714,0.966999,0.22366,0.064695,0.1589648798108101,,0.237052,0.286104,0.736607,3.57259,607.6200225830079,4.663238744067019,594.5000152587891,4.562547976477342,2.27072,2.63944,605.5,17.0,NL,Justin Steele,657006,17312,17312,Justin Steele
BOS,Red Sox,11,10,30,31,0,0,,162.0,694,155,78,72,17,138,56,0,9,4.0,1.30247,7.66667,3.11111,2.46429,0.944444,0.198847,0.0806916,0.11815562099218369,,0.246423,0.291139,0.71047,3.99933,667.7,4.121604938271605,670.0,4.135802469135802,2.25373,2.50563,421.4100036621094,3.0,AL,Brayan Bello,678394,23920,23920,Brayan Bello
LAA,Angels,9,8,24,30,0,0,,142.3,616,126,69,64,11,134,63,1,11,4.04779,1.32818,8.47505,3.98454,2.12698,0.695713,0.217532,0.102273,0.11525974422693253,,0.232472,0.289673,0.691244,3.81679,636.1200225830079,4.470274131699324,614.5000152587891,4.31834154659351,2.25273,1.88594,321.80999755859375,1.0,AL,José Soriano,667755,22100,22100,José Soriano
ARI,Diamondbacks,10,9,29,29,0,0,,159.7,672,157,79,73,21,147,36,1,8,4.11396,1.20852,8.28428,2.0288,4.08333,1.18347,0.21875,0.0535714,0.1651785708963871,,0.25,0.295652,0.696822,3.83019,677.2799774169923,4.240951724228866,687.4999847412109,4.3049467619215145,2.21828,2.22205,588.5999755859375,15.0,NL,Brandon Pfaadt,694297,27782,27782,Brandon Pfaadt
BAL,Orioles,6,3,20,20,0,0,,100.0,414,86,42,39,10,104,32,0,5,3.51,1.18,9.36,2.88,3.25,0.9,0.251208,0.0772947,0.17391305416822433,,0.228117,0.288973,0.730769,3.46514,490.4,4.904,467.0,4.67,2.20771,1.94016,72.95999908447266,2.0,AL,Kyle Bradish,680694,24586,24586,Kyle Bradish
MIN,Twins,7,8,27,27,0,0,,148.7,613,143,75,69,23,131,34,0,6,4.17619,1.19032,7.92872,2.05783,3.85294,1.39206,0.213703,0.0554649,0.15823816880583763,,0.249564,0.286396,0.70442,4.19095,587.6799774169922,3.9521182883517154,586.4999847412109,3.944182896959663,2.20201,1.71284,494.3399963378906,8.0,AL,Bailey Ober,641927,21224,21224,Bailey Ober
NYM,Mets,7,7,26,27,0,0,,145.3,633,140,71,66,13,132,57,1,7,4.08809,1.35582,8.17619,3.53063,2.31579,0.805231,0.208531,0.0900474,0.11848340183496475,,0.246046,0.299528,0.704698,3.80272,623.3200225830079,4.289883066010487,629.5000152587891,4.3324157056937755,2.20045,1.77813,452.0400085449219,25.0,NL,David Peterson,656849,20302,20302,David Peterson
LAD,Dodgers,8,5,21,21,0,0,,106.3,444,83,45,42,12,134,48,0,2,3.55597,1.23236,11.3452,4.06397,2.79167,1.01599,0.301802,0.108108,0.19369369000196457,,0.21066,0.28629,0.753065,3.49262,541.2200225830079,5.0914393889479586,493.50001525878906,4.642521176772707,2.18267,2.20134,178.41000366210938,22.0,NL,Blake Snell,605483,13543,13543,Blake Snell
NYM,Mets,10,8,24,28,0,0,,136.3,592,136,63,58,11,112,46,1,8,3.82979,1.33529,7.39545,3.03742,2.43478,0.726339,0.189189,0.0777027,0.11148649454116821,,0.252788,0.301205,0.714286,3.72941,581.720022583008,4.26793844136679,600.5000152587891,4.405722683885476,2.1808,2.01755,330.6300048828125,25.0,NL,Clay Holmes,605280,13649,13649,Clay Holmes
KCR,Royals,9,10,26,26,0,0,,145.3,610,141,74,68,18,115,43,0,4,4.21198,1.26635,7.12319,2.66345,2.67442,1.11493,0.188525,0.0704918,0.1180327832698822,,0.250444,0.286047,0.692695,4.13307,576.2200225830079,3.965726156094784,581.5000152587891,4.002064714696881,2.17947,1.76602,609.2899780273438,7.0,AL,Michael Wacha,608379,14078,14078,Michael Wacha
MIN,Twins,7,8,28,28,0,1,,148.0,626,139,75,69,19,138,51,0,4,4.19595,1.28378,8.39189,3.10135,2.70588,1.15541,0.220447,0.0814696,0.13897763937711716,,0.243433,0.289855,0.703794,4.05406,615.1,4.156081081081081,608.0,4.108108108108108,2.17463,1.66878,492.4599914550781,8.0,AL,Taj Bradley,671737,22543,22543,Taj Bradley
DET,Tigers,10,9,26,27,0,0,,140.3,599,126,70,65,19,156,52,1,7,4.16964,1.26871,10.0071,3.33571,3.0,1.21882,0.260434,0.0868113,0.1736227124929428,,0.233333,0.293151,0.713342,3.93343,611.9200225830078,4.361511113846986,589.5000152587891,4.201710637463904,2.16437,1.64727,209.0,6.0,AL,Jack Flaherty,656427,17479,17479,Jack Flaherty
PIT,Pirates,9,10,29,29,0,0,,161.0,689,158,78,72,20,142,49,0,10,4.02484,1.28571,7.93789,2.73913,2.89796,1.11801,0.206096,0.0711176,0.13497821986675262,,0.250794,0.294872,0.72067,4.08545,641.6000000000001,3.9850931677018644,652.0,4.049689440993789,2.15587,2.48025,518.6300048828125,27.0,NL,Mitch Keller,656605,17594,17594,Mitch Keller
