season,pid,name,M,y,x_month,level,prior,prior_pa,pa_m,pa_next
1985,111153,Wade Boggs,5,0.775,0.5555555555555556,0.5412844036697247,0.650137741046832,726,117,120
1985,111153,Wade Boggs,6,0.7666666666666667,0.775,0.6242603550295858,0.650137741046832,726,120,120
1985,111153,Wade Boggs,7,0.7664233576642335,0.7666666666666667,0.6615720524017468,0.650137741046832,726,120,137
1985,111153,Wade Boggs,8,0.8181818181818182,0.7664233576642335,0.6857142857142857,0.650137741046832,726,137,132
1985,113936,Dwight Evans,5,0.7156862745098039,0.4380165289256198,0.4909090909090909,0.7425474254742548,738,121,102
1985,113936,Dwight Evans,6,0.5,0.7156862745098039,0.562111801242236,0.7425474254742548,738,102,128
1985,113936,Dwight Evans,7,0.7906976744186046,0.5,0.5444444444444444,0.7425474254742548,738,128,129
1985,113936,Dwight Evans,8,0.8613138686131386,0.7906976744186046,0.5993091537132987,0.7425474254742548,738,129,137
1985,120790,Kirby Puckett,5,0.4824561403508772,0.5658914728682171,0.5990990990990991,0.4219554030874786,583,129,114
1985,120790,Kirby Puckett,6,0.5564516129032258,0.4824561403508772,0.5595238095238095,0.4219554030874786,583,114,124
1985,120790,Kirby Puckett,7,0.4065040650406504,0.5564516129032258,0.558695652173913,0.4219554030874786,583,124,123
1985,120790,Kirby Puckett,8,0.5401459854014599,0.4065040650406504,0.5265866209262435,0.4219554030874786,583,123,137
1985,118443,Don Mattingly,5,0.5416666666666666,0.8771929824561403,0.7760416666666666,0.8081570996978852,662,114,120
1985,118443,Don Mattingly,6,0.9609375,0.5416666666666666,0.6858974358974359,0.8081570996978852,662,120,128
1985,118443,Don Mattingly,7,1.112781954887218,0.9609375,0.7659090909090909,0.8081570996978852,662,128,133
1985,118443,Don Mattingly,8,1.1171875,1.112781954887218,0.8464223385689355,0.8081570996978852,662,133,128
1985,111663,Bill Buckner,5,0.5826086956521739,0.6936936936936937,0.6818181818181818,0.5907335907335908,518,111,115
1985,111663,Bill Buckner,6,0.7767857142857143,0.5826086956521739,0.645367412140575,0.5907335907335908,518,115,112
1985,111663,Bill Buckner,7,0.7099236641221374,0.7767857142857143,0.68,0.5907335907335908,518,112,131
1985,111663,Bill Buckner,8,0.6183206106870229,0.7099236641221374,0.6870503597122302,0.5907335907335908,518,131,131
1985,121222,Cal Ripken Jr.,5,0.5862068965517241,0.8813559322033898,0.825,0.7011173184357542,716,118,116
1985,121222,Cal Ripken Jr.,6,0.7165354330708661,0.5862068965517241,0.7373417721518988,0.7011173184357542,716,116,127
1985,121222,Cal Ripken Jr.,7,0.6639344262295082,0.7165354330708661,0.7313769751693002,0.7011173184357542,716,127,122
1985,121222,Cal Ripken Jr.,8,0.7952755905511811,0.6639344262295082,0.7168141592920354,0.7011173184357542,716,122,127
1985,111349,Phil Bradley,5,0.6370967741935484,0.6111111111111112,0.736318407960199,0.5013404825737265,373,108,124
1985,111349,Phil Bradley,6,0.43243243243243246,0.6370967741935484,0.6984615384615385,0.5013404825737265,373,124,111
1985,111349,Phil Bradley,7,0.5703125,0.43243243243243246,0.6307339449541285,0.5013404825737265,373,111,128
