metric,key,value
classification,BUY_HIT,9
classification,BUY_MISS,44
classification,FADE_HIT,4
classification,HOLD_NEUTRAL,2
classification,CAUTION_NEUTRAL,14
classification,MIXED_NEUTRAL,61
classification,UNSETTLEABLE_V1_UNITS,6
hit_rate_by_bucket,H,13/55 (24%)
hit_rate_by_bucket,SP,0/2 (0%)
pending,total_pending,758
pending,ripe_but_pending_events,30
summary,settled_total,140
