metric,key,value
classification,BUY_HIT,136
classification,BUY_MISS,276
classification,FADE_HIT,4
classification,HOLD_NEUTRAL,8
classification,CAUTION_NEUTRAL,150
classification,MIXED_NEUTRAL,401
classification,UNSETTLEABLE_V1_UNITS,64
hit_rate_by_bucket,H,102/328 (31%)
hit_rate_by_bucket,SP,16/49 (33%)
hit_rate_by_bucket,RP,22/39 (56%)
pending,total_pending,1049
pending,ripe_but_pending_events,253
summary,settled_total,1039
