metric,key,value
classification,BUY_HIT,132
classification,BUY_MISS,269
classification,FADE_HIT,4
classification,HOLD_NEUTRAL,7
classification,CAUTION_NEUTRAL,146
classification,MIXED_NEUTRAL,395
classification,UNSETTLEABLE_V1_UNITS,64
hit_rate_by_bucket,H,100/321 (31%)
hit_rate_by_bucket,SP,15/48 (31%)
hit_rate_by_bucket,RP,21/36 (58%)
pending,total_pending,1014
pending,ripe_but_pending_events,248
summary,settled_total,1017
