metric,key,value
classification,BUY_HIT,157
classification,BUY_MISS,298
classification,FADE_HIT,4
classification,HOLD_NEUTRAL,11
classification,CAUTION_NEUTRAL,171
classification,MIXED_NEUTRAL,425
classification,UNSETTLEABLE_V1_UNITS,64
hit_rate_by_bucket,H,116/357 (32%)
hit_rate_by_bucket,SP,20/53 (38%)
hit_rate_by_bucket,RP,25/49 (51%)
pending,total_pending,1070
pending,ripe_but_pending_events,273
summary,settled_total,1130
