metric,key,value
classification,BUY_HIT,36
classification,BUY_MISS,88
classification,FADE_HIT,4
classification,HOLD_NEUTRAL,2
classification,CAUTION_NEUTRAL,41
classification,MIXED_NEUTRAL,129
classification,UNSETTLEABLE_V1_UNITS,29
hit_rate_by_bucket,H,39/111 (35%)
hit_rate_by_bucket,SP,1/17 (6%)
pending,total_pending,830
pending,ripe_but_pending_events,76
summary,settled_total,329
