,bat_speed,n_sw,xwobacon,bat_speed_base,xwobacon_base,d_bat_speed,d_xwobacon,name,z
662139,71.14164086687306,646.0,0.33293927125506073,73.86327345309381,0.4340927237207157,-2.7216325862207498,-0.10115345246565499,Daulton Varsho,-2.3267910330688877
686469,68.43797054009819,611.0,0.33703418803418805,71.04123025768912,0.36684866542507927,-2.6032597175909302,-0.029814477390891214,Vinnie Pasquantino,-2.2255911390490395
642215,70.25290322580646,155.0,0.3004042553191489,72.68755555555556,0.4147221995460084,-2.434652329749099,-0.11431794422685954,Weston Wilson,-2.0814445117174247
660821,71.39954954954955,444.0,0.4083795180722892,73.76538882803943,0.3803478842587457,-2.3658392784898865,0.02803163381354351,Jesús Sánchez,-2.022614531712527
650402,66.27967914438503,374.0,0.34750359712230217,68.60791229742611,0.38041594813702895,-2.328233153041083,-0.03291235101472678,Gleyber Torres,-1.990464124664291
665926,65.45834586466165,665.0,0.305616,67.7586013986014,0.33089537428743926,-2.3002555339397475,-0.02527937428743926,Andrés Giménez,-1.9665453659085401
663853,70.38461538461539,130.0,0.4053684210526316,72.61238532110092,0.43170192025827475,-2.2277699364855295,-0.02633349920564315,Romy Gonzalez,-1.9045756353001502
643446,66.62907915993539,619.0,0.3135,68.77556818181819,0.32659002890773553,-2.1464890218828003,-0.01309002890773553,Jeff McNeil,-1.8350865704591517
608701,69.37884615384615,208.0,0.2938933333333333,71.4596685082873,0.4129104927235758,-2.080822354441139,-0.11901715939024249,Rob Refsnyder,-1.7789465118236318
656577,70.55725190839695,131.0,0.3028139534883721,72.61514195583597,0.2852637033459652,-2.0578900474390167,0.01755025014240691,Alex Jackson,-1.7593411152060765
624424,70.5221843003413,293.0,0.42186666666666667,72.56388888888888,0.38651184902609204,-2.0417045885475886,0.03535481764057463,Michael Conforto,-1.7455037659601318
592626,69.88057040998217,561.0,0.41684057971014493,71.8484962406015,0.34316850465067433,-1.9679258306193361,0.0736720750594706,Joc Pederson,-1.6824284804687881
543877,63.527472527472526,364.0,0.25716666666666665,65.4449567723343,0.27148947791567674,-1.9174842448617682,-0.014322811249010081,Christian Vázquez,-1.6393047208442533
596142,69.28872180451127,266.0,0.36028813559322037,71.15011235955056,0.3829404167891531,-1.8613905550392928,-0.02265228119593271,Gary Sánchez,-1.5913488376175904
