pitches_to,pa_to,bip_to,in_zone_to,swing_to,contact_to,swstr_to,called_strike_to,z_contact_to,o_swing_to,bb_to,k_to,hbp_to,h_to,hr_to,tb_to,sb_to,hard_hit_n_to,barrel_n_to,woba_v_sum_to,woba_d_sum_to,k_pct_to,bb_pct_to,hr_per_pa_to,sb_per_pa_to,ab_to,iso_to,contact_pct_to,whiff_pct_to,swstr_pct_to,z_contact_pct_to,chase_pct_to,in_play_pct_to,hard_hit_pct_to,barrel_pct_to,xwoba_per_pa_to,xwoba_on_contact_to,fp_total_to,core_fp_per_pa_to,batter,pitches_last21,pa_last21,bip_last21,in_zone_last21,swing_last21,contact_last21,swstr_last21,called_strike_last21,z_contact_last21,o_swing_last21,bb_last21,k_last21,hbp_last21,h_last21,hr_last21,tb_last21,sb_last21,hard_hit_n_last21,barrel_n_last21,woba_v_sum_last21,woba_d_sum_last21,k_pct_last21,bb_pct_last21,hr_per_pa_last21,sb_per_pa_last21,ab_last21,iso_last21,contact_pct_last21,whiff_pct_last21,swstr_pct_last21,z_contact_pct_last21,chase_pct_last21,in_play_pct_last21,hard_hit_pct_last21,barrel_pct_last21,xwoba_per_pa_last21,xwoba_on_contact_last21,fp_total_last21,core_fp_per_pa_last21,pa_after,fp_after_core,ros_pa,ros_core_fp_per_pa,ros_full_fp_per_pa,lineup_spot_to,started_pct_to,pa_per_started_game_to,year,split_day,cutoff_date,babip_last21,CONTACT_raw,POWER_raw,DISCIPLINE_raw,C_L21,P_L21,D_L21,cell_L21,arch_L21,player_name,C_STD,P_STD,D_STD,arch_STD,age_tier,boundary_tier,fp_pa_STD,C_25,P_25,D_25,arch_25,fp_pa_25,dC_25_L21,dP_25_L21,dD_25_L21,net_change
779,190,114,384,343,242,101,138,194,96,26,49,1,42,12,84,0,59,21,76.429,189,0.2578947368421053,0.1368421052631579,0.0631578947368421,0.0,163,0.2576687116564417,0.7055393586005831,0.2944606413994169,0.1296534017971758,,0.2430379746835443,0.1463414634146341,0.5175438596491229,0.1842105263157894,0.4043862433862434,0.5072719298245614,62.0,0.3263157894736842,571970,296.0,71.0,38.0,140.0,128.0,88.0,40.0,50.0,72.0,35.0,11.0,21.0,1.0,12.0,3.0,22.0,0.0,17.0,7.0,26.373,71.0,0.2957746478873239,0.1549295774647887,0.0422535211267605,0.0,59.0,0.1694915254237288,0.6875,0.3125,0.1351351351351351,,0.2243589743589743,0.1283783783783783,0.4473684210526316,0.1842105263157894,0.3714507042253521,0.4729736842105262,13.0,0.1830985915492957,,,,,,5.723404255319149,0.9791666666666666,4.0212765957446805,2026,59,2026-05-22,0.2571428571428571,51.75,60.5,62.0,47,59,64,AVG/AVG/PLUS,BALANCED_EYE,Max Muncy,55.0,74.0,60.0,POWER_EYE,POST_PEAK,EDGE,0.5210526315789473,51.0,67.0,74.0,POWER_EYE,0.6649076517150396,0.0,-1.0,0.0,-1.0
728,179,126,322,324,248,76,124,168,124,16,33,4,43,7,74,0,37,9,60.262,178,0.1843575418994413,0.0893854748603352,0.0391061452513966,0.0,159,0.1949685534591195,0.7654320987654321,0.2345679012345679,0.1043956043956044,,0.3054187192118227,0.173076923076923,0.2936507936507936,0.0714285714285714,0.3385505617977528,0.370096,61.0,0.3407821229050279,571448,292.0,70.0,45.0,127.0,129.0,105.0,24.0,43.0,72.0,45.0,10.0,11.0,4.0,15.0,2.0,29.0,0.0,16.0,2.0,26.974,69.0,0.1571428571428571,0.1428571428571428,0.0285714285714285,0.0,56.0,0.25,0.813953488372093,0.1860465116279069,0.0821917808219178,,0.2727272727272727,0.1541095890410959,0.3555555555555555,0.0444444444444444,0.3909275362318841,0.3903181818181818,32.0,0.4571428571428571,,,,,,5.608695652173913,0.9787234042553192,3.869565217391304,2026,59,2026-05-22,0.3023255813953488,56.0,53.0,58.5,58,50,59,AVG/AVG/AVG,AVERAGE_HITTER,Nolan Arenado,56.0,53.0,45.0,AVERAGE_HITTER,POST_PEAK,NEAR_EDGE,0.5307262569832403,50.0,44.0,37.0,AVG_HACKER,0.540045766590389,0.0,0.0,1.0,1.0
807,213,148,348,428,308,120,80,223,166,27,38,0,49,12,97,0,60,20,86.129,211,0.1784037558685446,0.1267605633802817,0.056338028169014,0.0,186,0.2580645161290322,0.719626168224299,0.2803738317757009,0.1486988847583643,,0.3616557734204793,0.1833952912019826,0.4054054054054054,0.1351351351351351,0.4081943127962085,0.458304054054054,86.0,0.4037558685446009,547180,308.0,76.0,52.0,142.0,170.0,122.0,48.0,28.0,95.0,61.0,9.0,15.0,0.0,18.0,6.0,39.0,0.0,23.0,7.0,32.834,75.0,0.1973684210526315,0.1184210526315789,0.0789473684210526,0.0,67.0,0.3134328358208955,0.7176470588235294,0.2823529411764706,0.1558441558441558,,0.3674698795180723,0.1688311688311688,0.4423076923076923,0.1346153846153846,0.4377866666666667,0.5160384615384616,33.0,0.4342105263157895,,,,,,2.92,1.0,4.26,2026,59,2026-05-22,0.2608695652173913,56.25,67.75,50.5,58,67,49,AVG/PLUS/AVG,POWER_HITTER,Bryce Harper,56.0,62.0,59.0,POWER_HITTER,POST_PEAK,EDGE,0.6244131455399061,50.0,59.0,62.0,BALANCED_EYE,0.6172413793103448,0.0,1.0,-1.0,0.0
988,231,127,447,357,282,75,202,236,96,47,54,3,43,12,87,0,61,26,96.696,221,0.2337662337662337,0.2034632034632034,0.0519480519480519,0.0,181,0.2430939226519337,0.7899159663865546,0.2100840336134453,0.075910931174089,,0.177449168207024,0.1285425101214574,0.4803149606299212,0.2047244094488189,0.4375384615384615,0.5003770491803279,83.0,0.3593073593073593,545361,333.0,82.0,46.0,153.0,125.0,99.0,26.0,69.0,82.0,35.0,15.0,21.0,0.0,15.0,2.0,24.0,0.0,20.0,6.0,27.574,77.0,0.2560975609756097,0.1829268292682926,0.024390243902439,0.0,67.0,0.1343283582089552,0.792,0.208,0.078078078078078,,0.1944444444444444,0.1381381381381381,0.4347826086956521,0.1304347826086956,0.3581038961038961,0.3610232558139535,18.0,0.2195121951219512,,,,,,2.0,1.0,4.529411764705882,2026,59,2026-05-22,0.29545454545454547,52.75,54.0,67.0,49,51,70,AVG/AVG/PLUS,BALANCED_EYE,Mike Trout,60.0,70.0,71.0,GOAT_TIER,POST_PEAK,EDGE,0.6147186147186147,50.0,60.0,61.0,POWER_EYE,0.4551971326164875,0.0,-1.0,0.0,-1.0
616,181,159,290,311,267,44,120,160,138,6,16,0,55,7,88,0,51,6,58.73,177,0.0883977900552486,0.0331491712707182,0.0386740331491712,0.0,175,0.1885714285714285,0.8585209003215434,0.1414790996784566,0.0714285714285714,,0.4233128834355828,0.2581168831168831,0.320754716981132,0.0377358490566037,0.3318079096045198,0.3479354838709677,78.0,0.430939226519337,545121,285.0,81.0,74.0,130.0,149.0,132.0,17.0,55.0,73.0,72.0,2.0,5.0,0.0,17.0,1.0,22.0,0.0,20.0,1.0,19.322,78.0,0.0617283950617283,0.0246913580246913,0.0123456790123456,0.0,79.0,0.0632911392405063,0.8859060402684564,0.1140939597315436,0.0596491228070175,,0.4645161290322581,0.2596491228070175,0.2702702702702703,0.0135135135135135,0.2477179487179487,0.2530833333333333,19.0,0.2345679012345679,,,,,,4.560975609756097,0.9534883720930232,4.2926829268292686,2026,59,2026-05-22,0.2191780821917808,53.5,41.0,35.0,51,36,29,AVG/MINUS/MINUS,NO_POWER_HACKER,Ildemaro Vargas,69.0,48.0,22.0,CONTACT_HACKER,POST_PEAK,SOLID,0.6574585635359116,,,,,,,,,0.0
553,139,96,259,286,212,74,64,173,82,13,29,1,25,4,43,0,35,7,39.458,139,0.2086330935251798,0.0935251798561151,0.0287769784172661,0.0,125,0.144,0.7412587412587412,0.2587412587412587,0.1338155515370705,,0.2789115646258503,0.1735985533453888,0.3645833333333333,0.0729166666666666,0.2838705035971223,0.3006170212765957,28.0,0.2014388489208633,543807,274.0,66.0,46.0,124.0,141.0,100.0,41.0,30.0,80.0,43.0,5.0,14.0,1.0,11.0,2.0,19.0,0.0,15.0,3.0,18.084,66.0,0.2121212121212121,0.0757575757575757,0.0303030303030303,0.0,60.0,0.1333333333333333,0.7092198581560284,0.2907801418439716,0.1496350364963503,,0.2866666666666667,0.1678832116788321,0.3260869565217391,0.0652173913043478,0.274,0.2837272727272727,11.0,0.1666666666666666,,,,,,1.0,0.96875,4.419354838709677,2026,59,2026-05-22,0.20454545454545456,46.75,49.5,50.5,34,46,49,MINUS/AVG/AVG,BACKUP_BAT,George Springer,40.0,49.0,64.0,BALANCED_EYE,POST_PEAK,EDGE,0.2877697841726618,67.0,63.0,70.0,GOAT_TIER,0.773037542662116,-2.0,-1.0,-1.0,-4.0
716,204,148,369,364,280,84,101,224,98,13,42,1,41,3,57,0,47,11,60.118,200,0.2058823529411764,0.0637254901960784,0.0147058823529411,0.0,190,0.0842105263157894,0.7692307692307693,0.2307692307692307,0.1173184357541899,,0.2824207492795389,0.2067039106145251,0.3175675675675675,0.0743243243243243,0.30059,0.3480416666666667,29.0,0.142156862745098,543760,258.0,78.0,55.0,141.0,128.0,98.0,30.0,42.0,80.0,32.0,5.0,18.0,0.0,16.0,2.0,24.0,0.0,15.0,5.0,24.656,77.0,0.2307692307692307,0.0641025641025641,0.0256410256410256,0.0,73.0,0.1095890410958904,0.765625,0.234375,0.1162790697674418,,0.2735042735042735,0.2131782945736434,0.2727272727272727,0.0909090909090909,0.3202077922077922,0.3917777777777778,11.0,0.141025641025641,,,,,,6.411764705882353,1.0,4.0,2026,59,2026-05-22,0.2641509433962264,52.75,48.0,49.5,49,44,48,AVG/AVG/AVG,AVERAGE_HITTER,Marcus Semien,49.0,45.0,53.0,AVERAGE_HITTER,POST_PEAK,NEAR_EDGE,0.2549019607843137,45.0,46.0,66.0,BALANCED_EYE,0.5009345794392523,0.0,0.0,-1.0,-1.0
765,176,108,348,311,219,92,153,169,105,18,48,2,29,5,48,0,42,9,54.978,172,0.2727272727272727,0.1022727272727272,0.0284090909090909,0.0,156,0.1217948717948717,0.7041800643086816,0.2958199356913183,0.1202614379084967,,0.2517985611510791,0.1411764705882353,0.3888888888888889,0.0833333333333333,0.3196395348837209,0.3931238095238095,20.0,0.1136363636363636,542303,294.0,64.0,35.0,120.0,105.0,68.0,37.0,62.0,49.0,40.0,10.0,18.0,1.0,12.0,2.0,20.0,0.0,15.0,2.0,21.468,62.0,0.28125,0.15625,0.03125,0.0,53.0,0.1509433962264151,0.6476190476190476,0.3523809523809524,0.1258503401360544,,0.2298850574712643,0.119047619047619,0.4285714285714285,0.0571428571428571,0.346258064516129,0.4137647058823529,13.0,0.203125,,,,,,4.794871794871795,0.951219512195122,4.461538461538462,2026,59,2026-05-22,0.30303030303030304,50.5,52.25,62.0,43,49,64,AVG/AVG/PLUS,BALANCED_EYE,Marcell Ozuna,40.0,49.0,49.0,AVERAGE_HITTER,POST_PEAK,EDGE,0.2443181818181818,48.0,55.0,62.0,BALANCED_EYE,0.4679054054054054,0.0,0.0,0.0,0.0
764,207,152,319,437,321,116,81,197,200,9,42,4,39,8,68,0,61,14,59.575,204,0.2028985507246377,0.0434782608695652,0.038647342995169,0.0,194,0.1494845360824742,0.7345537757437071,0.2654462242562929,0.1518324607329843,,0.449438202247191,0.1989528795811518,0.4013157894736842,0.0921052631578947,0.2920343137254901,0.3384999999999999,39.0,0.1884057971014492,521692,274.0,74.0,51.0,112.0,158.0,111.0,47.0,26.0,71.0,74.0,5.0,16.0,2.0,13.0,3.0,22.0,0.0,21.0,4.0,21.995,74.0,0.2162162162162162,0.0675675675675675,0.0405405405405405,0.0,67.0,0.1343283582089552,0.7025316455696202,0.2974683544303797,0.1715328467153284,,0.4567901234567901,0.1861313868613138,0.4117647058823529,0.0784313725490196,0.2972297297297297,0.3351960784313725,13.0,0.1756756756756756,,,,,,3.938775510204082,1.0,4.224489795918367,2026,59,2026-05-22,0.20833333333333334,48.0,53.5,40.0,37,50,35,MINUS/AVG/MINUS,K_PRONE_FILLER,Salvador Perez,42.0,52.0,36.0,AVG_HACKER,POST_PEAK,EDGE,0.3333333333333333,48.0,62.0,35.0,ALL_OR_NOTHING,0.5226209048361935,-1.0,-1.0,0.0,-2.0
815,208,151,383,407,320,87,101,240,120,23,33,1,48,6,81,0,72,18,78.696,207,0.1586538461538461,0.110576923076923,0.0288461538461538,0.0,184,0.1793478260869565,0.7862407862407862,0.2137592137592137,0.1067484662576687,,0.2777777777777778,0.1852760736196319,0.4768211920529801,0.119205298013245,0.3801739130434782,0.4118940397350993,72.0,0.3461538461538461,518692,323.0,76.0,45.0,145.0,151.0,112.0,39.0,39.0,89.0,39.0,12.0,19.0,0.0,16.0,3.0,31.0,0.0,21.0,4.0,26.99,76.0,0.25,0.1578947368421052,0.0394736842105263,0.0,64.0,0.234375,0.7417218543046358,0.2582781456953642,0.1207430340557275,,0.2191011235955056,0.1393188854489164,0.4666666666666667,0.0888888888888888,0.3551315789473684,0.4131111111111111,24.0,0.3157894736842105,,,,,,3.083333333333333,1.0,4.333333333333333,2026,59,2026-05-22,0.30952380952380953,53.25,58.25,63.0,51,56,65,AVG/AVG/PLUS,BALANCED_EYE,Freddie Freeman,61.0,55.0,64.0,CONTACT_EYE,POST_PEAK,EDGE,0.4903846153846153,60.0,55.0,62.0,CONTACT_EYE,0.6273885350318471,-1.0,0.0,0.0,-1.0
