weeks,n_test,r_base,r_l1,r_w,r_d,gain_l1,gain_w,gain_d
4,298,0.2944880202057902,0.3191860268841115,0.32392069295144904,0.3279994417835872,0.024698006678321338,0.02943267274565886,0.03351142157779702
6,298,0.29448802020579046,0.3149792497167265,0.322686671596673,0.3275494663152138,0.020491229510936015,0.028198651390882568,0.033061446109423354
8,328,0.3902948670052545,0.40378321141025036,0.4161301978068161,0.4154331313613831,0.013488344404995856,0.025835330801561585,0.025138264356128592
10,328,0.3902948670052541,0.4033239429019373,0.4128781304544085,0.411548230200434,0.013029075896683173,0.0225832634491544,0.021253363195179897
12,339,0.4365155632451451,0.4518304103526439,0.46637915725493984,0.44537047021951776,0.015314847107498752,0.029863594009794714,0.008854906974372634
14,339,0.4365155632451456,0.45108035295285837,0.46258446249635676,0.4452138450137713,0.014564789707712744,0.02606889925121114,0.008698281768625693
16,332,0.41713215948960314,0.42237434838156107,0.4352195455206603,0.42215413352107833,0.005242188891957933,0.01808738603105714,0.005021974031475196
18,332,0.41713215948960325,0.42286774149172,0.4340673904905105,0.4223476230638791,0.005735582002116768,0.01693523100090727,0.005215463574275825
