player_name,team,position,fa_pro_team,percent_owned,hr,games_with_hr,dates,team_match
Colt Keith,DET,DH,Det,5.93,4,2,"2026-06-11,2026-06-15",True
Brett Sullivan,COL,C,Col,0.1,3,2,"2026-06-11,2026-06-13",True
Bryce Eldridge,SFG,DH,SF,22.94,3,3,"2026-06-10,2026-06-12,2026-06-17",True
Cole Carrigg,COL,CF,Col,8.53,3,3,"2026-06-11,2026-06-12,2026-06-15",True
Colson Montgomery,CHW,SS,ChW,38.38,3,2,"2026-06-14,2026-06-17",True
Eugenio Suárez,CIN,3B,Cin,47.59,3,2,"2026-06-10,2026-06-15",True
Kyle Stowers,MIA,LF,Mia,26.85,3,2,"2026-06-10,2026-06-17",True
Lane Thomas,KCR,CF,KC,0.48,3,3,"2026-06-13,2026-06-16,2026-06-17",True
Noelvi Marte,CIN,RF,Cin,10.38,3,3,"2026-06-12,2026-06-13,2026-06-14",True
Paul Goldschmidt,NYY,1B,NYY,16.63,3,3,"2026-06-13,2026-06-16,2026-06-17",True
TJ Rumfield,COL,3B,Col,33.38,3,3,"2026-06-10,2026-06-14,2026-06-16",True
Willy Adames,SFG,SS,SF,55.62,3,2,"2026-06-16,2026-06-17",True
Zack Gelof,ATH,2B,Oak,28.69,3,3,"2026-06-13,2026-06-16,2026-06-17",True
Alec Bohm,PHI,3B,Phi,17.53,2,2,"2026-06-10,2026-06-16",True
Andrew Benintendi,CHW,LF,ChW,2.83,2,2,"2026-06-12,2026-06-16",True
Brice Matthews,HOU,2B,Hou,0.46,2,2,"2026-06-12,2026-06-13",True
Caleb Durbin,BOS,3B,Bos,25.94,2,1,2026-06-10,True
Cole Young,SEA,2B,Sea,9.11,2,2,"2026-06-11,2026-06-17",True
Colt Emerson,SEA,SS,Sea,14.81,2,2,"2026-06-12,2026-06-13",True
Curtis Mead,WSN,1B,Wsh,7.97,2,2,"2026-06-10,2026-06-16",True
Daniel Schneemann,CLE,2B,Cle,2.93,2,2,"2026-06-13,2026-06-17",True
Davis Schneider,TOR,LF,Tor,0.42,2,2,"2026-06-14,2026-06-16",True
Donovan Walton,LAA,2B,LAA,0.98,2,2,"2026-06-14,2026-06-15",True
Dylan Crews,WSN,RF,Wsh,5.11,2,2,"2026-06-12,2026-06-15",True
Endy Rodríguez,PIT,1B,Pit,0.82,2,2,"2026-06-12,2026-06-15",True
Garrett Mitchell,MIL,CF,Mil,3.43,2,2,"2026-06-13,2026-06-16",True
J.T. Realmuto,PHI,C,Phi,13.93,2,2,"2026-06-13,2026-06-15",True
Jackson Holliday,BAL,2B,Bal,31.32,2,2,"2026-06-10,2026-06-17",True
Jake Burger,TEX,1B,Tex,9.99,2,2,"2026-06-10,2026-06-13",True
Joe Mack,MIA,C,Mia,1.0,2,2,"2026-06-14,2026-06-17",True
José Caballero,NYY,RF,NYY,33.86,2,2,"2026-06-14,2026-06-16",True
Kody Clemens,MIN,1B,Min,15.64,2,2,"2026-06-12,2026-06-16",True
Owen Caissie,MIA,RF,Mia,2.42,2,2,"2026-06-10,2026-06-17",True
Rodolfo Durán,SDP,C,SD,0.13,2,2,"2026-06-13,2026-06-14",True
Sam Antonacci,CHW,2B,ChW,12.65,2,2,"2026-06-14,2026-06-17",True
Sterlin Thompson,COL,LF,Col,0.05,2,1,2026-06-17,True
Tyler Callihan,PIT,2B,Pit,1.28,2,1,2026-06-10,True
Willi Castro,COL,RF,Col,22.0,2,1,2026-06-14,True
A.J. Ewing,NYM,CF,NYM,6.82,1,1,2026-06-14,True
Alika Williams,ATH,3B,Oak,0.34,1,1,2026-06-10,True
Andrés Giménez,TOR,2B,Tor,10.21,1,1,2026-06-16,True
Ben Williamson,TBR,3B,TB,0.34,1,1,2026-06-14,True
Blake Perkins,MIL,CF,Mil,0.06,1,1,2026-06-14,True
Blaze Jordan,STL,1B,StL,11.11,1,1,2026-06-13,True
Brooks Lee,MIN,SS,Min,26.83,1,1,2026-06-12,True
Cam Smith,HOU,RF,Hou,7.52,1,1,2026-06-10,True
Carlos Cortes,ATH,RF,Oak,9.51,1,1,2026-06-10,True
Carson Kelly,CHC,C,ChC,11.16,1,1,2026-06-11,True
Carter Jensen,KCR,C,KC,20.65,1,1,2026-06-17,True
Cedric Mullins,TBR,CF,TB,2.11,1,1,2026-06-10,True
Chase Meidroth,CHW,SS,ChW,12.96,1,1,2026-06-14,True
Colton Cowser,BAL,CF,Bal,4.39,1,1,2026-06-11,True
Edmundo Sosa,PHI,2B,Phi,0.4,1,1,2026-06-13,True
Eli White,ATL,RF,Atl,0.19,1,1,2026-06-13,True
Esteury Ruiz,MIA,LF,Mia,0.33,1,1,2026-06-16,True
Francisco Alvarez,NYM,C,NYM,9.37,1,1,2026-06-10,True
Gabriel Moreno,ARI,C,Ari,35.91,1,1,2026-06-14,True
Gabriel Rincones Jr.,PHI,RF,Phi,0.25,1,1,2026-06-15,True
Gary Sánchez,MIL,C,Mil,2.78,1,1,2026-06-10,True
Gavin Sheets,SDP,LF,SD,14.79,1,1,2026-06-13,True
Henry Bolte,ATH,RF,Oak,3.52,1,1,2026-06-17,True
Heriberto Hernández,MIA,LF,Mia,0.63,1,1,2026-06-14,True
Isaac Paredes,HOU,3B,Hou,33.11,1,1,2026-06-15,True
Jake Meyers,HOU,CF,Hou,0.39,1,1,2026-06-13,True
Jakob Marsee,MIA,CF,Mia,32.36,1,1,2026-06-17,True
James Outman,DET,CF,Det,0.08,1,1,2026-06-12,True
Jared Young,NYM,DH,NYM,0.42,1,1,2026-06-11,True
