name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Colson Montgomery,colsonmontgomery,SS,ChW,25.05,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct']",5,0.5261789698513641,218.9,hold,0.0011,SS
TJ Rumfield,tjrumfield,3B,Col,13.85,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '1B']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '+ev_p90', '-bat_speed_mean']",3,0.5011128906530782,208.5,hold,-0.0646,1B
Hunter Goodman,huntergoodman,C,Col,72.4,"['C', 'DH', 'UTIL', 'BE', 'IL']",slight_up,"['+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '-bat_speed_mean']",5,0.508140776351737,200.7,hold,-0.0213,C
Daulton Varsho,daultonvarsho,CF,Tor,13.55,"['CF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+ev_p90', '+hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",3,0.5429624745223545,198.7,hold,0.0557,OF
Jorge Soler,jorgesoler,RF,LAA,22.09,"['RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '+bat_speed_mean']",5,0.4881876548866508,192.8,hold,0.0009,OF
Jake Burger,jakeburger,1B,Tex,7.14,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",4,0.4609756085472872,191.8,drop,-0.1047,1B
Isaac Paredes,isaacparedes,3B,Hou,34.17,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,0.5080282772550816,189.0,hold,0.0,3B
Spencer Steer,spencersteer,1B,Cin,9.33,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'OF', 'LF', 'RF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0.5323676772403693,188.5,hold,0.0451,OF
TJ Friedl,tjfriedl,CF,Cin,12.72,"['CF', 'OF', 'UTIL', 'BE', 'IL', 'LF']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",7,0.4758309637957999,188.0,hold,-0.0114,OF
Spencer Horwitz,spencerhorwitz,1B,Pit,1.77,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_p90', '-hard_hit_pct', '+bat_speed_mean']",4,0.5397449585282282,184.6,hold,-0.026,1B
Jeff McNeil,jeffmcneil,2B,Oak,8.43,"['2B', '2B/SS', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+bat_speed_mean']",5,0.5312354224553021,183.3,hold,0.0186,2B
Alec Bohm,alecbohm,3B,Phi,15.43,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+whiff_per_swing', '+ev_mean', '+hard_hit_pct']",3,0.4647799941199821,181.3,hold,-0.0432,3B
