name,beta
alpha,0.16929148914998643
baseline_fp_pa,0.3412520365579763
delta_k_pct,5.2681589566013853e-05
delta_bb_pct,-0.00013410635814203222
delta_whiff_per_swing,-0.0005333877824771853
delta_ev_mean,-0.000847301749106725
delta_ev_p90,-0.0005499627941580719
delta_hard_hit_pct,0.0006042230509965553
delta_barrel_pct,-0.0008270438823801844
