pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-09,92.9,-2.23,4.67,"Arrighetti, Spencer",700032,681293,strikeout,called_strike,,,,,8,Victor Labrada called out on strikes.,R,L,R,SUG,TAC,S,2.0,,1,2,2026,-1.29,1.15,0.0889817848058822,1.7852767983777236,,,,2,6,Top,,,,,,,8.873155539785971,-135.01263707796218,-4.008299710614223,-17.69576159853902,30.478645160732288,-17.417150934049467,3.012007874,1.52007874,,,,94.2,2413,7.2,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.31,,0.0,0.0,1.0,0.0,0.0,,45,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,233,0.013,-0.209,,,,0.209,,0,0,0.563,0.437,26,26,26,26,3,2,6.0,2.0,,1,1.51,1.29,-1.29,14.8,,,,,
CH,2026-04-09,85.0,-2.4,4.55,"Arrighetti, Spencer",700032,681293,,ball,,,,,13,,R,L,R,SUG,TAC,B,,,0,2,2026,-0.88,0.15,-3.0407983475806915,1.906974439566345,,,,2,6,Top,,,,,,,0.3316464707841091,-123.86468894163237,0.0128936766472915,-9.161862987668174,24.42323237854324,-30.876944499489216,3.012007874,1.52007874,,,,86.7,1283,7.3,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.24,,,,,,,,45,3,Changeup,2,2,2,2,2,2,2,2,Infield shade,Standard,234,-0.002,0.037,,,,-0.037,,0,0,0.565,0.435,26,26,26,26,3,2,6.0,2.0,,1,3.0,0.88,-0.88,14.1,,,,,
CH,2026-04-09,84.9,-2.24,4.64,"Arrighetti, Spencer",700032,681293,,foul,,,,,8,,R,L,R,SUG,TAC,S,,,0,1,2026,-0.84,0.17,-0.2083082487258168,1.4799362144512584,,,,2,6,Top,,,,,,,6.500598969187065,-123.48056402295693,-1.200130827075114,-9.88520891138278,24.75568186420036,-30.396488718200555,3.012007874,1.52007874,,,,86.2,1466,7.2,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.31,,,,,,,,45,2,Changeup,2,2,2,2,2,2,2,2,Infield shade,Standard,229,0.003,-0.073,,,,0.073,,0,0,0.562,0.4379999999999999,26,26,26,26,3,2,6.0,2.0,,1,3.0,0.84,-0.84,16.6,,,,,
ST,2026-04-09,76.5,-2.43,4.71,"Arrighetti, Spencer",700032,681293,,foul,,,,,8,,R,L,R,SUG,TAC,S,,,0,0,2026,1.47,0.08,-0.1889323817633073,1.7972524919827515,,,,2,6,Top,,,,,,,1.976511866723039,-111.38935591025584,1.0653083949476845,11.692803246183525,22.890066376505917,-32.00260855575637,3.012007874,1.52007874,,,,77.1,2765,7.0,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.5,,,,,,,,45,1,Sweeper,2,2,2,2,2,2,2,2,Standard,Standard,67,0.003,-0.06,,,,0.06,,0,0,0.559,0.4409999999999999,26,26,26,26,3,2,6.0,2.0,,1,3.86,-1.47,1.47,17.6,,,,,
SI,2026-04-09,92.4,-2.29,4.69,"Arrighetti, Spencer",680695,681293,field_out,hit_into_play,,,,,8,Brennen Davis flies out to left fielder Jax Biggers.,R,R,R,SUG,TAC,X,7.0,fly_ball,1,0,2026,-1.49,0.93,-0.0715984022823805,1.9499916950901863,,,,1,6,Top,84.08,75.54,,,,,9.006386519815125,-134.31171264536752,-3.0761789973039013,-19.968023447867267,28.509301146107365,-20.403284941106477,3.2761729,1.653395669,,103.8,38.0,,2332,7.1,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.36,0.466,0.919,0.0,1.0,0.0,0.0,6.0,44,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,229,0.029,-0.387,,,1.796,0.387,103.8,0,0,0.53,0.47,26,26,26,27,3,2,6.0,1.0,,1,1.74,1.49,1.49,15.0,,,,,
FC,2026-04-09,85.4,-2.21,4.69,"Arrighetti, Spencer",680695,681293,,ball,,,,,11,,R,R,R,SUG,TAC,B,,,0,0,2026,0.43,0.53,-0.7819540756832126,3.425860045707548,,,,1,6,Top,,,,,,,2.4687516824169653,-124.35965501340866,2.3743892658506685,3.981099163823766,23.466458959265548,-27.326601419459557,3.2761729,1.653395669,,,,86.7,2356,7.0,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.53,,,,,,,,44,1,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,169,-0.004,0.06,,,,-0.06,,0,0,0.534,0.4659999999999999,26,26,26,27,3,2,6.0,1.0,,1,2.58,-0.43,-0.43,17.5,,,,,
FF,2026-04-09,93.0,-2.18,4.72,"Arrighetti, Spencer",621550,681293,strikeout,called_strike,,,,,6,Patrick Wisdom called out on strikes.,R,R,R,SUG,TAC,S,2.0,,1,2,2026,-1.21,1.15,0.3716283182063795,2.206153886030984,,,,0,6,Top,,,,,,,9.27925248858731,-135.15927010836992,-3.0895408137794083,-16.852042536443367,29.33468296876268,-17.545178263161844,3.28933727,1.66003937,,,,94.3,2398,7.1,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.4,,0.0,0.0,1.0,0.0,0.0,,43,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,230,0.026,-0.227,,,,0.227,,0,0,0.508,0.492,26,34,26,35,3,2,6.0,1.0,,1,1.49,1.21,1.21,19.5,,,,,
FF,2026-04-09,91.8,-2.25,4.7,"Arrighetti, Spencer",621550,681293,,foul,,,,,5,,R,R,R,SUG,TAC,S,,,1,1,2026,-0.94,1.27,0.0737259460995517,2.4870949725883307,,,,0,6,Top,,,,,,,7.974865506411155,-133.49924551027317,-2.383303555616567,-12.937037036309182,29.429274739078927,-16.676511092451687,3.28933727,1.66003937,247.0,74.1,39.0,93.0,2510,7.1,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.39,,,,,,,,43,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,227,0.006,-0.087,,,,0.087,88.0,0,0,0.502,0.498,26,34,26,35,3,2,6.0,1.0,,1,1.44,0.94,0.94,18.9,,,,,
FF,2026-04-09,92.6,-2.14,4.75,"Arrighetti, Spencer",621550,681293,,ball,,,,,14,,R,R,R,SUG,TAC,B,,,0,1,2026,-0.93,1.21,1.034672865296854,1.7354138908630246,,,,0,6,Top,,,,,,,10.221660694510318,-134.42452076792085,-4.391203298010822,-13.538411656839385,29.256567724150173,-16.766835939414225,3.28933727,1.66003937,,,,93.8,2498,7.2,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.34,,,,,,,,43,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,227,-0.003,0.045,,,,-0.045,,0,0,0.505,0.495,26,34,26,35,3,2,6.0,1.0,,1,1.47,0.93,0.93,16.8,,,,,
SL,2026-04-09,81.6,-2.38,4.61,"Arrighetti, Spencer",621550,681293,,swinging_strike,,,,,8,,R,R,R,SUG,TAC,S,,,0,0,2026,0.45,0.5,-0.2030177152210692,1.6661332690542068,,,,0,6,Top,,,,,,,3.990037619143628,-118.77464189242532,-0.8207111881736355,3.518828493649246,23.114397909323547,-27.488227562791604,3.28933727,1.66003937,,,,82.6,2609,7.0,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.53,,,,,,,,43,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,89,0.005,-0.065,,,,0.065,,0,0,0.5,0.5,26,34,26,35,3,2,6.0,1.0,,1,2.92,-0.45,-0.45,13.2,,,,,
CU,2026-04-09,77.4,-2.21,4.87,"Arrighetti, Spencer",806068,681293,field_out,hit_into_play,,,,,11,"Colt Emerson grounds out, third baseman Shay Whitcomb to first baseman CJ Alexander.",R,L,R,SUG,TAC,X,5.0,ground_ball,1,2,2026,1.15,-0.72,-1.341302698570768,2.610715903114552,,,,2,5,Top,104.35,154.62,,,,,-0.3242244863983961,-112.65387723595116,3.725667177951923,9.836334067964348,21.05700649544316,-39.23815194009682,3.213861549,1.621948819,8.0,74.6,-18.0,78.1,2874,6.9,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.64,0.059,0.059,0.0,1.0,0.0,0.0,2.0,38,6,Curveball,2,2,2,2,2,2,2,2,Infield shade,Standard,57,0.011,-0.209,,,0.064,0.209,88.0,0,0,0.556,0.4439999999999999,26,20,26,21,3,2,6.0,1.0,,1,4.54,-1.15,1.15,20.1,,,,,
FF,2026-04-09,92.9,-2.35,4.67,"Arrighetti, Spencer",806068,681293,,foul,,,,,6,,R,L,R,SUG,TAC,S,,,1,2,2026,-1.12,1.12,0.584596070499853,2.258391724736266,,,,2,5,Top,,,,,,,10.061317750315078,-134.94737199139337,-2.7540401591533974,-15.858096873805833,27.421983931887446,-18.06747641994085,3.213861549,1.621948819,211.0,69.1,29.0,94.4,2472,7.1,814868,805672,680769,676466,694376,624523,680890,685091,687005,53.37,,,,,,,,38,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Infield shade,Standard,225,0.0,0.0,,,,0.0,88.0,0,0,0.556,0.4439999999999999,26,20,26,21,3,2,6.0,1.0,,1,1.52,1.12,-1.12,16.6,,,,,
