metric,r_train,r_holdout
avg_velo,0.44326816384712264,0.5392387045950721
swstr_pct,0.4903266169341512,0.48980157879490643
k_pct,0.4814064367790139,0.482156370920296
bb_pct,0.3041916516022167,0.319808207280192
chase_pct,0.34330621309492526,0.28938986599745664
hard_hit_allowed_pct,0.31518723907982715,0.330722208003906
