n_feats,features,r,power_bias_hi,team_context_bias,rmse,mae,n,score_T1
21,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|zone_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|barrel_pct|avg_ev|ev90|k_pct|bb_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.53424,-0.0882,-0.0398,0.1119,0.0871,1127,1.6027200000000001
20,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|zone_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|avg_ev|ev90|k_pct|bb_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.538,-0.0807,-0.0404,0.1116,0.0871,1127,1.614
19,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|zone_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|ev90|k_pct|bb_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.53977,-0.0817,-0.0402,0.1113,0.0869,1127,1.61931
18,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|zone_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|bb_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54063,-0.0813,-0.0402,0.1112,0.0869,1127,1.62189
17,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|zone_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54137,-0.0818,-0.0404,0.1111,0.0868,1127,1.62411
16,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|z_contact_pct|swstr_pct|c_plus_swstr|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54198,-0.0817,-0.0405,0.111,0.0867,1127,1.62594
15,swing_pct|chase_pct|contact_pct|whiff_pct|in_play_pct|z_contact_pct|swstr_pct|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54279,-0.0816,-0.0405,0.1109,0.0867,1127,1.6283699999999999
14,swing_pct|contact_pct|whiff_pct|in_play_pct|z_contact_pct|swstr_pct|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54303,-0.0815,-0.0406,0.1109,0.0867,1127,1.6290900000000001
13,swing_pct|contact_pct|whiff_pct|in_play_pct|z_contact_pct|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54314,-0.0815,-0.0405,0.1109,0.0867,1127,1.6294199999999999
12,swing_pct|contact_pct|whiff_pct|in_play_pct|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54316,-0.0815,-0.0406,0.1109,0.0866,1127,1.62948
11,swing_pct|whiff_pct|in_play_pct|xwoba_on_contact|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54317,-0.0815,-0.0406,0.1109,0.0866,1127,1.6295100000000002
10,swing_pct|whiff_pct|in_play_pct|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54317,-0.0813,-0.0406,0.1109,0.0866,1127,1.6295100000000002
9,swing_pct|in_play_pct|xwoba_per_pa|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54311,-0.0813,-0.0406,0.1109,0.0866,1127,1.62933
8,swing_pct|in_play_pct|hard_hit_pct|k_pct|hr_per_pa|iso|sb_per_pa|sprint_speed,0.54298,-0.0794,-0.0398,0.1107,0.0864,1127,1.62894
7,swing_pct|in_play_pct|hard_hit_pct|k_pct|iso|sb_per_pa|sprint_speed,0.54221,-0.0789,-0.04,0.1108,0.0864,1127,1.62663
6,in_play_pct|hard_hit_pct|k_pct|iso|sb_per_pa|sprint_speed,0.54046,-0.0794,-0.04,0.111,0.0866,1127,1.6213800000000003
5,in_play_pct|hard_hit_pct|k_pct|iso|sb_per_pa,0.53666,-0.0802,-0.0406,0.1114,0.0867,1127,1.6099800000000002
