player,team,date,fpg,fp,g,grp
Trea Turner,New York Ligers,2026-06-19,5.0,10.0,2,2B/SS
Pete Fairbanks,New York Ligers,2026-06-16,9.3,18.6,2,RP
Spencer Steer,New York Ligers,2026-06-15,1.8,9.0,5,1B/3B
Framber Valdez,New York Ligers,2026-06-11,16.8,16.8,1,SP
Kyle Bradish,New York Ligers,2026-06-11,28.3,28.3,1,SP
Salvador Perez,New York Ligers,2026-06-08,1.5,17.0,11,C
Daniel Palencia,New York Ligers,2026-06-08,0.2,0.3,2,RP
Jack Leiter,New York Ligers,2026-06-06,-0.6,-1.3,2,SP
Merrill Kelly,New York Ligers,2026-06-06,4.2,8.4,2,SP
Logan Henderson,New York Ligers,2026-05-31,0.0,0.0,0,H?
Brendan Donovan,New York Ligers,2026-05-19,0.0,0.0,0,2B/SS
Lucas Erceg,New York Ligers,2026-05-15,0.6,6.1,11,RP
Kris Bubic,New York Ligers,2026-05-08,-0.8,-0.8,1,SP
Eury Perez,New York Ligers,2026-05-08,14.4,57.4,4,SP
Robert Suarez,New York Ligers,2026-05-06,4.3,64.9,15,RP
Kyle Stowers,New York Ligers,2026-05-02,1.9,83.0,43,OF
Kris Bubic,New York Ligers,2026-05-01,10.3,31.0,3,SP
Eugenio Suarez,New York Ligers,2026-04-28,0.9,22.0,24,1B/3B
Michael Soroka,New York Ligers,2026-04-23,12.5,125.3,10,SP
Jeffrey Springs,New York Ligers,2026-04-22,5.0,54.9,11,SP
Alex Vesia,New York Ligers,2026-04-21,2.7,64.0,24,RP
Louis Varland,New York Ligers,2026-04-20,6.9,178.9,26,RP
Ceddanne Rafaela,New York Ligers,2026-04-19,2.4,120.0,50,OF
Trey Yesavage,New York Ligers,2026-04-19,12.4,123.5,10,SP
Bubba Chandler,New York Ligers,2026-04-19,8.0,88.2,11,SP
Daniel Palencia,New York Ligers,2026-04-18,2.5,34.5,14,RP
Andrew Abbott,New York Ligers,2026-04-14,11.1,133.4,12,SP
Cade Horton,New York Ligers,2026-04-07,0.0,0.0,0,H?
Tim Anderson,New York Ligers,2026-03-26,0.0,0.0,0,2B/SS
