game_pk,pitcher,pitches,swings,whiffs,actual_K,actual_BB,actual_HBP,actual_H,actual_PA,runs_allowed,arsenal_xWhiff,stuff_xWhiff,outs_est,ip,actual_FP,p_overall_swstr,baseline_xK,arsenal_xK,stuff_xK,lineup_xfp_proxy,pitcher_xfp_proxy,lineup_xfp,lineup_n,pitcher_xfp,year
446867,446372,96,42,12,5,2,0,9,27,4,8.274000000000001,7.507602983475143,16,5.333333333333333,3.599999999999998,0.26250812215724495,3.6751137102014293,2.7580000000000005,2.502534327825048,,,0.5952529495380873,8.0,17.478125,2016
446867,456034,103,43,13,10,2,0,5,25,2,9.712729631551635,7.041824487038051,18,6.0,18.799999999999997,0.23461538461538461,3.362820512820513,3.2375765438505453,2.3472748290126835,,,0.5012153652553752,8.0,18.053125,2016
446868,448179,66,25,6,3,1,2,3,14,4,6.379999999999999,4.409367786548073,8,2.6666666666666665,-2.200000000000001,0.2493573264781491,2.0779777206512424,2.1266666666666665,1.4697892621826911,,,0.49470910323777706,8.0,,2016
446868,519242,104,53,16,8,1,0,7,28,3,9.386000000000001,11.270212643346973,20,6.666666666666667,16.0,0.23604368932038836,4.170105177993528,3.128666666666667,3.756737547782324,,,0.5549595333302224,8.0,17.677419354838705,2016
446869,407822,94,46,11,8,2,0,8,25,5,10.920648157758173,11.270252555493778,15,5.0,4.5,0.22532402791625125,3.454968428049186,3.6402160525860574,3.7567508518312596,,,0.4755887389953234,8.0,10.58076923076923,2016
446869,425844,82,43,6,2,1,0,9,22,7,10.63545926310327,6.986716503860767,12,4.0,-8.8,0.21375921375921375,3.0638820638820636,3.54515308770109,2.3289055012869224,,,0.579156806359744,7.0,20.2125,2016
446870,547888,87,35,8,4,1,0,4,22,2,9.555000000000001,6.989007581032002,17,5.666666666666667,13.7,0.21798365122615804,2.5431425976385102,3.1850000000000005,2.329669193677334,,,0.51769816502746,9.0,14.9,2016
446870,572971,106,45,6,5,4,0,3,26,2,7.41,7.500675872483505,19,6.333333333333333,14.899999999999999,0.2172797262617622,3.259195893926433,2.47,2.500225290827835,,,0.5395417848862165,9.0,18.175757575757576,2016
446871,475115,91,40,13,5,1,2,7,25,5,9.231,6.62972582972583,15,5.0,1.5,0.325,4.333333333333333,3.077,2.20990860990861,,,0.5282119274967215,6.0,,2016
446871,477132,96,34,13,9,1,0,1,23,0,8.850999999999999,5.759365436402886,21,7.0,30.099999999999994,0.29793233082706766,3.3765664160401,2.950333333333333,1.919788478800962,,,0.48430647135058297,7.0,22.25151515151515,2016
446873,450172,106,45,14,5,3,0,2,22,0,10.056364815775819,7.273284338166372,17,5.666666666666667,18.7,0.1870748299319728,2.806122448979592,3.3521216052586063,2.424428112722124,,,0.54972373157356,7.0,11.327272727272726,2016
446873,518774,83,38,6,2,2,0,8,25,3,8.319,5.997742017576616,15,5.0,2.5,0.19920844327176782,2.523306948109059,2.773,1.9992473391922054,,,0.5572363999243417,8.0,16.941379310344825,2016
446874,476451,79,42,10,6,0,0,3,21,1,9.310364815775817,6.181063725566085,18,6.0,20.799999999999997,0.22750179985601152,3.1850251979841615,3.103454938591939,2.060354575188695,,,0.5607294794853196,6.0,9.662962962962965,2016
