name,pos,source,team,own,inj,pa26,xw26,xc26,d_xw,d_xc,shrunk_gap,pow_axes,proc_axes,career_best,distinguish,score,tier,sub_tag,peak_xc,mlb_yrs
Aaron Judge,RF,MY_ROSTER,Ligers,100.0,False,225,0.44,0.573,-0.043,-0.019,-0.026,0.0,1.0,False,False,0.0,DECLINE,,0.643,11
Vladimir Guerrero Jr.,1B,MY_ROSTER,Ligers,100.0,False,216,0.367,0.358,-0.025,-0.05,-0.015,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.47,8
Corbin Carroll,RF,MY_ROSTER,Ligers,100.0,False,199,0.39,0.446,0.013,-0.009,0.007,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.455,5
Elly De La Cruz,SS,MY_ROSTER,Ligers,100.0,False,223,0.371,0.486,0.041,0.084,0.025,3.0,2.0,True,False,4.0,SUSTAINABLE,,0.444,4
Trea Turner,SS,MY_ROSTER,Ligers,100.0,False,222,0.286,0.329,-0.037,-0.026,-0.022,0.0,0.0,False,False,0.0,DECLINE,,0.426,12
Pete Alonso,1B,MY_ROSTER,Ligers,100.0,False,219,0.357,0.433,-0.031,-0.038,-0.019,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.482,8
Wyatt Langford,LF,MY_ROSTER,Ligers,100.0,True,84,0.282,0.342,-0.069,-0.08,-0.025,0.0,2.0,False,False,1.0,DECLINE,[DISCIPLINE-ONLY],0.421,3
Luis Arraez,1B,MY_ROSTER,Ligers,100.0,False,205,0.321,0.292,0.008,0.002,0.004,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.359,8
Salvador Perez,C,MY_ROSTER,Ligers,100.0,False,207,0.292,0.338,-0.07,-0.088,-0.041,0.0,0.0,False,True,1.0,DECLINE,,0.48,11
Bo Bichette,SS,MY_ROSTER,Ligers,100.0,False,225,0.329,0.365,-0.027,-0.025,-0.016,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.425,8
Michael Harris II,CF,MY_ROSTER,Ligers,100.0,False,182,0.385,0.47,0.066,0.087,0.036,3.0,0.0,True,True,4.0,SUSTAINABLE,[POWER-ONLY],0.427,5
Jordan Walker,RF,MY_ROSTER,Ligers,100.0,False,205,0.38,0.482,0.101,0.112,0.058,3.0,2.0,True,True,5.0,SUSTAINABLE,,0.391,4
Max Muncy,3B,MY_ROSTER,Ligers,100.0,False,105,0.301,0.427,0.031,0.07,0.013,2.0,0.0,True,False,2.0,MIXED,[POWER-ONLY],0.427,2
Junior Caminero,3B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,217,0.385,0.411,0.039,0.007,0.023,1.0,3.0,True,False,3.0,NARROW,,0.404,4
Gunnar Henderson,SS,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,230,0.299,0.386,-0.048,-0.01,-0.029,0.0,0.0,False,False,0.0,DECLINE,,0.444,5
William Contreras,C,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,206,0.359,0.365,0.028,0.017,0.016,1.0,2.0,False,False,1.0,HOT_STREAK,,0.439,7
Steven Kwan,LF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,215,0.297,0.252,-0.015,-0.052,-0.009,0.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.329,5
Pete Crow-Armstrong,CF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,207,0.319,0.38,-0.014,-0.023,-0.008,1.0,1.0,False,False,0.0,HOT_STREAK_DEEP,,0.402,4
Freddie Freeman,1B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,208,0.38,0.412,0.024,0.005,0.014,2.0,3.0,False,False,2.0,MIXED,,0.506,12
Tyler Soderstrom,LF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,205,0.325,0.352,-0.018,-0.054,-0.01,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.406,4
Bryan Reynolds,RF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,219,0.35,0.383,0.011,-0.041,0.007,0.0,2.0,False,False,1.0,HOT_STREAK,[DISCIPLINE-ONLY],0.437,8
Zach Neto,SS,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,239,0.336,0.414,-0.013,-0.033,-0.008,0.0,0.0,False,False,0.0,HOT_STREAK_DEEP,,0.447,4
Ryan O'Hearn,1B,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,True,182,0.358,0.397,0.011,0.011,0.006,3.0,2.0,True,False,3.0,NARROW,,0.402,9
Jac Caglianone,RF,OTHER:Boone's Bad Bullpen,Boone's Bad Bullpen,100.0,False,164,0.338,0.452,0.016,0.077,0.009,3.0,1.0,True,False,2.0,MIXED,,0.452,2
