owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
MINE,Eury Perez,Mia,,14.9,116.0,Stuff+·vol,0.151,,,130.0,43.0
FA,Aaron Nola,Phi,38.3,12.57,106.0,Stuff+·vol,0.164,,,118.0,39.0
MINE,Jose Soriano,LAA,,12.17,98.0,Stuff+·vol,0.163,,,114.0,38.0
FA,Tanner Bibee,Cle,63.4,11.87,104.0,Stuff+·vol,0.164,,,112.0,37.0
FA,Cade Cavalli,Wsh,18.3,12.37,102.0,Stuff+·vol,0.156,,,111.0,37.0
MINE,Shota Imanaga,ChC,,11.25,93.0,Stuff+·vol,0.164,,,106.0,35.0
FA,Ryan Weathers,NYY,31.1,12.46,101.0,Stuff+·vol,0.147,,,105.0,35.0
FA,Jack Flaherty,Det,38.0,11.7,100.0,Stuff+·vol,0.156,,,105.0,35.0
FA,Michael Wacha,KC,57.2,10.92,98.0,Stuff+·vol,0.165,,,104.0,34.0
FA,Christian Scott,NYM,8.6,13.07,107.0,Stuff+·vol,0.138,,,104.0,34.0
FA,Will Warren,NYY,49.6,12.14,105.0,Stuff+·vol,0.148,,,103.0,34.0
MINE,Parker Messick,Cle,,11.56,96.0,Stuff+·vol,0.153,,,102.0,34.0
FA,Landen Roupp,SF,28.8,11.73,99.0,Stuff+·vol,0.151,,,102.0,34.0
FA,Roki Sasaki,LAD,22.6,13.22,110.0,Stuff+·vol,0.132,,,101.0,33.0
FA,Emmet Sheehan,LAD,54.2,12.29,100.0,Stuff+·vol,0.141,,,100.0,33.0
MINE,Freddy Peralta,NYM,,10.9,96.0,Stuff+·vol,0.159,,,100.0,33.0
FA,Andre Pallante,StL,17.2,11.01,98.0,Stuff+·vol,0.154,,,98.0,32.0
FA,Sean Manaea,NYM,4.1,13.14,104.0,Stuff+·vol,0.129,,,98.0,32.0
MINE,Logan Henderson,Mil,,13.32,106.0,Stuff+·vol,0.127,,,97.0,32.0
FA,Kyle Bradish,Bal,72.4,11.93,101.0,Stuff+·vol,0.141,,,97.0,32.0
FA,Matthew Boyd,ChC,53.2,11.48,96.0,Stuff+·vol,0.146,,,97.0,32.0
FA,Jake Bennett,Bos,42.2,10.76,92.0,Stuff+·vol,0.153,,,95.0,31.0
FA,Anthony Kay,ChW,4.8,11.54,104.0,Stuff+·vol,0.141,,,94.0,31.0
MINE,Hunter Greene,Cin,,13.42,,rp3_dd·vol,0.122,,,94.0,31.0
FA,Dean Kremer,Bal,7.0,10.71,90.0,Stuff+·vol,0.15,,,93.0,31.0
FA,Dustin May,StL,16.9,11.95,102.0,Stuff+·vol,0.135,,,93.0,31.0
FA,Brady Singer,Cin,8.1,9.73,92.0,Stuff+·vol,0.166,,,93.0,31.0
FA,Davis Martin,ChW,71.9,10.36,90.0,Stuff+·vol,0.154,,,92.0,30.0
FA,Andrew Abbott,Cin,42.1,10.18,95.0,Stuff+·vol,0.155,,,91.0,30.0
FA,J.T. Ginn,Oak,24.6,10.54,92.0,Stuff+·vol,0.147,,,89.0,29.0
FA,Brandon Sproat,Mil,6.2,11.7,100.0,Stuff+·vol,0.13,,,88.0,29.0
FA,Shane Drohan,Mil,15.8,12.43,99.0,Stuff+·vol,0.122,,,88.0,29.0
FA,Matthew Liberatore,StL,3.5,10.86,98.0,Stuff+·vol,0.141,,,88.0,29.0
FA,Trevor Rogers,Bal,49.0,11.06,101.0,Stuff+·vol,0.137,,,87.0,29.0
FA,Noah Cameron,KC,12.2,10.72,96.0,Stuff+·vol,0.141,,,87.0,29.0
FA,Walker Buehler,SD,5.3,10.41,95.0,Stuff+·vol,0.144,,,86.0,28.0
FA,Bubba Chandler,Pit,20.2,11.57,104.0,Stuff+·vol,0.13,,,86.0,29.0
FA,Luis Castillo,Sea,49.7,11.13,98.0,Stuff+·vol,0.133,,,85.0,28.0
FA,Walbert Urena,LAA,12.6,11.77,99.0,Stuff+·vol,0.126,,,85.0,28.0
FA,Luis F. Castillo,FA,0.0,11.13,98.0,Stuff+·vol,0.133,,,85.0,28.0
FA,Colin Rea,ChC,4.3,9.92,94.0,Stuff+·vol,0.145,,,83.0,27.0
FA,Mitch Keller,Pit,23.3,9.46,92.0,Stuff+·vol,0.152,,,83.0,28.0
FA,Brandon Young,Bal,16.0,10.57,96.0,Stuff+·vol,0.136,,,83.0,27.0
FA,Tyler Wells,Bal,4.8,10.43,,talent_prior·flat↓,,,,83.0,28.0
FA,Trevor McDonald,SF,2.8,11.43,99.0,Stuff+·vol,0.126,,,83.0,27.0
FA,Slade Cecconi,Cle,3.9,9.79,93.0,Stuff+·vol,0.145,,,82.0,27.0
FA,Zebby Matthews,Min,7.6,10.37,94.0,Stuff+·vol,0.137,,,82.0,27.0
FA,Spencer Arrighetti,Hou,27.2,11.09,99.0,Stuff+·vol,0.127,,,81.0,27.0
FA,Robert Gasser,Mil,3.9,11.64,105.0,Stuff+·vol,0.12,,,81.0,27.0
FA,Ryan Feltner,Col,1.4,9.92,93.0,Stuff+·vol,0.139,,,80.0,26.0
FA,Kumar Rocker,Tex,4.2,10.33,92.0,Stuff+·vol,0.132,,,79.0,26.0
FA,Bailey Ober,Min,17.5,9.41,93.0,Stuff+·vol,0.145,,,79.0,26.0
FA,Clayton Kershaw,FA,0.1,9.95,,talent_prior·flat↓,,,,79.0,26.0
FA,Brandon Pfaadt,Ari,5.7,9.5,,rp3_dd·vol,0.143,,,78.0,26.0
FA,Kyle Freeland,Col,0.7,9.69,91.0,Stuff+·vol,0.14,,,78.0,26.0
FA,Merrill Kelly,Ari,21.4,8.68,89.0,Stuff+·vol,0.154,,,77.0,25.0
FA,Julio Urias,FA,0.0,9.41,,talent_prior·flat↓,,,,75.0,25.0
FA,Tyler Mahle,SF,1.3,9.38,88.0,Stuff+·vol,0.139,,,75.0,25.0
FA,Jeffrey Springs,Oak,9.8,10.37,97.0,Stuff+·vol,0.126,,,75.0,25.0
FA,Noah Schultz,ChW,4.2,10.21,97.0,Stuff+·vol,0.126,,,74.0,24.0
FA,Cal Quantrill,Tex,0.5,9.36,90.0,Stuff+·vol,0.138,,,74.0,25.0
FA,Reynaldo Lopez,Atl,9.9,10.16,91.0,Stuff+·vol,0.127,,,74.0,25.0
MINE,Max Fried,NYY,,12.65,106.0,Stuff+·vol,0.119,FIFTEEN_DAY_DL,2026-07-27,74.0,29.0
FA,Grant Holmes,Atl,10.3,9.72,89.0,Stuff+·vol,0.128,,,72.0,24.0
FA,Michael Lorenzen,Col,0.7,8.41,87.0,Stuff+·vol,0.149,,,72.0,24.0
FA,Ryan Bergert,KC,0.0,9.09,,talent_prior·flat↓,,,,72.0,24.0
FA,Javier Assad,ChC,4.5,10.27,98.0,Stuff+·vol,0.121,,,71.0,24.0
FA,Michael McGreevy,StL,21.9,8.09,81.0,Stuff+·vol,0.152,,,71.0,23.0
MINE,Tyler Glasnow,LAD,,13.69,104.0,Stuff+·vol,0.117,SIXTY_DAY_DL,2026-08-02,71.0,31.0
FA,Janson Junk,Mia,1.4,10.74,101.0,Stuff+·vol,0.113,,,70.0,23.0
FA,J.P. France,Hou,0.0,8.82,,talent_prior·flat↓,,,,70.0,23.0
FA,Aaron Civale,Oak,2.1,9.48,97.0,Stuff+·vol,0.128,,,70.0,23.0
FA,Kyle Gibson,FA,0.0,8.71,,talent_prior·flat↓,,,,69.0,23.0
FA,Gabriel Hughes,Col,0.6,9.49,,rp3_dd·vol,0.123,,,67.0,22.0
FA,David Peterson,ChC,3.0,9.5,88.0,Stuff+·vol,0.123,,,67.0,22.0
FA,JP Sears,SD,1.1,8.53,,rp3_dd·vol,0.134,,,66.0,22.0
FA,Ben Lively,Cle,0.0,8.31,,talent_prior·flat↓,,,,66.0,22.0
FA,Keider Montero,Det,9.6,9.95,94.0,Stuff+·vol,0.114,,,65.0,22.0
FA,Clay Holmes,NYM,16.2,12.24,101.0,Stuff+·vol,0.109,SIXTY_DAY_DL,2026-07-28,65.0,25.0
FA,Tatsuya Imai,Hou,17.9,9.7,86.0,Stuff+·vol,0.117,,,65.0,22.0
FA,Griffin Canning,SD,0.7,9.63,89.0,Stuff+·vol,0.117,,,65.0,22.0
FA,Lance Lynn,FA,0.0,7.98,,talent_prior·flat↓,,,,64.0,21.0
FA,Andrew Alvarez,Wsh,1.1,12.35,96.0,Stuff+·vol,0.09,,,64.0,21.0
FA,Randy Vasquez,SD,13.8,10.14,98.0,Stuff+·vol,0.107,FIFTEEN_DAY_DL,2026-07-18,63.0,21.0
FA,Nestor Cortes,FA,0.1,10.15,,talent_prior·flat↓,,OUT,2026-08-01,63.0,27.0
FA,Andrew Heaney,FA,0.0,7.79,,talent_prior·flat↓,,,,62.0,20.0
FA,Tyler Anderson,LAA,0.1,7.8,,talent_prior·flat↓,,,,62.0,20.0
FA,Luis Severino,Oak,3.2,12.59,107.0,Stuff+·vol,0.104,SIXTY_DAY_DL,2026-07-29,62.0,25.0
FA,Martin Perez,Atl,6.5,9.29,87.0,Stuff+·vol,0.119,FIFTEEN_DAY_DL,2026-07-20,62.0,21.0
FA,Charlie Morton,FA,0.1,7.53,,talent_prior·flat↓,,,,60.0,20.0
FA,Connor Prielipp,Min,1.7,11.79,102.0,Stuff+·vol,0.101,FIFTEEN_DAY_DL,2026-07-26,60.0,23.0
FA,Tanner Gordon,Col,0.1,9.41,86.0,Stuff+·vol,0.111,,,60.0,20.0
FA,Zach Thornton,NYM,3.4,9.62,,rp3_dd·vol,0.107,,,59.0,20.0
FA,Gavin Stone,LAD,0.2,10.36,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-05,59.0,27.0
FA,Joey Estes,Oak,0.0,7.38,,talent_prior·flat↓,,,,58.0,20.0
FA,Marcus Stroman,FA,0.1,7.34,,talent_prior·flat↓,,,,58.0,19.0
FA,Drew Anderson,Det,0.6,11.12,,rp3_dd·vol,0.09,,,58.0,19.0
FA,Patrick Corbin,Tor,0.8,9.71,93.0,Stuff+·vol,0.103,,,58.0,19.0
FA,Erick Fedde,ChW,1.5,7.8,,rp3_dd·vol,0.127,,,57.0,19.0
FA,Wade Miley,FA,0.0,9.17,,talent_prior·flat↓,,OUT,2026-08-01,57.0,24.0
FA,Ryan Gusto,Mia,0.1,10.01,94.0,Stuff+·vol,0.099,,,57.0,19.0
FA,Carlos Rodon,NYY,55.6,13.35,108.0,Stuff+·vol,0.117,FIFTEEN_DAY_DL,2026-08-11,56.0,30.0
FA,Cole Irvin,LAD,0.0,7.09,,talent_prior·flat↓,,,,56.0,19.0
FA,German Marquez,SD,0.7,8.31,88.0,Stuff+·vol,0.117,,,56.0,18.0
FA,Jake Irvin,Wsh,0.5,11.53,99.0,Stuff+·vol,0.102,SIXTY_DAY_DL,2026-07-29,56.0,23.0
FA,Yu Darvish,SD,0.1,8.96,,talent_prior·flat↓,,OUT,2026-08-01,56.0,23.0
FA,Alex Cobb,FA,0.0,8.95,,talent_prior·flat↓,,OUT,2026-08-01,56.0,23.0
FA,Logan Allen,Cle,2.1,6.92,,talent_prior·flat↓,,,,55.0,18.0
FA,Patrick Sandoval,Bos,3.0,6.92,,talent_prior·flat↓,,,,55.0,18.0
FA,Kyle Hendricks,FA,0.0,6.9,,talent_prior·flat↓,,,,55.0,18.0
FA,Luis Ortiz,Cle,0.0,8.84,,talent_prior·flat↓,,OUT,2026-08-01,55.0,23.0
FA,Kai-Wei Teng,Hou,0.9,11.23,96.0,Stuff+·vol,0.085,,,55.0,18.0
FA,Jameson Taillon,ChC,3.4,10.05,93.0,Stuff+·vol,0.099,FIFTEEN_DAY_DL,2026-07-20,55.0,19.0
FA,Chad Patrick,Mil,4.8,10.57,,rp3_dd·vol,0.09,,,55.0,18.0
FA,Colton Gordon,Hou,0.0,6.59,,talent_prior·flat↓,,,,53.0,18.0
FA,Eric Lauer,LAD,4.8,8.05,88.0,Stuff+·vol,0.114,,,53.0,17.0
FA,Grayson Rodriguez,LAA,2.8,10.47,103.0,Stuff+·vol,0.088,,,53.0,18.0
FA,Stephen Kolek,KC,6.0,9.47,91.0,Stuff+·vol,0.103,BEREAVEMENT,2026-07-23,52.0,19.0
FA,Rhett Lowder,Cin,2.8,8.55,86.0,Stuff+·vol,0.102,,,50.0,17.0
FA,Jonathan Cannon,ChW,0.0,6.36,,talent_prior·flat↓,,,,50.0,17.0
FA,Lance McCullers Jr.,Mil,2.8,10.91,97.0,Stuff+·vol,0.08,,,50.0,17.0
FA,Justin Verlander,Det,1.7,8.68,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,50.0,23.0
FA,Johan Oviedo,Bos,0.2,8.52,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-08-04,50.0,23.0
FA,Kenta Maeda,FA,0.0,6.14,,talent_prior·flat↓,,,,49.0,16.0
FA,Yusei Kikuchi,LAA,7.2,10.99,98.0,Stuff+·vol,0.095,SIXTY_DAY_DL,2026-07-31,48.0,20.0
FA,Michael Soroka,Ari,52.7,10.9,94.0,Stuff+·vol,0.101,FIFTEEN_DAY_DL,2026-08-04,47.0,21.0
FA,Nick Pivetta,SD,54.9,12.35,,talent_prior·vol,0.103,SIXTY_DAY_DL,2026-08-10,47.0,24.0
FA,Zack Littell,Wsh,4.0,7.65,,rp3_dd·vol,0.107,,,47.0,16.0
FA,Carson Palmquist,Wsh,0.0,8.74,,rp3_dd·vol,0.094,,,47.0,16.0
FA,Frankie Montas,FA,0.0,7.37,,talent_prior·flat↓,,OUT,2026-08-01,46.0,20.0
FA,Jose Cabrera,Ari,0.2,7.79,,rp3_dd·vol,0.103,,,46.0,15.0
FA,Jean Cabrera,Phi,0,7.79,,rp3_dd·vol,0.103,,,46.0,15.0
FA,Jacob Lopez,Oak,0.4,8.9,94.0,Stuff+·vol,0.09,,,46.0,15.0
FA,Austin Gomber,Tex,0.0,5.58,,talent_prior·flat↓,,,,45.0,15.0
FA,Trey Gibson,Bal,0.1,10.02,97.0,Stuff+·vol,0.078,,,45.0,15.0
FA,Tony Gonsolin,LAD,0.0,7.34,,talent_prior·flat↓,,OUT,2026-08-01,45.0,19.0
FA,Alan Rangel,Phi,0.3,8.41,,rp3_dd·vol,0.094,,,45.0,15.0
